Date,Province,District,Offices - Fixed,Offices - Mobile,Active Borrowers,Gross Loan Portfolio(PKR),Active Savers,Value of Savings(PKR),Potential Microfinance Market
12/31/2006,BALUCHISTAN,Awaran,-,-,-,-,-,-,26054
12/31/2006,BALUCHISTAN,Barkhan,-,-,-,-,-,-,31881
12/31/2006,BALUCHISTAN,Bolan,1,-,202,2000000,202,173790,66423
12/31/2006,BALUCHISTAN,Chagai,-,-,-,-,-,-,54814
12/31/2006,BALUCHISTAN,Dera Bugti,-,-,-,-,-,-,43770
12/31/2006,BALUCHISTAN,Gwadar,4,-,458,3583263,6397,1213970,55537
12/31/2006,BALUCHISTAN,Jafarabad,4,-,2009,325941000,9009,916385,121911
12/31/2006,BALUCHISTAN,Jhal Magsi,1,-,575,9870000,759,389990,29887
12/31/2006,BALUCHISTAN,Kalat,-,-,-,-,-,-,53884
12/31/2006,BALUCHISTAN,Kech (Turbat),3,0,129,4809025,28551,6359128,92271
12/31/2006,BALUCHISTAN,Kharan,-,-,-,-,-,-,47948
12/31/2006,BALUCHISTAN,Khuzdar,-,-,-,-,-,-,104104
12/31/2006,BALUCHISTAN,Kohlu,-,-,-,-,-,-,26910
12/31/2006,BALUCHISTAN,Lasbela,-,-,-,-,-,-,84637
12/31/2006,BALUCHISTAN,Loralai,-,-,-,-,-,-,76879
12/31/2006,BALUCHISTAN,Mastung,-,-,-,-,-,-,41317
12/31/2006,BALUCHISTAN,Musakhel,-,-,-,-,-,-,27545
12/31/2006,BALUCHISTAN,Nasirabad,1,-,1332,138503000,1101,963118,75783
12/31/2006,BALUCHISTAN,Nushki,-,-,-,-,-,-,-
12/31/2006,BALUCHISTAN,Panjgur,-,-,-,-,-,-,51074
12/31/2006,BALUCHISTAN,Pishin,-,-,-,-,-,-,100179
12/31/2006,BALUCHISTAN,Qila Abdullah,-,-,-,-,-,-,115112
12/31/2006,BALUCHISTAN,Qila Saifullah,-,-,-,-,-,-,44345
12/31/2006,BALUCHISTAN,Quetta,3,0,5358,140750697,5306,6642162,174437
12/31/2006,BALUCHISTAN,Sibi,1,0,1422,24565000,1605,606054,48944
12/31/2006,BALUCHISTAN,Washuk,-,-,-,-,-,-,585705
12/31/2006,BALUCHISTAN,Zhob,-,-,-,-,-,-,53848
12/31/2006,BALUCHISTAN,Ziarat,-,-,-,-,-,-,7268
12/31/2006,BALUCHISTAN,Total,18,0,11485,650021985,52930,17264567,2242467
12/31/2006,KHYBER-PAKHTUNKHWA (KP),Abbottabad,3,2488,"35,013,800",9680,4563504,2488,180672
12/31/2006,KHYBER-PAKHTUNKHWA (KP),Bannu,-,-,-,-,-,-,167380
12/31/2006,KHYBER-PAKHTUNKHWA (KP),Batgram,1,0,100,131584,2800,1207000,58257
12/31/2006,KHYBER-PAKHTUNKHWA (KP),Buner (Daggar),-,-,-,-,-,-,133171
12/31/2006,KHYBER-PAKHTUNKHWA (KP),Charsadda,9,0,"3,039",47782027,4806,584685,271736
12/31/2006,KHYBER-PAKHTUNKHWA (KP),Chitral,6,0,"5,758",127385821,5426,124428000,84846
12/31/2006,KHYBER-PAKHTUNKHWA (KP),D.I. Khan,1,-,480,31935310,0,0,221328
12/31/2006,KHYBER-PAKHTUNKHWA (KP),Hangu,2,-,480,3147081,1600,641280,64648
12/31/2006,KHYBER-PAKHTUNKHWA (KP),Haripur,3,0,"2,494",24581573,12496,5477296,103830
12/31/2006,KHYBER-PAKHTUNKHWA (KP),Karak,-,-,-,-,-,-,102174
12/31/2006,KHYBER-PAKHTUNKHWA (KP),Kohat,5,0,"3,504",25680453,1504,801600,114908
12/31/2006,KHYBER-PAKHTUNKHWA (KP),Kohistan,-,-,-,-,-,-,73374
12/31/2006,KHYBER-PAKHTUNKHWA (KP),Lakki Marwat,-,-,-,-,-,-,107505
12/31/2006,KHYBER-PAKHTUNKHWA (KP),Lower Dir,-,-,-,-,-,-,176660
12/31/2006,KHYBER-PAKHTUNKHWA (KP),Malakand,19,-,"6,376",74358314,12751,1204925,106429
12/31/2006,KHYBER-PAKHTUNKHWA (KP),Mansehra,3,0,"1,224",22314744,8400,3621000,271288
12/31/2006,KHYBER-PAKHTUNKHWA (KP),Mardan,36,0,"20,150",199293177,30452,3402177,354988
12/31/2006,KHYBER-PAKHTUNKHWA (KP),Nowshera,1,-,949,4151583,1407,705000,201208
12/31/2006,KHYBER-PAKHTUNKHWA (KP),Peshawar,7,0,"3,231",48121596,1409,705816,451548
12/31/2006,KHYBER-PAKHTUNKHWA (KP),Shangla,-,-,-,-,-,-,116366
12/31/2006,KHYBER-PAKHTUNKHWA (KP),Swabi,13,0,"3,869",33582687,4958,792820,230073
12/31/2006,KHYBER-PAKHTUNKHWA (KP),Swat,10,0,"3,860",46512607,3870,608177,286555
12/31/2006,KHYBER-PAKHTUNKHWA (KP),Tank,1,0,15,407093,0,0,62446
12/31/2006,KHYBER-PAKHTUNKHWA (KP),Upper Dir,-,-,-,-,-,-,142427
12/31/2006,KHYBER-PAKHTUNKHWA (KP),Total,120,0,"58,017",724399450,101559,148743280,4083817
12/31/2006,PUNJAB,Attock,36,0,"9,352",79046249,40699,81389346,262870
12/31/2006,PUNJAB,Bahawalpur,31,0,"27,861",362093846,42260,92401590,461777
12/31/2006,PUNJAB,Bhakkar,23,0,"14,569",127727184,23869,24792615,252453
12/31/2006,PUNJAB,Bhawalnagar,14,0,"17,755",241334867,26263,54020781,427843
12/31/2006,PUNJAB,Chakwal,26,0,"5,682",48915286,22098,61985381,219565
