Date,Province,District,Offices - Fixed,Offices - Mobile,Active Borrowers,Gross Loan Portfolio(PKR),Active Savers,Value of Savings(PKR),Policy Holders,Sum Insured(PKR),Potential Microfinance Market
6/30/2018,BALUCHISTAN,Awaran,-,-,-,-,11472,1361741,-,-,-
6/30/2018,BALUCHISTAN,Barkhan,-,-,-,-,614,1432965,-,-,-
6/30/2018,BALUCHISTAN,Bolan,-,-,-,-,985,1885543,-,-,-
6/30/2018,BALUCHISTAN,Chagai,-,-,-,-,2348,7965646,-,-,-
6/30/2018,BALUCHISTAN,Dera Bugti,-,-,-,-,444,3142508,-,-,-
6/30/2018,BALUCHISTAN,Gwadar,5,-,108,1497565,27412,70841626,7,140000,-
6/30/2018,BALUCHISTAN,Jafarabad,-,-,-,-,11407,15079621,-,-,-
6/30/2018,BALUCHISTAN,Jhal Magsi,-,-,-,-,86,299048,-,-,-
6/30/2018,BALUCHISTAN,Kalat,-,-,-,-,410,1147068,-,-,-
6/30/2018,BALUCHISTAN,Kech (Turbat),-,-,-,-,51339,14892602,70,2180000,-
6/30/2018,BALUCHISTAN,Kharan,-,-,-,-,12,561,-,-,-
6/30/2018,BALUCHISTAN,Khuzdar,-,-,-,-,2443,7407487,-,-,-
6/30/2018,BALUCHISTAN,Kohlu,-,-,-,-,-,-,-,-,-
6/30/2018,BALUCHISTAN,Lasbela,5,-,1257,26580080,49745,18525769,5733,151271946,-
6/30/2018,BALUCHISTAN,Loralai,-,-,-,-,2359,12030790,-,-,-
6/30/2018,BALUCHISTAN,Mastung,-,-,-,-,720,1400377,-,-,-
6/30/2018,BALUCHISTAN,Musakhel,-,-,-,-,1158,1781104,-,-,-
6/30/2018,BALUCHISTAN,Nasirabad,3,-,3924,264079506,16344,80867910,2880,202322941,-
6/30/2018,BALUCHISTAN,Nushki,-,-,-,-,1848,4129597,-,-,-
6/30/2018,BALUCHISTAN,Panjgur,-,-,-,-,22463,3677134,-,-,-
6/30/2018,BALUCHISTAN,Pishin,-,-,-,-,1475,3538204,-,-,-
6/30/2018,BALUCHISTAN,Qila Abdullah,-,-,-,-,1219,6000492,-,-,-
6/30/2018,BALUCHISTAN,Qila Saifullah,-,-,-,-,899,1743066,-,-,-
6/30/2018,BALUCHISTAN,Quetta,8,-,3926,209613192,166882,607572854,3902,205905495,-
6/30/2018,BALUCHISTAN,Sherani,-,-,-,-,559,1461428,-,-,-
6/30/2018,BALUCHISTAN,Sibi,1,-,886,13929050,2649,6070711,886,13929050,-
6/30/2018,BALUCHISTAN,Washuk,-,-,-,-,325,836867,-,-,-
6/30/2018,BALUCHISTAN,Zhob,-,-,-,-,2537,7671425,-,-,-
6/30/2018,BALUCHISTAN,Ziarat,-,-,-,-,206,493454,-,-,-
6/30/2018,BALUCHISTAN,Total,22,-,10101,515699393,380360,883257601,12827,531341351,500000
6/30/2018,KHYBER-PAKHTUNKHWA (KP),Abbottabad,14,-,15558,597564651,104963,998868655,14320,460059139,-
6/30/2018,KHYBER-PAKHTUNKHWA (KP),Bannu,4,-,4583,98518282,11728,131898549,4296,64827850,-
6/30/2018,KHYBER-PAKHTUNKHWA (KP),Batgram,1,-,540,5333844,5632,8133713,540,5333844,-
6/30/2018,KHYBER-PAKHTUNKHWA (KP),Buner (Daggar),1,-,1050,53210422,13573,99068093,1070,54010422,-
6/30/2018,KHYBER-PAKHTUNKHWA (KP),Charsadda,4,-,4048,166822038,45566,237257157,4045,135793104,-
6/30/2018,KHYBER-PAKHTUNKHWA (KP),Chitral,10,1,5732,421866847,47181,1204754631,5726,421141847,-
6/30/2018,KHYBER-PAKHTUNKHWA (KP),D.I. Khan,6,-,11436,597032379,62116,546626050,13908,611970347,-
6/30/2018,KHYBER-PAKHTUNKHWA (KP),Hangu,-,-,-,-,3608,9280525,-,-,-
6/30/2018,KHYBER-PAKHTUNKHWA (KP),Haripur,12,12,22885,775284713,69188,410546070,40503,466290500,-
6/30/2018,KHYBER-PAKHTUNKHWA (KP),Karak,1,-,1452,10298000,12712,23856122,-,-,-
6/30/2018,KHYBER-PAKHTUNKHWA (KP),Kohat,5,-,6369,222200137,31387,434561862,5561,223739337,-
6/30/2018,KHYBER-PAKHTUNKHWA (KP),Kohistan,1,-,53,7837851,2069,30988198,-,-,-
6/30/2018,KHYBER-PAKHTUNKHWA (KP),Lakki Marwat,1,-,848,11218600,13190,30430995,848,11218600,-
6/30/2018,KHYBER-PAKHTUNKHWA (KP),Lower Dir,-,-,-,-,17891,29772751,-,-,-
6/30/2018,KHYBER-PAKHTUNKHWA (KP),Malakand,3,-,3682,117978188,57611,142796251,3715,119858188,-
6/30/2018,KHYBER-PAKHTUNKHWA (KP),Mansehra,12,-,11553,323324123,43172,394326307,12428,245465995,-
6/30/2018,KHYBER-PAKHTUNKHWA (KP),Mardan,11,-,12361,590442266,121205,282444341,12643,334745573,-
6/30/2018,KHYBER-PAKHTUNKHWA (KP),Mingora,1,-,3517,184446136,11523,468404069,4010,205644581,-
6/30/2018,KHYBER-PAKHTUNKHWA (KP),Nowshera,12,-,12730,421961742,52859,689043533,13452,335775492,-
6/30/2018,KHYBER-PAKHTUNKHWA (KP),Peshawar,20,-,11829,412163380,728069,4064515510,11514,227963846,-
6/30/2018,KHYBER-PAKHTUNKHWA (KP),Shangla,-,-,-,-,10851,15313476,-,-,-
6/30/2018,KHYBER-PAKHTUNKHWA (KP),Swabi,9,1,7952,289364339,100825,607900503,5186,154370198,-
6/30/2018,KHYBER-PAKHTUNKHWA (KP),Swat,4,-,3447,54212039,51149,66081572,3447,54212039,-
6/30/2018,KHYBER-PAKHTUNKHWA (KP),Tank,2,-,785,11439500,5451,10590236,785,11439500,-
6/30/2018,KHYBER-PAKHTUNKHWA (KP),Upper Dir,-,-,-,-,9412,14505221,-,-,-
6/30/2018,KHYBER-PAKHTUNKHWA (KP),Total,134,14,142410,5372519476,1632931,10951964391,157997,4143860401,5000000
6/30/2018,PUNJAB,Attock,82,13,101261,2276046402,188833,793912173,165046,3213819021,-
6/30/2018,PUNJAB,Bahawalpur,69,-,207627,9935595753,665916,4200140078,267842,8210023913,-
6/30/2018,PUNJAB,Bhakkar,49,-,106676,5092970958,430095,953673138,103680,3823769245,-
6/30/2018,PUNJAB,Bhawalnagar,76,-,200954,9814177742,585208,2937264905,235046,7249676659,-
6/30/2018,PUNJAB,Chakwal,95,-,94238,2004056562,130857,474671466,111687,2745057451,-
6/30/2018,PUNJAB,Chiniot,20,-,46512,1365881345,77334,280094563,63256,1942346864,-
6/30/2018,PUNJAB,D.G. Khan,34,-,75207,3021917700,326071,1281130498,93506,3529419082,-
6/30/2018,PUNJAB,Faisalabad,177,-,291169,8271204892,389925,1915920980,472137,10199831989,-
6/30/2018,PUNJAB,Gujranwala,172,-,230223,6984036394,258809,1459649694,336751,9283964135,-
6/30/2018,PUNJAB,Gujrat,63,-,110925,3578309915,141464,1316554876,134056,3804820966,-
6/30/2018,PUNJAB,Hafizabad,40,-,67762,2622353829,92767,395047563,76125,2784461104,-
6/30/2018,PUNJAB,Jhang,70,-,123360,4595475113,229493,822864633,166743,4252702426,-
6/30/2018,PUNJAB,Jhelum,58,-,78565,1740747678,110658,694903189,108712,3539043033,-
6/30/2018,PUNJAB,Kasur,85,-,152003,5160992719,184470,874691267,251375,5534281729,-
6/30/2018,PUNJAB,Khanewal,48,-,100239,4298253743,234829,941312697,146755,3929596424,-
6/30/2018,PUNJAB,Khushab,53,-,75891,2293291395,209000,494472921,108724,3192661259,-
6/30/2018,PUNJAB,Lahore,243,-,323146,10147067449,9806848,30364904966,586423,12991727216,-
6/30/2018,PUNJAB,Leyyah,71,-,153032,6782001848,231317,1119320501,166432,5362922353,-
6/30/2018,PUNJAB,Lodhran,33,-,120799,7184262721,287775,1538132862,81955,3465380368,-
6/30/2018,PUNJAB,Mandi Bahauddin,50,-,74549,2506133629,89080,599859092,115513,3401714093,-
6/30/2018,PUNJAB,Mianwali,47,-,64080,1452584663,177797,403150159,88357,2460449150,-
6/30/2018,PUNJAB,Multan,112,-,210913,8695295304,379156,3133931265,269449,7176701039,-
6/30/2018,PUNJAB,Muzaffargarh,67,-,165594,7352456517,324197,1118209215,217429,5986411685,-
6/30/2018,PUNJAB,Nankana Sahib,53,-,77567,2237443034,52746,222536057,112360,2145937630,-
6/30/2018,PUNJAB,Narowal,64,-,84143,2318056596,76118,549371176,108966,3146564613,-
6/30/2018,PUNJAB,Okara,74,-,143809,6167510401,288689,1552635114,205549,4887403530,-
6/30/2018,PUNJAB,Pakpattan,37,-,76602,3828174844,165806,587057084,84705,2547014538,-
6/30/2018,PUNJAB,Rahimyar Khan,76,-,244446,13307675986,501919,3115319499,304485,9916055829,-
6/30/2018,PUNJAB,Rajanpur,36,-,92254,3621265103,255210,1273540397,105815,3803292005,-
6/30/2018,PUNJAB,Rawalpindi,153,-,152666,3642758535,266287,23088714834,170408,4582740021,-
6/30/2018,PUNJAB,Sahiwal,60,-,117312,5178946447,273019,1344880042,173531,5135162727,-
6/30/2018,PUNJAB,Sargodha,115,-,176049,5424850000,202192,1109345329,252228,7260924547,-
6/30/2018,PUNJAB,Sheikhupura,96,-,151927,4570809662,125844,999300781,186607,3984061752,-
6/30/2018,PUNJAB,Sialkot,112,-,149924,4909102578,194384,1891927446,188755,5407433333,-
6/30/2018,PUNJAB,Toba Tek Singh,51,-,100051,4041078942,203795,867418481,150429,4089929540,-
6/30/2018,PUNJAB,Vihari,51,-,116645,5541622547,217416,1226180280,139921,4529609189,-
6/30/2018,PUNJAB,Total,2792,13,4858120,1.81964E+11,18375324,95942039219,6550758,1.79517E+11,12600000
6/30/2018,SINDH,Badin,38,-,52464,1477144963,245921,346488367,59418,1741414548,-
6/30/2018,SINDH,Dadu,25,-,52490,1384197366,49808,687600085,23467,781177533,-
6/30/2018,SINDH,Ghotki,24,-,44847,1953059674,84761,563025152,27864,1316096549,-
6/30/2018,SINDH,Hyderabad,71,-,83894,2895549301,139869,1970425313,91880,2958636958,-
6/30/2018,SINDH,Jacobabad,6,-,13454,344514150,21362,57878660,6368,178685055,-
6/30/2018,SINDH,Jamshoro,17,-,18535,317919155,22481,31602247,4655,1016500,-
6/30/2018,SINDH,Karachi,161,-,232134,9086682265,2643697,61671689989,301480,9844233457,-
6/30/2018,SINDH,Kashmore,5,-,12311,644829876,33879,184520109,6382,281543960,-
6/30/2018,SINDH,Khairpur,38,-,65952,2813669649,110125,1364847536,61714,2315315342,-
6/30/2018,SINDH,Larkana,32,-,56533,2558919870,111949,1442954710,56027,2410388628,-
6/30/2018,SINDH,Matyari,24,-,38755,1325783106,42878,286729997,41890,978216190,-
6/30/2018,SINDH,Mirpur Khas,43,-,75430,2379786821,184604,808558587,59069,2016767822,-
6/30/2018,SINDH,Naushahro Feroze,37,-,57288,2202532919,47512,337471239,31304,1410707904,-
6/30/2018,SINDH,Nawabshah,34,-,42773,1180687528,62210,672876489,27877,471251894,-
6/30/2018,SINDH,Sanghar,49,1,83767,2557021021,53811,624446990,59309,1265271837,-
6/30/2018,SINDH,Sehwan Sharif,4,-,3410,72366600,717,396254,-,-,-
6/30/2018,SINDH,Shaheed Benazirabad,5,-,14729,917315530,11002,50317539,12424,657716515,-
6/30/2018,SINDH,Shehdad Kot,20,-,30497,1246909924,46218,363388193,24512,948041071,-
6/30/2018,SINDH,Shikarpur,10,-,20395,749710986,30477,236614545,13129,526797029,-
6/30/2018,SINDH,Sujawal,3,-,1326,24161765,-,-,551,110200,-
6/30/2018,SINDH,Sukkur,41,-,72000,2909038235,96043,2217829680,51511,1762903993,-
6/30/2018,SINDH,Tando Allahyar,23,-,31623,1165640951,98601,255676960,27969,801553480,-
6/30/2018,SINDH,Tando Jam,3,-,3501,114724951,5217,34619048,2883,74766277,-
6/30/2018,SINDH,Tando Muhammad Khan,13,-,15044,763472978,86705,215327805,23486,842885958,-
6/30/2018,SINDH,Tharparkar,23,-,53636,1863570915,55439,433614863,30075,1045227639,-
6/30/2018,SINDH,Thatta,25,-,34267,979232558,132906,359517026,31531,1100680762,-
6/30/2018,SINDH,Umar Kot,28,-,72615,2357426084,66137,647950616,38397,1286761011,-
6/30/2018,SINDH,Total,802,1,1283670,46285869145,4484329,75866367998,1115172,37018168110,2400000
6/30/2018,AZAD JAMMU AND KASHMIR (AJK),Bagh,8,-,6517,214717112,79746,102633244,7317,271302913,-
6/30/2018,AZAD JAMMU AND KASHMIR (AJK),Bhimber,7,-,4598,135862392,18264,28771295,2185,76995000,-
6/30/2018,AZAD JAMMU AND KASHMIR (AJK),Kotli,19,-,14842,396175569,91843,73585563,29603,964305000,-
6/30/2018,AZAD JAMMU AND KASHMIR (AJK),Mirpur,5,-,4784,222342996,37228,1066301401,5734,246987810,-
6/30/2018,AZAD JAMMU AND KASHMIR (AJK),Muzaffarabad,12,-,18266,793952493,182569,2340633415,17091,697674289,-
6/30/2018,AZAD JAMMU AND KASHMIR (AJK),Neelum,-,-,-,-,12771,1356287,-,-,-
6/30/2018,AZAD JAMMU AND KASHMIR (AJK),Poonch,4,-,9416,223283134,77721,73673600,14052,466865513,-
6/30/2018,AZAD JAMMU AND KASHMIR (AJK),Sudhnati,1,-,2936,91003585,31872,22988018,5407,169255000,-
6/30/2018,AZAD JAMMU AND KASHMIR (AJK),Total,56,-,61359,2077337281,532014,3709942823,81389,2893385525,-
6/30/2018,GILGIT-BALTISTAN (GB),Astore,2,-,1838,74085199,4799,124513841,1838,74085199,-
6/30/2018,GILGIT-BALTISTAN (GB),Diamer,2,-,583,11111020,1387,743707501,544,8030100,-
6/30/2018,GILGIT-BALTISTAN (GB),Ghanche,6,-,3543,156167641,10725,489020519,3745,148269423,-
6/30/2018,GILGIT-BALTISTAN (GB),Ghizer,15,-,14150,575517916,26542,552444962,14271,581507915,-
6/30/2018,GILGIT-BALTISTAN (GB),Gilgit,29,-,27710,796424595,43760,7637202313,27944,735231393,-
