Date,Province,District,Offices - Fixed,Offices - Mobile,Active Borrowers,Gross Loan Portfolio(PKR),Active Savers,Value of Savings(PKR),Policy Holders,Sum Insured(PKR),Potential Microfinance Market
9/30/2017,BALUCHISTAN,Awaran,-,-,-,-,11179,1361741,-,-,-
9/30/2017,BALUCHISTAN,Barkhan,-,-,-,-,919,226221,-,-,-
9/30/2017,BALUCHISTAN,Bolan,-,-,-,-,1187,976504,-,-,-
9/30/2017,BALUCHISTAN,Chagai,-,-,-,-,2662,2521390,-,-,-
9/30/2017,BALUCHISTAN,Dera Bugti,-,-,-,-,1297,1001277,-,-,-
9/30/2017,BALUCHISTAN,Gwadar,5,-,307,5236549,26654,162117592,-,-,-
9/30/2017,BALUCHISTAN,Jafarabad,1,-,389,7109794,13704,6307055,-,-,-
9/30/2017,BALUCHISTAN,Jhal Magsi,-,-,-,-,72,76428,-,-,-
9/30/2017,BALUCHISTAN,Kalat,-,-,-,-,616,338686,-,-,-
9/30/2017,BALUCHISTAN,Kech (Turbat),-,-,-,-,50518,11312957,424,13600000,-
9/30/2017,BALUCHISTAN,Kharan,-,-,-,-,16,561,-,-,-
9/30/2017,BALUCHISTAN,Khuzdar,-,-,-,-,2929,2123425,-,-,-
9/30/2017,BALUCHISTAN,Kohlu,-,-,-,-,-,-,-,-,-
9/30/2017,BALUCHISTAN,Lasbela,5,-,1883,34310868,47271,6342866,8675,228553050,-
9/30/2017,BALUCHISTAN,Loralai,-,-,-,-,2846,2176244,-,-,-
9/30/2017,BALUCHISTAN,Mastung,-,-,-,-,1016,497630,-,-,-
9/30/2017,BALUCHISTAN,Musakhel,-,-,-,-,1102,649563,-,-,-
9/30/2017,BALUCHISTAN,Nasirabad,2,-,1026,77225635,14809,40564581,1042,77825635,-
9/30/2017,BALUCHISTAN,Nushki,-,-,-,-,1835,1156195,-,-,-
9/30/2017,BALUCHISTAN,Panjgur,-,-,-,-,22210,3280710,-,-,-
9/30/2017,BALUCHISTAN,Pishin,-,-,-,-,2076,2019896,-,-,-
9/30/2017,BALUCHISTAN,Qila Abdullah,-,-,-,-,1676,685415,-,-,-
9/30/2017,BALUCHISTAN,Qila Saifullah,-,-,-,-,1065,512170,-,-,-
9/30/2017,BALUCHISTAN,Quetta,7,-,2762,122198986,417601,369969190,2772,118298229,-
9/30/2017,BALUCHISTAN,Sherani,-,-,-,-,520,346654,-,-,-
9/30/2017,BALUCHISTAN,Sibi,1,-,340,6225450,2785,1917309,340,6225450,-
9/30/2017,BALUCHISTAN,Washuk,-,-,-,-,363,315019,-,-,-
9/30/2017,BALUCHISTAN,Zhob,-,-,-,-,2726,2827558,-,-,-
9/30/2017,BALUCHISTAN,Ziarat,-,-,-,-,300,143930,-,-,-
9/30/2017,BALUCHISTAN,Total,21,-,6707,252307282,631954,621768768,13253,444502364,-
9/30/2017,KHYBER-PAKHTUNKHWA (KP),Abbottabad,14,-,13978,493685370,108288,889222371,14225,423970130,-
9/30/2017,KHYBER-PAKHTUNKHWA (KP),Bannu,4,-,4206,75573285,11968,8165969,4206,75573285,-
9/30/2017,KHYBER-PAKHTUNKHWA (KP),Batgram,1,-,795,8006101,5872,1607074,795,8006101,-
9/30/2017,KHYBER-PAKHTUNKHWA (KP),Buner (Daggar),1,-,1136,58283896,14427,73303096,1136,58283896,-
9/30/2017,KHYBER-PAKHTUNKHWA (KP),Charsadda,3,-,3882,127382908,45077,199544626,3757,119718131,-
9/30/2017,KHYBER-PAKHTUNKHWA (KP),Chitral,7,-,4142,231780917,45145,1064306552,4837,249155917,-
9/30/2017,KHYBER-PAKHTUNKHWA (KP),D.I. Khan,5,-,9522,461653788,59419,331417204,8469,398375603,-
9/30/2017,KHYBER-PAKHTUNKHWA (KP),Hangu,-,-,-,-,6709,4164613,-,-,-
9/30/2017,KHYBER-PAKHTUNKHWA (KP),Haripur,13,-,14029,512797262,54760,298697052,13365,334089597,-
9/30/2017,KHYBER-PAKHTUNKHWA (KP),Karak,1,-,1010,5691800,13055,3983929,-,-,-
9/30/2017,KHYBER-PAKHTUNKHWA (KP),Kohat,4,-,5000,179615427,38750,285322664,4303,177923227,-
9/30/2017,KHYBER-PAKHTUNKHWA (KP),Kohistan,1,-,-,-,1876,65935264,-,-,-
9/30/2017,KHYBER-PAKHTUNKHWA (KP),Lakki Marwat,1,-,989,15723800,13002,3539117,989,15723800,-
9/30/2017,KHYBER-PAKHTUNKHWA (KP),Lower Dir,-,-,-,-,18326,7277447,-,-,-
9/30/2017,KHYBER-PAKHTUNKHWA (KP),Malakand,3,-,2792,91705378,55467,113958747,2849,93415378,-
9/30/2017,KHYBER-PAKHTUNKHWA (KP),Mansehra,12,-,13608,290508666,48221,250476237,14258,224398212,-
9/30/2017,KHYBER-PAKHTUNKHWA (KP),Mardan,10,-,10646,422399859,118804,208943184,11174,291546546,-
9/30/2017,KHYBER-PAKHTUNKHWA (KP),Mingora,1,-,2512,127345684,10052,416217585,2799,136995684,-
