Date,Province,District,Offices - Fixed,Offices - Mobile,Active Borrowers,Gross Loan Portfolio(PKR),Active Savers,Value of Savings(PKR),Policy Holders,Sum Insured(PKR),Potential Microfinance Market
6/30/2010,BALUCHISTAN,Awaran,-,-,-,-,-,-,-,-,26054
6/30/2010,BALUCHISTAN,Barkhan,-,-,-,-,-,-,-,-,31881
6/30/2010,BALUCHISTAN,Bolan,-,-,-,-,-,-,-,-,66423
6/30/2010,BALUCHISTAN,Chagai,-,-,-,-,-,-,-,-,54814
6/30/2010,BALUCHISTAN,Dera Bugti,-,-,-,-,-,-,-,-,43770
6/30/2010,BALUCHISTAN,Gwadar,5,-,1300,7148479,10337,2162749,1005,11213126,55537
6/30/2010,BALUCHISTAN,Jafarabad,1,-,3246,42055771,-,-,3130,41177639,121911
6/30/2010,BALUCHISTAN,Jhal Magsi,-,-,-,-,-,-,-,-,29887
6/30/2010,BALUCHISTAN,Kalat,-,-,-,-,-,-,-,-,53884
6/30/2010,BALUCHISTAN,Kech (Turbat),1,-,-,-,30578,6951191,-,-,92271
6/30/2010,BALUCHISTAN,Kharan,-,-,-,-,-,-,-,-,47948
6/30/2010,BALUCHISTAN,Khuzdar,-,-,-,-,-,-,-,-,104104
6/30/2010,BALUCHISTAN,Kohlu,-,-,-,-,-,-,-,-,26910
6/30/2010,BALUCHISTAN,Lasbela,4,-,567,5708827,-,-,567,5670000,84637
6/30/2010,BALUCHISTAN,Loralai,1,-,1996,11997613,-,-,21,184775,76879
6/30/2010,BALUCHISTAN,Mastung,-,-,-,-,-,-,-,-,41317
6/30/2010,BALUCHISTAN,Musakhel,-,-,-,-,-,-,-,-,27545
6/30/2010,BALUCHISTAN,Nasirabad,5,-,2964,32736762,-,-,2866,32013334,75783
6/30/2010,BALUCHISTAN,Nushki,-,-,-,-,-,-,-,-,-
6/30/2010,BALUCHISTAN,Panjgur,-,-,-,-,-,-,-,-,51074
6/30/2010,BALUCHISTAN,Pishin,-,-,-,-,-,-,-,-,100179
6/30/2010,BALUCHISTAN,Qila Abdullah,-,-,-,-,-,-,-,-,115112
6/30/2010,BALUCHISTAN,Qila Saifullah,-,-,-,-,-,-,-,-,44345
6/30/2010,BALUCHISTAN,Quetta,9,-,6883,44858633,4340,11853904,3850,30160011,174437
6/30/2010,BALUCHISTAN,Sherani,-,-,-,-,-,-,-,-,-
6/30/2010,BALUCHISTAN,Sibi,1,-,1806,11144320,-,-,455,3462637,48944
6/30/2010,BALUCHISTAN,Washuk,-,-,-,-,-,-,-,-,-
6/30/2010,BALUCHISTAN,Zhob,-,-,-,-,-,-,-,-,53848
6/30/2010,BALUCHISTAN,Ziarat,-,-,-,-,-,-,-,-,7268
6/30/2010,BALUCHISTAN,Total,27,-,18762,155650405,45255,20967844,11894,123881522,1656762
6/30/2010,KHYBER-PAKHTUNKHWA (KP),Abbottabad,4,-,6818,49380208,13974,9458316,6486,49900840,180672
6/30/2010,KHYBER-PAKHTUNKHWA (KP),Bannu,-,-,-,-,-,-,-,-,167380
6/30/2010,KHYBER-PAKHTUNKHWA (KP),Batgram,1,-,-,-,-,-,-,-,58257
6/30/2010,KHYBER-PAKHTUNKHWA (KP),Buner (Daggar),-,-,-,-,-,-,-,-,133171
6/30/2010,KHYBER-PAKHTUNKHWA (KP),Charsadda,4,-,4743,31125835,12925,1264925,6667,57783720,271736
6/30/2010,KHYBER-PAKHTUNKHWA (KP),Chitral,5,-,7733,150713244,20078,402715927,7733,150713244,84846
6/30/2010,KHYBER-PAKHTUNKHWA (KP),D.I. Khan,1,-,3574,38643450,2565,6510036,2961,36415675,221328
6/30/2010,KHYBER-PAKHTUNKHWA (KP),Hangu,-,-,-,-,-,-,-,-,64648
6/30/2010,KHYBER-PAKHTUNKHWA (KP),Haripur,4,-,5139,43966577,35056,22581508,4520,39253991,103830
6/30/2010,KHYBER-PAKHTUNKHWA (KP),Karak,1,-,1948,8967961,-,-,1199,5710671,102174
6/30/2010,KHYBER-PAKHTUNKHWA (KP),Kohat,2,-,4205,26343679,3770,3785206,2070,16924576,114908
6/30/2010,KHYBER-PAKHTUNKHWA (KP),Kohistan,-,-,-,-,-,-,-,-,73374
6/30/2010,KHYBER-PAKHTUNKHWA (KP),Lakki Marwat,-,-,-,-,-,-,-,-,107505
6/30/2010,KHYBER-PAKHTUNKHWA (KP),Lower Dir,-,-,-,-,-,-,-,-,176660
6/30/2010,KHYBER-PAKHTUNKHWA (KP),Malakand,2,-,338,1937010,19623,2556023,5,10790,106429
6/30/2010,KHYBER-PAKHTUNKHWA (KP),Mansehra,4,-,5074,39071668,22991,24870592,4497,35057350,271288
6/30/2010,KHYBER-PAKHTUNKHWA (KP),Mardan,13,-,20600,206950329,28402,5398404,3515,34628000,354988
6/30/2010,KHYBER-PAKHTUNKHWA (KP),Mingora,1,-,569,2532149,-,-,-,-,-
6/30/2010,KHYBER-PAKHTUNKHWA (KP),Nowshera,12,-,9829,70997428,14918,6954914,13978,133751466,201208
6/30/2010,KHYBER-PAKHTUNKHWA (KP),Peshawar,9,-,10098,52737518,11090,5296986,7653,66144873,451548
6/30/2010,KHYBER-PAKHTUNKHWA (KP),Shangla,-,-,-,-,-,-,-,-,116366
6/30/2010,KHYBER-PAKHTUNKHWA (KP),Swabi,3,10,6943,74720531,14454,4074320,2821,31967833,230073
6/30/2010,KHYBER-PAKHTUNKHWA (KP),Swat,1,-,-,-,6488,770115,-,-,286555
6/30/2010,KHYBER-PAKHTUNKHWA (KP),Tank,-,-,-,-,-,-,-,-,62446
6/30/2010,KHYBER-PAKHTUNKHWA (KP),Upper Dir,-,-,-,-,-,-,-,-,142427
6/30/2010,KHYBER-PAKHTUNKHWA (KP),Total,67,10,87611,798087587,206334,496237272,64105,658263029,4083817
6/30/2010,PUNJAB,Attock,37,-,18420,175944281,53967,101087866,22219,338161772,262870
6/30/2010,PUNJAB,Bahawalpur,35,-,80857,1349421121,211023,183423818,271231,4833662087,461777
6/30/2010,PUNJAB,Bhakkar,28,-,12956,136534339,108081,43415368,77931,1418670247,252453
6/30/2010,PUNJAB,Bhawalnagar,8,-,43029,737028082,158988,113050715,270282,4945319181,427843
6/30/2010,PUNJAB,Chakwal,33,-,11418,122164010,48678,112662507,17829,313332063,219565
6/30/2010,PUNJAB,D.G. Khan,19,-,28359,441587304,99835,106575072,63978,1130503149,419252
6/30/2010,PUNJAB,Faisalabad,94,-,109603,1065429748,46330,94250291,177411,1497114681,1096924
6/30/2010,PUNJAB,Gujranwala,66,-,84959,1192919552,34914,75688145,110725,1184946001,735741
6/30/2010,PUNJAB,Gujrat,20,-,21213,278851208,13825,75635793,29372,316971925,446630
6/30/2010,PUNJAB,Hafizabad,7,-,11768,123282921,9462,2104647,17951,149604306,231170
6/30/2010,PUNJAB,Jhang,35,-,31012,295963413,12551,36719677,37178,316226843,626546
6/30/2010,PUNJAB,Jhelum,25,-,11945,115632482,20695,18235681,13507,229799109,170498
6/30/2010,PUNJAB,Kasur,34,-,64384,728200574,24349,42104580,80603,696174805,586427
6/30/2010,PUNJAB,Khanewal,14,-,29199,362116596,21022,56099267,104687,1593868639,432948
6/30/2010,PUNJAB,Khushab,33,-,18132,160412692,96251,55729685,64636,1117221608,235163
6/30/2010,PUNJAB,Lahore,158,-,212591,2470464975,89892,236865423,278086,2389204821,872760
6/30/2010,PUNJAB,Leyyah,12,-,15320,205655411,38537,40551341,14824,254915218,263251
6/30/2010,PUNJAB,Lodhran,9,-,31537,581826438,49159,103092640,170589,3095791504,261693
6/30/2010,PUNJAB,Mandi Bahauddin,6,-,8471,76835997,3015,327988,10003,98539911,298371
6/30/2010,PUNJAB,Mianwali,29,-,17053,145400981,42438,5301520,62840,1144162112,252413
6/30/2010,PUNJAB,Multan,70,-,86721,998825949,37009,249612748,219151,3166237425,689339
6/30/2010,PUNJAB,Muzaffargarh,16,-,6406,82840460,33945,11895840,5548,82831561,570580
6/30/2010,PUNJAB,Nankana Sahib,6,-,8489,543859955,-,-,236,1897596,-
6/30/2010,PUNJAB,Narowal,8,-,10518,207131372,18315,3748599,9471,202991145,268902
6/30/2010,PUNJAB,Okara,16,-,28727,364065262,20696,20715343,33700,423264478,509842
6/30/2010,PUNJAB,Pakpattan,10,-,19810,269260168,27800,57463758,73925,1269107894,281988
6/30/2010,PUNJAB,Rahimyar Khan,30,-,46187,729838764,38780,146196789,178274,3021311561,585705
6/30/2010,PUNJAB,Rajanpur,13,-,29356,459726155,65228,78129242,93358,1663451859,260436
6/30/2010,PUNJAB,Rawalpindi,72,-,57123,484141638,97493,152639372,86013,885035798,327457
6/30/2010,PUNJAB,Sahiwal,30,-,44323,489116656,31698,50632161,93545,1322450251,395468
6/30/2010,PUNJAB,Sargodha,33,-,42455,430890932,15626,35512073,100559,1350607616,671679
6/30/2010,PUNJAB,Sheikhupura,23,-,35292,580052811,11953,1678665,35130,315394699,831522
6/30/2010,PUNJAB,Sialkot,25,-,28712,301375311,34070,32733246,37990,453271014,501997
6/30/2010,PUNJAB,Toba Tek Singh,7,-,20116,277223231,30320,37175168,85976,1437225255,309316
6/30/2010,PUNJAB,Vihari,15,-,30057,404339106,37306,49768726,100352,1633831969,475398
6/30/2010,PUNJAB,Total,1076,-,1356518,17388359892,1683251,2430823755,3049111,44293100101,15233924
6/30/2010,SINDH,Badin,12,-,11625,181659260,59091,52399991,19101,347443447,294781
6/30/2010,SINDH,Dadu,20,-,14976,164951539,45688,62410820,24538,94481109,447305
6/30/2010,SINDH,Ghotki,4,-,17786,308261487,13112,18954589,15979,267673880,248442
6/30/2010,SINDH,Hyderabad,39,1,42967,513964347,31397,297172496,79484,1416044689,517652
6/30/2010,SINDH,Jacobabad,4,-,12714,167822118,5236,55811518,7282,109824885,361146
6/30/2010,SINDH,Jamshoro,3,-,1169,8450939,17873,8477680,4091,11906704,-
6/30/2010,SINDH,Karachi,102,1,119330,1397438194,108640,3928274857,134932,1215673874,1329990
6/30/2010,SINDH,Khairpur,10,-,31642,462034228,8545,78869200,17919,319725340,401853
6/30/2010,SINDH,Larkana,7,-,18422,251080066,16285,28719058,17593,245047870,534891
6/30/2010,SINDH,Matyari,9,1,20502,317937306,7369,13145979,48164,812920431,-
6/30/2010,SINDH,Mirpur Khas,21,-,21078,287579137,51941,44330396,30842,486994176,210494
6/30/2010,SINDH,Naushahro Feroze,9,-,16858,206316558,1559,9592788,7819,124000282,266462
6/30/2010,SINDH,Nawabshah,15,1,24416,366869938,10299,51176072,25136,407558279,225430
6/30/2010,SINDH,Sanghar,14,1,27667,325063774,833,5331686,19806,113618586,354133
6/30/2010,SINDH,Sehwan Sharif,1,-,1738,12348347,-,-,158,1472137,-
6/30/2010,SINDH,Shehdad Kot,-,-,-,-,-,-,-,-,-
6/30/2010,SINDH,Shikarpur,1,-,2749,31729128,-,-,2707,31534504,237633
6/30/2010,SINDH,Sukkur,19,-,21487,301115385,6673,22445576,20126,299161153,213080
6/30/2010,SINDH,Tando Allahyar,11,-,13599,242046937,11410,37684399,18084,345421531,-
6/30/2010,SINDH,Tando Jam,2,-,2232,46653363,2010,16294505,2232,46653363,-
6/30/2010,SINDH,Tando Muhammad Khan,5,-,8359,144647539,9502,51569418,16043,296414157,-
6/30/2010,SINDH,Tharparkar,16,-,13611,140505672,196841,140226133,50959,75309803,283491
6/30/2010,SINDH,Thatta,19,-,6467,99413371,19491,102993902,10373,183342058,245046
6/30/2010,SINDH,Umar Kot,29,-,16067,162720246,50641,82704451,39218,52631305,185966
6/30/2010,SINDH,Total,372,5,467461,6140608879,674436,5108585514,612584,7304853563,6357795
