Date,Province,District,Offices - Fixed,Offices - Mobile,Active Borrowers,Gross Loan Portfolio(PKR),Active Savers,Value of Savings(PKR),Policy Holders,Sum Insured(PKR),Potential Microfinance Market
12/31/2010,BALUCHISTAN,Awaran,-,-,-,-,-,-,-,-,26054
12/31/2010,BALUCHISTAN,Barkhan,-,-,-,-,-,-,-,-,31881
12/31/2010,BALUCHISTAN,Bolan,-,-,-,-,-,-,-,-,66423
12/31/2010,BALUCHISTAN,Chagai,-,-,-,-,-,-,-,-,54814
12/31/2010,BALUCHISTAN,Dera Bugti,-,-,-,-,-,-,-,-,43770
12/31/2010,BALUCHISTAN,Gwadar,5,-,1116,5639824,10437,2215014,501,4161667,55537
12/31/2010,BALUCHISTAN,Jafarabad,4,-,3518,45517643,-,-,3643,47073927,121911
12/31/2010,BALUCHISTAN,Jhal Magsi,-,-,-,-,-,-,-,-,29887
12/31/2010,BALUCHISTAN,Kalat,-,-,-,-,-,-,-,-,53884
12/31/2010,BALUCHISTAN,Kech (Turbat),1,-,-,-,64935,9732087,-,-,92271
12/31/2010,BALUCHISTAN,Kharan,-,-,-,-,-,-,-,-,47948
12/31/2010,BALUCHISTAN,Khuzdar,-,-,-,-,-,-,-,-,104104
12/31/2010,BALUCHISTAN,Kohlu,-,-,-,-,-,-,-,-,26910
12/31/2010,BALUCHISTAN,Lasbela,4,-,1335,9920190,-,-,1679,16790000,84637
12/31/2010,BALUCHISTAN,Loralai,-,-,-,-,-,-,-,-,76879
12/31/2010,BALUCHISTAN,Mastung,-,-,-,-,-,-,-,-,41317
12/31/2010,BALUCHISTAN,Musakhel,-,-,-,-,-,-,-,-,27545
12/31/2010,BALUCHISTAN,Nasirabad,2,-,2287,24992880,-,-,2189,24269050,75783
12/31/2010,BALUCHISTAN,Nushki,-,-,-,-,-,-,-,-,-
12/31/2010,BALUCHISTAN,Panjgur,-,-,-,-,-,-,-,-,51074
12/31/2010,BALUCHISTAN,Pishin,-,-,-,-,-,-,-,-,100179
12/31/2010,BALUCHISTAN,Qila Abdullah,-,-,-,-,-,-,-,-,115112
12/31/2010,BALUCHISTAN,Qila Saifullah,-,-,-,-,-,-,-,-,44345
12/31/2010,BALUCHISTAN,Quetta,9,-,9933,59059119,4885,30843434,6066,52036301,174437
12/31/2010,BALUCHISTAN,Sherani,-,-,-,-,-,-,-,-,-
12/31/2010,BALUCHISTAN,Sibi,1,-,1633,9494107,-,-,260,1609861,48944
12/31/2010,BALUCHISTAN,Washuk,-,-,-,-,-,-,-,-,-
12/31/2010,BALUCHISTAN,Zhob,-,-,-,-,-,-,-,-,53848
12/31/2010,BALUCHISTAN,Ziarat,-,-,-,-,-,-,-,-,7268
