Date,Province,District,Offices - Fixed,Offices - Mobile,Active Borrowers,Gross Loan Portfolio(PKR),Active Savers,Value of Savings(PKR),Policy Holders,Sum Insured(PKR),Potential Microfinance Market
12/31/2012,BALUCHISTAN,Awaran,-,-,-,-,9890,863151,-,-,26054
12/31/2012,BALUCHISTAN,Barkhan,-,-,-,-,-,-,-,-,31881
12/31/2012,BALUCHISTAN,Bolan,-,-,-,-,-,-,-,-,66423
12/31/2012,BALUCHISTAN,Chagai,-,-,-,-,-,-,-,-,54814
12/31/2012,BALUCHISTAN,Dera Bugti,-,-,-,-,-,-,-,-,43770
12/31/2012,BALUCHISTAN,Gwadar,2,-,-,-,19280,2197919,-,-,55537
12/31/2012,BALUCHISTAN,Jafarabad,3,-,2944,41042972,1814,4484687,1885,28621138,121911
12/31/2012,BALUCHISTAN,Jhal Magsi,-,-,-,-,-,-,-,-,29887
12/31/2012,BALUCHISTAN,Kalat,-,-,-,-,-,-,-,-,53884
12/31/2012,BALUCHISTAN,Kech (Turbat),1,-,-,-,50299,9923680,-,-,92271
12/31/2012,BALUCHISTAN,Kharan,-,-,-,-,-,-,-,-,47948
12/31/2012,BALUCHISTAN,Khuzdar,-,-,-,-,-,-,-,-,104104
12/31/2012,BALUCHISTAN,Kohlu,-,-,-,-,-,-,-,-,26910
12/31/2012,BALUCHISTAN,Lasbela,4,-,768,6239124,-,-,960,9600000,84637
12/31/2012,BALUCHISTAN,Loralai,-,-,-,-,-,-,-,-,76879
12/31/2012,BALUCHISTAN,Mastung,-,-,-,-,-,-,-,-,41317
12/31/2012,BALUCHISTAN,Musakhel,-,-,-,-,-,-,-,-,27545
12/31/2012,BALUCHISTAN,Nasirabad,2,-,2272,32887688,2424,2759602,1986,30744393,75783
12/31/2012,BALUCHISTAN,Nushki,-,-,-,-,-,-,-,-,-
12/31/2012,BALUCHISTAN,Panjgur,-,-,-,-,16949,439579,-,-,51074
12/31/2012,BALUCHISTAN,Pishin,-,-,-,-,-,-,-,-,100179
12/31/2012,BALUCHISTAN,Qila Abdullah,-,-,-,-,-,-,-,-,115112
12/31/2012,BALUCHISTAN,Qila Saifullah,-,-,-,-,-,-,-,-,44345
12/31/2012,BALUCHISTAN,Quetta,10,-,9843,63456757,5094,342842587,2106,25386706,174437
12/31/2012,BALUCHISTAN,Sherani,-,-,-,-,-,-,-,-,-
12/31/2012,BALUCHISTAN,Sibi,-,-,-,-,-,-,-,-,48944
12/31/2012,BALUCHISTAN,Washuk,-,-,-,-,-,-,-,-,-
12/31/2012,BALUCHISTAN,Zhob,-,-,-,-,-,-,-,-,53848
12/31/2012,BALUCHISTAN,Ziarat,-,-,-,-,-,-,-,-,7268
12/31/2012,BALUCHISTAN,Total,22,-,15827,143626541,105750,363511205,6937,94352237,1656762
12/31/2012,KHYBER-PAKHTUNKHWA (KP),Abbottabad,6,-,8893,153036627,5275,64182987,7064,73827216,180672
12/31/2012,KHYBER-PAKHTUNKHWA (KP),Bannu,-,-,-,-,-,-,-,-,167380
12/31/2012,KHYBER-PAKHTUNKHWA (KP),Batgram,-,-,-,-,-,-,-,-,58257
12/31/2012,KHYBER-PAKHTUNKHWA (KP),Buner (Daggar),-,-,-,-,269,40520,-,-,133171
12/31/2012,KHYBER-PAKHTUNKHWA (KP),Charsadda,4,-,4888,49808728,13958,9848449,3514,44587250,271736
12/31/2012,KHYBER-PAKHTUNKHWA (KP),Chitral,6,-,3133,104232243,24424,605493661,3133,104232243,84846
12/31/2012,KHYBER-PAKHTUNKHWA (KP),D.I. Khan,1,-,3848,62515852,5283,110305486,3187,59206942,221328
12/31/2012,KHYBER-PAKHTUNKHWA (KP),Hangu,-,-,-,-,-,-,-,-,64648
12/31/2012,KHYBER-PAKHTUNKHWA (KP),Haripur,4,2,9744,136952344,8896,48349889,11546,86610910,103830
12/31/2012,KHYBER-PAKHTUNKHWA (KP),Karak,-,-,-,-,-,-,-,-,102174
12/31/2012,KHYBER-PAKHTUNKHWA (KP),Kohat,2,-,6241,45352562,1929,17206126,2387,26908084,114908
12/31/2012,KHYBER-PAKHTUNKHWA (KP),Kohistan,-,-,-,-,-,-,-,-,73374
12/31/2012,KHYBER-PAKHTUNKHWA (KP),Lakki Marwat,-,-,-,-,-,-,-,-,107505
12/31/2012,KHYBER-PAKHTUNKHWA (KP),Lower Dir,-,-,-,-,-,-,-,-,176660
12/31/2012,KHYBER-PAKHTUNKHWA (KP),Malakand,1,-,2251,32670378,30212,34355838,2008,31349674,106429
12/31/2012,KHYBER-PAKHTUNKHWA (KP),Mansehra,4,-,4810,55336974,2143,44880372,2783,36197109,271288
12/31/2012,KHYBER-PAKHTUNKHWA (KP),Mardan,2,-,5729,51590227,54167,46432072,2702,40163303,354988
12/31/2012,KHYBER-PAKHTUNKHWA (KP),Mingora,1,-,1903,29259395,1629,33565131,1511,27603261,-
12/31/2012,KHYBER-PAKHTUNKHWA (KP),Nowshera,12,-,9260,88265463,11426,94679430,8083,85291333,201208
12/31/2012,KHYBER-PAKHTUNKHWA (KP),Peshawar,8,-,6700,49804114,6214,27994703,2837,29807921,451548
12/31/2012,KHYBER-PAKHTUNKHWA (KP),Shangla,-,-,-,-,-,-,-,-,116366
12/31/2012,KHYBER-PAKHTUNKHWA (KP),Swabi,4,1,5408,70271742,28175,20066558,2690,34183122,230073
12/31/2012,KHYBER-PAKHTUNKHWA (KP),Swat,-,-,-,-,6488,770115,-,-,286555
12/31/2012,KHYBER-PAKHTUNKHWA (KP),Tank,-,-,-,-,-,-,-,-,62446
12/31/2012,KHYBER-PAKHTUNKHWA (KP),Upper Dir,-,-,-,-,-,-,-,-,142427
12/31/2012,KHYBER-PAKHTUNKHWA (KP),Total,55,3,72808,929096649,200488,1158171338,53445,679968368,4083817
12/31/2012,PUNJAB,Attock,41,7,28545,340718220,69888,230883427,59320,801216524,262870
12/31/2012,PUNJAB,Bahawalpur,31,-,73549,1550304013,310569,921752698,73041,1063289118,461777
