Date,Province,District,Offices - Fixed,Offices - Mobile,Active Borrowers,Gross Loan Portfolio(PKR),Active Savers,Value of Savings(PKR),Policy Holders,Sum Insured(PKR),Potential Microfinance Market
3/31/2019,BALUCHISTAN,Awaran,-,-,-,-,11519,1762657,-,-,-
3/31/2019,BALUCHISTAN,Barkhan,-,-,-,-,569,4020494,-,-,-
3/31/2019,BALUCHISTAN,Bolan,-,-,-,-,992,3998120,-,-,-
3/31/2019,BALUCHISTAN,Chagai,-,-,-,-,10,1023,-,-,-
3/31/2019,BALUCHISTAN,Dera Bugti,-,-,-,-,2148,7095662,-,-,-
3/31/2019,BALUCHISTAN,Gwadar,8,-,132,4570021,23350,4522224,108,4342197,-
3/31/2019,BALUCHISTAN,Jafarabad,1,-,-,-,42468,106635207,-,-,-
3/31/2019,BALUCHISTAN,Jhal Magsi,-,-,-,-,361,980969,-,-,-
3/31/2019,BALUCHISTAN,Kalat,-,-,-,-,595,2466411,-,-,-
3/31/2019,BALUCHISTAN,Kech (Turbat),-,-,-,-,57594,10292276,-,-,-
3/31/2019,BALUCHISTAN,Kharan,-,-,-,-,963,1703280,-,-,-
3/31/2019,BALUCHISTAN,Khuzdar,-,-,-,-,252,70764,-,-,-
3/31/2019,BALUCHISTAN,Kohlu,-,-,-,-,154,631404,-,-,-
3/31/2019,BALUCHISTAN,Lasbela,4,-,1131,28806078,45248,1461235,7082,182065781,-
3/31/2019,BALUCHISTAN,Loralai,-,-,-,-,10256,31965309,-,-,-
3/31/2019,BALUCHISTAN,Mastung,-,-,-,-,655,1754666,-,-,-
3/31/2019,BALUCHISTAN,Musakhel,-,-,-,-,-,-,-,-,-
3/31/2019,BALUCHISTAN,Nasirabad,2,-,3562,291599321,13519,71508968,3820,301344321,-
3/31/2019,BALUCHISTAN,Nushki,-,-,-,-,3054,6147356,-,-,-
3/31/2019,BALUCHISTAN,Panjgur,-,-,-,-,22479,3696403,-,-,-
3/31/2019,BALUCHISTAN,Pishin,-,-,-,-,2213,9992370,-,-,-
3/31/2019,BALUCHISTAN,Qila Abdullah,-,-,-,-,61,15189,-,-,-
3/31/2019,BALUCHISTAN,Qila Saifullah,-,-,-,-,545,80643,-,-,-
3/31/2019,BALUCHISTAN,Quetta,10,-,5168,316884405,538325,1329495163,4877,301279217,-
3/31/2019,BALUCHISTAN,Sherani,-,-,-,-,132,223346,-,-,-
3/31/2019,BALUCHISTAN,Sibi,2,-,1107,36688621,1137,5901016,1107,36688621,-
3/31/2019,BALUCHISTAN,Washuk,-,-,-,-,-,-,-,-,-
3/31/2019,BALUCHISTAN,Zhob,-,-,-,-,1618,2469483,-,-,-
3/31/2019,BALUCHISTAN,Ziarat,-,-,-,-,454,902647,-,-,-
3/31/2019,BALUCHISTAN,Total,27,-,11100,678548446,780671,1609794285,16994,825720137,500000
3/31/2019,KHYBER-PAKHTUNKHWA (KP),Abbottabad,16,1,16627,842808761,81753,950850960,15013,590290658,-
3/31/2019,KHYBER-PAKHTUNKHWA (KP),Bannu,4,-,4750,72591800,4188,140401636,4750,72591800,-
3/31/2019,KHYBER-PAKHTUNKHWA (KP),Batgram,1,-,425,6196134,677,520614,425,6196134,-
3/31/2019,KHYBER-PAKHTUNKHWA (KP),Buner (Daggar),1,-,1005,47892732,3763,97469924,1032,49532732,-
3/31/2019,KHYBER-PAKHTUNKHWA (KP),Charsadda,5,-,4905,224487224,37218,254658970,5200,165472556,-
3/31/2019,KHYBER-PAKHTUNKHWA (KP),Chitral,11,-,7323,535854113,55504,1429249363,7475,528227391,-
3/31/2019,KHYBER-PAKHTUNKHWA (KP),D.I. Khan,9,-,14307,807823817,2378831,6574898607,17505,761963475,-
3/31/2019,KHYBER-PAKHTUNKHWA (KP),Hangu,-,-,-,-,3548,8717581,-,-,-
3/31/2019,KHYBER-PAKHTUNKHWA (KP),Haripur,14,15,23557,897949812,58826,392906315,44412,484798111,-
3/31/2019,KHYBER-PAKHTUNKHWA (KP),Karak,1,-,1832,15142200,3280,4355829,-,-,-
