Date,Province,District,Offices - Fixed,Offices - Mobile,Active Borrowers,Gross Loan Portfolio(PKR),Active Savers,Value of Savings(PKR),Policy Holders,Sum Insured(PKR),Potential Microfinance Market
6/30/2012,BALUCHISTAN,Awaran,1,-,-,-,9692,887521,-,-,26054
6/30/2012,BALUCHISTAN,Barkhan,-,-,-,-,-,-,-,-,31881
6/30/2012,BALUCHISTAN,Bolan,-,-,-,-,-,-,-,-,66423
6/30/2012,BALUCHISTAN,Chagai,-,-,-,-,-,-,-,-,54814
6/30/2012,BALUCHISTAN,Dera Bugti,-,-,-,-,-,-,-,-,43770
6/30/2012,BALUCHISTAN,Gwadar,2,-,143,2098049,19235,2745235,12,270000,55537
6/30/2012,BALUCHISTAN,Jafarabad,3,-,3330,40839409,1504,6081267,2564,33003302,121911
6/30/2012,BALUCHISTAN,Jhal Magsi,-,-,-,-,-,-,-,-,29887
6/30/2012,BALUCHISTAN,Kalat,-,-,-,-,-,-,-,-,53884
6/30/2012,BALUCHISTAN,Kech (Turbat),1,-,-,-,41744,9774190,-,-,92271
6/30/2012,BALUCHISTAN,Kharan,-,-,-,-,-,-,-,-,47948
6/30/2012,BALUCHISTAN,Khuzdar,-,-,-,-,-,-,-,-,104104
6/30/2012,BALUCHISTAN,Kohlu,-,-,-,-,-,-,-,-,26910
6/30/2012,BALUCHISTAN,Lasbela,4,-,1734,17870811,-,-,1877,18770000,84637
6/30/2012,BALUCHISTAN,Loralai,-,-,-,-,-,-,-,-,76879
6/30/2012,BALUCHISTAN,Mastung,-,-,-,-,-,-,-,-,41317
6/30/2012,BALUCHISTAN,Musakhel,-,-,-,-,-,-,-,-,27545
6/30/2012,BALUCHISTAN,Nasirabad,2,-,2503,29587198,1876,2452988,2358,30889837,75783
6/30/2012,BALUCHISTAN,Nushki,-,-,-,-,-,-,-,-,-
6/30/2012,BALUCHISTAN,Panjgur,1,-,-,-,15799,475489,-,-,51074
6/30/2012,BALUCHISTAN,Pishin,-,-,-,-,-,-,-,-,100179
6/30/2012,BALUCHISTAN,Qila Abdullah,-,-,-,-,-,-,-,-,115112
6/30/2012,BALUCHISTAN,Qila Saifullah,-,-,-,-,-,-,-,-,44345
6/30/2012,BALUCHISTAN,Quetta,10,-,10920,65561674,4962,345250677,3327,30030480,174437
6/30/2012,BALUCHISTAN,Sherani,-,-,-,-,-,-,-,-,-
6/30/2012,BALUCHISTAN,Sibi,-,-,-,-,-,-,-,-,48944
6/30/2012,BALUCHISTAN,Washuk,-,-,-,-,-,-,-,-,-
6/30/2012,BALUCHISTAN,Zhob,-,-,-,-,-,-,-,-,53848
6/30/2012,BALUCHISTAN,Ziarat,-,-,-,-,-,-,-,-,7268
6/30/2012,BALUCHISTAN,Total,24,-,18630,155957141,94812,367667367,10138,112963619,1656762
6/30/2012,KHYBER-PAKHTUNKHWA (KP),Abbottabad,5,-,8488,132534196,15136,42411968,7029,61945738,180672
6/30/2012,KHYBER-PAKHTUNKHWA (KP),Bannu,-,-,-,-,-,-,-,-,167380
6/30/2012,KHYBER-PAKHTUNKHWA (KP),Batgram,-,-,-,-,-,-,-,-,58257
6/30/2012,KHYBER-PAKHTUNKHWA (KP),Buner (Daggar),-,-,-,-,-,-,-,-,133171
6/30/2012,KHYBER-PAKHTUNKHWA (KP),Charsadda,4,-,5483,40567866,13091,2415715,4332,38608229,271736
6/30/2012,KHYBER-PAKHTUNKHWA (KP),Chitral,5,-,3456,88301301,23876,568924167,3456,88301301,84846
6/30/2012,KHYBER-PAKHTUNKHWA (KP),D.I. Khan,1,-,3125,41719971,4863,31265597,2461,38412986,221328
6/30/2012,KHYBER-PAKHTUNKHWA (KP),Hangu,-,-,-,-,,,,,64648
6/30/2012,KHYBER-PAKHTUNKHWA (KP),Haripur,4,1,9013,101758040,49549,37859710,10416,65394645,103830
6/30/2012,KHYBER-PAKHTUNKHWA (KP),Karak,,,,,,,,,102174
6/30/2012,KHYBER-PAKHTUNKHWA (KP),Kohat,2,-,6496,41870361,876,4552405,2746,23935344,114908
6/30/2012,KHYBER-PAKHTUNKHWA (KP),Kohistan,,,,,,,,,73374
6/30/2012,KHYBER-PAKHTUNKHWA (KP),Lakki Marwat,,,,,,,,,107505
6/30/2012,KHYBER-PAKHTUNKHWA (KP),Lower Dir,,,,,,,,,176660
6/30/2012,KHYBER-PAKHTUNKHWA (KP),Malakand,2,-,2015,21382242,27475,22045958,1774,20070469,106429
6/30/2012,KHYBER-PAKHTUNKHWA (KP),Mansehra,5,-,5333,51988029,23787,53031419,3302,30887546,271288
6/30/2012,KHYBER-PAKHTUNKHWA (KP),Mardan,2,-,5819,39335025,46253,26645288,3182,29867376,354988
6/30/2012,KHYBER-PAKHTUNKHWA (KP),Mingora,1,-,1588,13509471,642,15265814,1183,11803328,-
6/30/2012,KHYBER-PAKHTUNKHWA (KP),Nowshera,12,-,10439,90042400,10801,53315274,9498,94318123,201208
6/30/2012,KHYBER-PAKHTUNKHWA (KP),Peshawar,7,-,8243,50422565,5898,22372353,4487,38853603,451548
6/30/2012,KHYBER-PAKHTUNKHWA (KP),Shangla,,,,,,,,,116366
6/30/2012,KHYBER-PAKHTUNKHWA (KP),Swabi,4,1,4247,59675864,36697,9782765,3260,28903227,230073
6/30/2012,KHYBER-PAKHTUNKHWA (KP),Swat,1,-,-,-,6488,770115,-,-,286555
6/30/2012,KHYBER-PAKHTUNKHWA (KP),Tank,,,,,,,,,62446
6/30/2012,KHYBER-PAKHTUNKHWA (KP),Upper Dir,,,,,,,,,142427
6/30/2012,KHYBER-PAKHTUNKHWA (KP),Total,55,2,73745,773107331,265432,890658548,57126,571301915,4083817
6/30/2012,PUNJAB,Attock,29,7,27274,291236156,97212,128959933,54743,734855697,262870
6/30/2012,PUNJAB,Bahawalpur,29,-,65309,1223991959,286603,599923997,66135,896185837,461777
6/30/2012,PUNJAB,Bhakkar,16,-,22564,328765172,138058,86293578,36860,767452861,252453
6/30/2012,PUNJAB,Bhawalnagar,16,-,35724,651313544,233492,406248444,31598,480141306,427843
6/30/2012,PUNJAB,Chakwal,24,-,14575,176301088,64875,130923573,22612,462417752,219565
6/30/2012,PUNJAB,D.G. Khan,20,-,31986,664013466,142881,229818741,37177,734278425,419252
6/30/2012,PUNJAB,Faisalabad,94,1,117652,1221409395,63133,286073481,184176,1473927277,1096924
6/30/2012,PUNJAB,Gujranwala,68,-,92807,1664795448,51089,365820811,100771,911061801,735741
6/30/2012,PUNJAB,Gujrat,24,-,28201,455275783,23728,290377114,38160,417635532,446630
6/30/2012,PUNJAB,Hafizabad,15,-,17317,538421499,13969,32122815,25312,382877153,231170
6/30/2012,PUNJAB,Jhang,25,-,33020,668086634,22681,93965703,47085,467089244,626546
6/30/2012,PUNJAB,Jhelum,23,-,20294,233257841,31344,20400183,37414,802441069,170498
6/30/2012,PUNJAB,Kasur,33,-,59731,909624964,36065,134524753,69242,615051885,586427
6/30/2012,PUNJAB,Khanewal,25,-,31924,422086519,34173,145338399,42584,398628418,432948
6/30/2012,PUNJAB,Khushab,23,-,23496,297435150,120023,87625649,43063,854369833,235163
6/30/2012,PUNJAB,Lahore,141,1,194185,2413468650,100896,791838260,235093,2113829210,872760
6/30/2012,PUNJAB,Leyyah,9,-,15048,242939114,28203,86937216,12989,216879992,263251
6/30/2012,PUNJAB,Lodhran,16,-,31923,591718790,67304,316684860,32606,485110368,261693
6/30/2012,PUNJAB,Mandi Bahauddin,7,-,5916,64736754,524,10978041,8049,55809182,298371
6/30/2012,PUNJAB,Mianwali,20,-,24993,324650891,69280,15189650,44082,960883862,252413
6/30/2012,PUNJAB,Multan,67,-,85519,1138895011,48704,372703021,119673,1200337074,689339
6/30/2012,PUNJAB,Muzaffargarh,7,-,11668,168046288,21184,39607471,13236,202876912,570580
6/30/2012,PUNJAB,Nankana Sahib,10,-,10745,193283682,-,-,3345,52769036,-
6/30/2012,PUNJAB,Narowal,10,-,12752,163182136,10118,28442541,22667,488019025,268902
6/30/2012,PUNJAB,Okara,26,-,33196,781555313,31862,48329878,40336,546660179,509842
6/30/2012,PUNJAB,Pakpattan,20,-,26021,422552489,33720,99221180,34376,450386561,281988
6/30/2012,PUNJAB,Rahimyar Khan,39,-,77788,1597181225,110725,431511295,102759,1803459182,585705
6/30/2012,PUNJAB,Rajanpur,14,-,35332,648268048,106354,177869590,48631,948527766,260436
6/30/2012,PUNJAB,Rawalpindi,79,-,74311,901955638,103620,776379150,121068,1498839943,327457
6/30/2012,PUNJAB,Sahiwal,33,-,39793,537855624,46494,194752439,51488,602965121,395468
6/30/2012,PUNJAB,Sargodha,47,-,41509,576207340,34168,117339610,67288,707552681,671679
6/30/2012,PUNJAB,Sheikhupura,28,1,44371,529231776,8620,17831969,42966,488076163,831522
6/30/2012,PUNJAB,Sialkot,38,-,47685,636992112,26711,113197356,68664,960013461,501997
6/30/2012,PUNJAB,Toba Tek Singh,11,-,19422,272861498,36631,94855102,29735,407563515,309316
6/30/2012,PUNJAB,Vihari,21,-,31547,502583807,57186,200090090,34764,409802428,475398
6/30/2012,PUNJAB,Total,1107,10,1485598,22454180804,2301630,6972175893,1970747,24998775751,15233924
6/30/2012,SINDH,Badin,15,-,15741,259851846,92549,77112556,13970,293592163,294781
6/30/2012,SINDH,Dadu,18,-,20700,208879155,72794,129981866,48031,83971372,447305
6/30/2012,SINDH,Ghotki,16,-,30788,613701716,25117,58113372,24539,366078501,248442
6/30/2012,SINDH,Hyderabad,39,-,43841,696358591,46492,324075305,39797,734099330,517652
6/30/2012,SINDH,Jacobabad,5,-,12699,170925205,6264,55831446,4736,57030506,361146
6/30/2012,SINDH,Jamshoro,5,-,5654,65084057,22398,23197760,5737,35774136,-
6/30/2012,SINDH,Karachi,111,-,138169,2372920548,567920,6984694911,135200,1283051445,1329990
6/30/2012,SINDH,Khairpur,12,-,29578,552479350,11463,150396066,14081,319972999,401853
6/30/2012,SINDH,Larkana,18,-,27605,427800022,24880,76190248,20395,247386802,534891
6/30/2012,SINDH,Matyari,24,-,39434,613914275,41281,73690997,31210,225560406,-
6/30/2012,SINDH,Mirpur Khas,26,-,25971,425445179,73235,65127372,16266,216439425,210494
6/30/2012,SINDH,Naushahro Feroze,9,-,15791,219873890,2506,16222370,4875,101019531,266462
6/30/2012,SINDH,Nawabshah,24,-,34658,623124405,22744,78554940,19551,173677624,225430
6/30/2012,SINDH,Sanghar,21,1,36857,444770989,1318,10033389,26364,130446674,354133
6/30/2012,SINDH,Sehwan Sharif,,,,,,,,,-
6/30/2012,SINDH,Shehdad Kot,2,-,5281,87396695,6792,13861225,5279,87379071,-
6/30/2012,SINDH,Shikarpur,13,-,15299,226393122,4438,12417975,7162,51539145,237633
6/30/2012,SINDH,Sukkur,19,-,28026,524700094,14874,66292113,19409,307005802,213080
6/30/2012,SINDH,Tando Allahyar,16,-,21378,429045540,25059,60107605,12887,161891969,-
6/30/2012,SINDH,Tando Jam,3,-,2320,56926573,2159,24213839,1349,34322293,-
6/30/2012,SINDH,Tando Muhammad Khan,5,-,8569,180505084,19205,56475001,9631,194450563,-
6/30/2012,SINDH,Tharparkar,18,-,20883,217863840,254887,155065619,54784,63211442,283491
6/30/2012,SINDH,Thatta,13,-,9247,131921592,40591,151613029,4022,90658308,245046
6/30/2012,SINDH,Umar Kot,32,-,24616,306667895,54211,75238027,43448,56153982,185966
6/30/2012,SINDH,Total,464,1,613105,9856549663,1433177,8738507031,562723,5314713489,6357795
6/30/2012,AZAD JAMMU AND KASHMIR (AJK),Bagh,6,-,7291,60109092,21045,15853060,10636,204531581,-
