Date,Province,District,Offices - Fixed,Offices - Mobile,Active Borrowers,Gross Loan Portfolio(PKR),Active Savers,Value of Savings(PKR),Policy Holders,Sum Insured(PKR),Potential Microfinance Market
12/31/2013,BALUCHISTAN,Awaran,-,-,-,-,9890,894131,-,-,26054
12/31/2013,BALUCHISTAN,Barkhan,-,-,-,-,-,-,-,-,31881
12/31/2013,BALUCHISTAN,Bolan,-,-,-,-,-,-,-,-,66423
12/31/2013,BALUCHISTAN,Chagai,-,-,-,-,-,-,-,-,54814
12/31/2013,BALUCHISTAN,Dera Bugti,-,-,-,-,-,-,-,-,43770
12/31/2013,BALUCHISTAN,Gwadar,4,-,203,2595407,20160,3117153,203,2595407,55537
12/31/2013,BALUCHISTAN,Jafarabad,1,-,9844,126610035,2094,5013997,1010,23037194,121911
12/31/2013,BALUCHISTAN,Jhal Magsi,-,-,-,-,-,-,-,-,29887
12/31/2013,BALUCHISTAN,Kalat,-,-,-,-,-,-,-,-,53884
12/31/2013,BALUCHISTAN,Kech (Turbat),1,-,-,-,48595,10288776,-,-,92271
12/31/2013,BALUCHISTAN,Kharan,-,-,-,-,-,-,-,-,47948
12/31/2013,BALUCHISTAN,Khuzdar,-,-,-,-,-,-,-,-,104104
12/31/2013,BALUCHISTAN,Kohlu,-,-,-,-,-,-,-,-,26910
12/31/2013,BALUCHISTAN,Lasbela,5,-,572,7261011,5052,342450,1046,8090374,84637
12/31/2013,BALUCHISTAN,Loralai,-,-,-,-,-,-,-,-,76879
12/31/2013,BALUCHISTAN,Mastung,-,-,-,-,-,-,-,-,41317
12/31/2013,BALUCHISTAN,Musakhel,-,-,-,-,-,-,-,-,27545
12/31/2013,BALUCHISTAN,Nasirabad,5,-,1710,29073650,2788,5630998,1207,22936736,75783
12/31/2013,BALUCHISTAN,Nushki,-,-,-,-,-,-,-,-,-
12/31/2013,BALUCHISTAN,Panjgur,-,-,-,-,16949,491439,960,28800000,51074
12/31/2013,BALUCHISTAN,Pishin,-,-,-,-,-,-,-,-,100179
12/31/2013,BALUCHISTAN,Qila Abdullah,-,-,-,-,-,-,-,-,115112
12/31/2013,BALUCHISTAN,Qila Saifullah,-,-,-,-,-,-,-,-,44345
12/31/2013,BALUCHISTAN,Quetta,11,-,8491,71000091,5744,390889994,611,21099686,174437
12/31/2013,BALUCHISTAN,Sherani,-,-,-,-,-,-,-,-,-
12/31/2013,BALUCHISTAN,Sibi,-,-,-,-,-,-,-,-,48944
12/31/2013,BALUCHISTAN,Washuk,-,-,-,-,-,-,-,-,-
12/31/2013,BALUCHISTAN,Zhob,-,-,-,-,-,-,-,-,53848
12/31/2013,BALUCHISTAN,Ziarat,-,-,-,-,-,-,-,-,7268
12/31/2013,BALUCHISTAN,Total,27,-,20820,236540194,111272,416668938,5037,106559397,1656762
12/31/2013,KHYBER-PAKHTUNKHWA (KP),Abbottabad,12,-,11925,231436685,11759,124323186,10140,130623994,180672
12/31/2013,KHYBER-PAKHTUNKHWA (KP),Bannu,-,-,-,-,-,-,-,-,167380
12/31/2013,KHYBER-PAKHTUNKHWA (KP),Batgram,-,-,-,-,-,-,-,-,58257
12/31/2013,KHYBER-PAKHTUNKHWA (KP),Buner (Daggar),-,-,-,-,269,40520,-,-,133171
12/31/2013,KHYBER-PAKHTUNKHWA (KP),Charsadda,3,-,5085,74336562,16400,13606175,3096,65112087,271736
12/31/2013,KHYBER-PAKHTUNKHWA (KP),Chitral,6,-,3888,131101317,26558,704279571,3888,131101317,84846
12/31/2013,KHYBER-PAKHTUNKHWA (KP),D.I. Khan,1,-,4103,83311712,6364,17196947,3438,79774805,221328
12/31/2013,KHYBER-PAKHTUNKHWA (KP),Hangu,-,-,-,-,-,-,-,-,64648
12/31/2013,KHYBER-PAKHTUNKHWA (KP),Haripur,8,3,12836,198146731,14461,67912633,15635,113736967,103830
12/31/2013,KHYBER-PAKHTUNKHWA (KP),Karak,-,-,-,-,-,-,-,-,102174
