Date,Province,District,Offices - Fixed,Offices - Mobile,Active Borrowers,Gross Loan Portfolio(PKR),Active Savers,Value of Savings(PKR),Policy Holders,Sum Insured(PKR),Potential Microfinance Market
12/31/2008,BALUCHISTAN,Awaran,-,-,-,-,-,-,-,-,-
12/31/2008,BALUCHISTAN,Barkhan,1,-,986,6876303,-,-,986,6876303,31881
12/31/2008,BALUCHISTAN,Bolan,-,-,-,-,-,-,-,-,-
12/31/2008,BALUCHISTAN,Chagai,-,-,-,-,-,-,-,-,-
12/31/2008,BALUCHISTAN,Dera Bugti,-,-,-,-,-,-,-,-,-
12/31/2008,BALUCHISTAN,Gwadar,4,-,2186,13606847,9276,2790021,2333,42248469,55537
12/31/2008,BALUCHISTAN,Jafarabad,1,-,3485,40786360,-,-,3485,40786360,121911
12/31/2008,BALUCHISTAN,Jhal Magsi,-,-,-,-,-,-,-,-,-
12/31/2008,BALUCHISTAN,Kalat,-,-,-,-,-,-,-,-,-
12/31/2008,BALUCHISTAN,Kech (Turbat),2,-,26,178513,21717,4613940,52,1560000,92271
12/31/2008,BALUCHISTAN,Kharan,-,-,-,-,-,-,-,-,-
12/31/2008,BALUCHISTAN,Khuzdar,-,-,-,-,-,-,-,-,-
12/31/2008,BALUCHISTAN,Kohlu,-,-,-,-,-,-,-,-,-
12/31/2008,BALUCHISTAN,Lasbela,-,-,-,-,-,-,-,-,-
12/31/2008,BALUCHISTAN,Loralai,2,-,2088,13002512,-,-,2088,13002512,76879
12/31/2008,BALUCHISTAN,Mastung,1,-,336,1812732,-,-,336,1812732,41317
12/31/2008,BALUCHISTAN,Musakhel,-,-,-,-,-,-,-,-,-
12/31/2008,BALUCHISTAN,Nasirabad,1,-,2493,26334971,-,-,2493,26334971,75783
12/31/2008,BALUCHISTAN,Nushki,-,-,-,-,-,-,-,-,-
12/31/2008,BALUCHISTAN,Panjgur,-,-,-,-,-,-,-,-,-
12/31/2008,BALUCHISTAN,Pishin,1,-,1334,9701719,-,-,1334,9701719,100179
12/31/2008,BALUCHISTAN,Qila Abdullah,-,-,-,-,-,-,-,-,-
12/31/2008,BALUCHISTAN,Qila Saifullah,-,-,-,-,-,-,-,-,-
12/31/2008,BALUCHISTAN,Quetta,6,-,4474,24814082,1097,9555000,4418,24351567,174437
12/31/2008,BALUCHISTAN,Sherani,-,-,-,-,-,-,-,-,-
12/31/2008,BALUCHISTAN,Sibi,1,-,1878,12152114,-,-,1878,12152114,48944
12/31/2008,BALUCHISTAN,Washuk,-,-,-,-,-,-,-,-,-
12/31/2008,BALUCHISTAN,Zhob,1,-,717,4340917,-,-,717,4340917,53848
12/31/2008,BALUCHISTAN,Ziarat,1,-,18,70621,-,-,18,70621,7268
12/31/2008,BALUCHISTAN,Total,22,-,20021,153677691,32090,16958961,20138,183238285,1656762
12/31/2008,KHYBER-PAKHTUNKHWA (KP),Abbottabad,3,-,6770,25526134,9001,3284010,6029,22224387,180672
12/31/2008,KHYBER-PAKHTUNKHWA (KP),Bannu,-,-,-,-,-,-,-,-,-
12/31/2008,KHYBER-PAKHTUNKHWA (KP),Batgram,2,-,921,1997972,3507,96265,921,2023490,58257
12/31/2008,KHYBER-PAKHTUNKHWA (KP),Buner (Daggar),-,-,-,-,-,-,-,-,-
12/31/2008,KHYBER-PAKHTUNKHWA (KP),Charsadda,4,-,13411,127917116,9665,1168201,15519,356371070,271736
12/31/2008,KHYBER-PAKHTUNKHWA (KP),Chitral,6,-,8631,178914886,15344,250012225,7977,157502860,84846
12/31/2008,KHYBER-PAKHTUNKHWA (KP),D.I. Khan,2,-,6226,74293506,-,-,5969,64183811,221328
12/31/2008,KHYBER-PAKHTUNKHWA (KP),Hangu,-,-,-,-,-,-,-,-,-
12/31/2008,KHYBER-PAKHTUNKHWA (KP),BOK,-,-,-,-,-,-,-,-,-
12/31/2008,KHYBER-PAKHTUNKHWA (KP),Haripur,4,-,5323,66072525,20417,5799263,3239,21573774,103830
