Date,Province,District,Offices - Fixed,Offices - Mobile,Active Borrowers,Gross Loan Portfolio(PKR),Active Savers,Value of Savings(PKR),Policy Holders,Sum Insured(PKR),Potential Microfinance Market
6/30/2013,BALUCHISTAN,Awaran,-,-,-,-,9890,894131,-,-,26054
6/30/2013,BALUCHISTAN,Barkhan,-,-,-,-,-,-,-,-,31881
6/30/2013,BALUCHISTAN,Bolan,-,-,-,-,-,-,-,-,66423
6/30/2013,BALUCHISTAN,Chagai,-,-,-,-,-,-,-,-,54814
6/30/2013,BALUCHISTAN,Dera Bugti,-,-,-,-,-,-,-,-,43770
6/30/2013,BALUCHISTAN,Gwadar,3,-,250,3116569,20155,3363821,-,-,55537
6/30/2013,BALUCHISTAN,Jafarabad,3,-,10026,129166783,2015,6537216,1989,36836216,121911
6/30/2013,BALUCHISTAN,Jhal Magsi,-,-,-,-,-,-,-,-,29887
6/30/2013,BALUCHISTAN,Kalat,-,-,-,-,-,-,-,-,53884
6/30/2013,BALUCHISTAN,Kech (Turbat),1,-,-,-,48560,10273506,-,-,92271
6/30/2013,BALUCHISTAN,Kharan,-,-,-,-,-,-,-,-,47948
6/30/2013,BALUCHISTAN,Khuzdar,-,-,-,-,-,-,-,-,104104
6/30/2013,BALUCHISTAN,Kohlu,-,-,-,-,-,-,-,-,26910
6/30/2013,BALUCHISTAN,Lasbela,4,-,90,1329592,1739,243975,271,2710000,84637
6/30/2013,BALUCHISTAN,Loralai,-,-,-,-,-,-,-,-,76879
6/30/2013,BALUCHISTAN,Mastung,-,-,-,-,-,-,-,-,41317
6/30/2013,BALUCHISTAN,Musakhel,-,-,-,-,-,-,-,-,27545
6/30/2013,BALUCHISTAN,Nasirabad,2,-,1829,31058849,2785,3985199,1529,28121894,75783
6/30/2013,BALUCHISTAN,Nushki,-,-,-,-,-,-,-,-,-
6/30/2013,BALUCHISTAN,Panjgur,-,-,-,-,16949,491439,1920,43200000,51074
6/30/2013,BALUCHISTAN,Pishin,-,-,-,-,-,-,-,-,100179
6/30/2013,BALUCHISTAN,Qila Abdullah,-,-,-,-,-,-,-,-,115112
6/30/2013,BALUCHISTAN,Qila Saifullah,-,-,-,-,-,-,-,-,44345
6/30/2013,BALUCHISTAN,Quetta,10,-,8511,62237019,5376,427245613,653,16190426,174437
6/30/2013,BALUCHISTAN,Sherani,-,-,-,-,-,-,-,-,-
6/30/2013,BALUCHISTAN,Sibi,-,-,-,-,-,-,-,-,48944
6/30/2013,BALUCHISTAN,Washuk,-,-,-,-,-,-,-,-,-
6/30/2013,BALUCHISTAN,Zhob,-,-,-,-,-,-,-,-,53848
6/30/2013,BALUCHISTAN,Ziarat,-,-,-,-,-,-,-,-,7268
6/30/2013,BALUCHISTAN,Total,23,-,20706,226908812,107469,453034900,6362,127058536,1656762
6/30/2013,KHYBER-PAKHTUNKHWA (KP),Abbottabad,9,-,9909,195587289,9294,111710467,7769,105224664,180672
6/30/2013,KHYBER-PAKHTUNKHWA (KP),Bannu,-,-,-,-,-,-,-,-,167380
6/30/2013,KHYBER-PAKHTUNKHWA (KP),Batgram,-,-,-,-,-,-,-,-,58257
6/30/2013,KHYBER-PAKHTUNKHWA (KP),Buner (Daggar),-,-,-,-,269,40520,-,-,133171
6/30/2013,KHYBER-PAKHTUNKHWA (KP),Charsadda,4,-,4855,65186595,15213,27034517,3297,58332268,271736
6/30/2013,KHYBER-PAKHTUNKHWA (KP),Chitral,6,-,3967,118420672,25431,652617284,3967,118420672,84846
6/30/2013,KHYBER-PAKHTUNKHWA (KP),D.I. Khan,1,-,3108,57830017,5624,109993022,2453,54463023,221328
6/30/2013,KHYBER-PAKHTUNKHWA (KP),Hangu,-,-,-,-,-,-,-,-,64648
6/30/2013,KHYBER-PAKHTUNKHWA (KP),Haripur,4,3,10881,170400270,10118,65597958,12883,99533084,103830
6/30/2013,KHYBER-PAKHTUNKHWA (KP),Karak,-,-,-,-,-,-,-,-,102174
6/30/2013,KHYBER-PAKHTUNKHWA (KP),Kohat,2,-,6149,52739168,3125,32513884,2100,32700750,114908
6/30/2013,KHYBER-PAKHTUNKHWA (KP),Kohistan,-,-,-,-,-,-,-,-,73374
6/30/2013,KHYBER-PAKHTUNKHWA (KP),Lakki Marwat,-,-,-,-,-,-,-,-,107505
6/30/2013,KHYBER-PAKHTUNKHWA (KP),Lower Dir,-,-,-,-,-,-,-,-,176660
6/30/2013,KHYBER-PAKHTUNKHWA (KP),Malakand,2,-,2680,50059221,31643,36490097,2417,48609733,106429
6/30/2013,KHYBER-PAKHTUNKHWA (KP),Mansehra,5,-,4544,67454754,2464,51734783,2615,39929658,271288
6/30/2013,KHYBER-PAKHTUNKHWA (KP),Mardan,3,-,6122,77618374,57294,43621146,2887,65262286,354988
6/30/2013,KHYBER-PAKHTUNKHWA (KP),Mingora,1,-,2378,46212901,2387,45701285,1980,44524679,-
6/30/2013,KHYBER-PAKHTUNKHWA (KP),Nowshera,11,-,8753,96239302,12330,270994671,7333,88860527,201208
6/30/2013,KHYBER-PAKHTUNKHWA (KP),Peshawar,8,-,6820,56659249,6477,36838440,2704,34632563,451548
6/30/2013,KHYBER-PAKHTUNKHWA (KP),Shangla,-,-,-,-,-,-,-,-,116366
6/30/2013,KHYBER-PAKHTUNKHWA (KP),Swabi,4,1,6186,90290035,29550,15391716,2642,52947401,230073
6/30/2013,KHYBER-PAKHTUNKHWA (KP),Swat,-,-,-,-,6488,770115,-,-,286555
6/30/2013,KHYBER-PAKHTUNKHWA (KP),Tank,-,-,-,-,-,-,-,-,62446
6/30/2013,KHYBER-PAKHTUNKHWA (KP),Upper Dir,-,-,-,-,-,-,-,-,142427
6/30/2013,KHYBER-PAKHTUNKHWA (KP),Total,60,4,76352,1144697847,217707,1501049905,55047,843441308,4083817
6/30/2013,PUNJAB,Attock,39,7,32988,423223604,76325,68985799,41672,349332734,262870
6/30/2013,PUNJAB,Bahawalpur,31,-,90020,2119381402,335745,1074432418,93873,1518197869,461777
6/30/2013,PUNJAB,Bhakkar,22,-,26413,528247415,167546,135457349,65938,1525006513,252453
6/30/2013,PUNJAB,Bhawalnagar,24,-,56623,1312943817,258949,734975364,54749,909988216,427843
6/30/2013,PUNJAB,Chakwal,34,-,21549,281131518,77058,107921805,17881,293783729,219565
6/30/2013,PUNJAB,D.G. Khan,21,-,39299,899636889,160270,318469321,54302,1138806436,419252
6/30/2013,PUNJAB,Faisalabad,105,-,136635,1579137792,71895,324614963,211203,1595560829,1096924
6/30/2013,PUNJAB,Gujranwala,73,-,106451,1973281737,69984,408867251,113156,1129248333,735741
6/30/2013,PUNJAB,Gujrat,25,-,34803,667245965,31186,472288909,46190,580441897,446630
6/30/2013,PUNJAB,Hafizabad,17,-,20961,671718432,26048,63358545,33535,573746796,231170
6/30/2013,PUNJAB,Jhang,26,-,35984,804358702,32219,173883955,52525,540712880,626546
6/30/2013,PUNJAB,Jhelum,29,-,32286,404111929,45051,35257452,14506,254588102,170498
6/30/2013,PUNJAB,Kasur,37,-,70920,1237177013,49639,220839270,77948,887452321,586427
6/30/2013,PUNJAB,Khanewal,27,-,42286,712997869,43460,238071130,56241,623059415,432948
6/30/2013,PUNJAB,Khushab,26,-,30508,467254250,143274,127527006,58312,1188010141,235163
6/30/2013,PUNJAB,Lahore,157,-,203007,2906266055,120650,2342393012,243837,2469041955,872760
6/30/2013,PUNJAB,Leyyah,17,-,19446,399371245,32366,93845970,27171,576118334,263251
6/30/2013,PUNJAB,Lodhran,22,-,47890,1193240257,84740,477850236,49453,862595529,261693
6/30/2013,PUNJAB,Mandi Bahauddin,19,-,12440,191612680,4394,37122663,11223,115852772,298371
6/30/2013,PUNJAB,Mianwali,24,-,27667,410536345,77412,56404264,55157,1228360711,252413
6/30/2013,PUNJAB,Multan,77,-,97065,1657989828,66345,776749431,132964,1337730406,689339
6/30/2013,PUNJAB,Muzaffargarh,22,-,25492,434187829,16681,74040787,26481,426858031,570580
6/30/2013,PUNJAB,Nankana Sahib,9,-,14873,241338410,-,-,1156,11479085,-
6/30/2013,PUNJAB,Narowal,14,-,21316,362631848,17923,75877738,35393,784529501,268902
6/30/2013,PUNJAB,Okara,30,-,40289,922011439,40884,178013766,46877,734816035,509842
6/30/2013,PUNJAB,Pakpattan,22,-,36189,723506299,44083,156731299,46963,695046990,281988
6/30/2013,PUNJAB,Rahimyar Khan,42,-,90756,2237179513,125082,643892207,125224,2329764417,585705
6/30/2013,PUNJAB,Rajanpur,17,-,42622,475883458,123499,308640488,74899,1574436953,260436
6/30/2013,PUNJAB,Rawalpindi,71,-,82877,1117235425,123146,1588005908,88878,678497730,327457
6/30/2013,PUNJAB,Sahiwal,35,-,46984,783639712,61962,276264448,60955,839269482,395468
6/30/2013,PUNJAB,Sargodha,56,-,75931,1172526897,50267,227155120,145178,2325576451,671679
6/30/2013,PUNJAB,Sheikhupura,34,-,60100,794147463,18987,40841517,49036,652405540,831522
6/30/2013,PUNJAB,Sialkot,44,-,54251,865138794,41864,273877383,90535,1362591236,501997
6/30/2013,PUNJAB,Toba Tek Singh,12,-,30365,579118725,43266,177438374,45285,680624378,309316
6/30/2013,PUNJAB,Vihari,23,-,44921,896133269,67429,279783902,44268,677936575,475398
6/30/2013,PUNJAB,Total,1282,7,1852207,32845543823,2749629,12589879052,2392964,33471468322,15233924
6/30/2013,SINDH,Badin,22,-,19750,339901477,113791,70877602,17934,368166752,294781
6/30/2013,SINDH,Dadu,24,-,26799,294105008,75356,150410511,66968,111595620,447305
6/30/2013,SINDH,Ghotki,16,-,29606,646580392,24514,55899981,20520,360678126,248442
6/30/2013,SINDH,Hyderabad,39,-,43762,791543865,52022,465048037,40080,779988599,517652
6/30/2013,SINDH,Jacobabad,4,-,5996,102495357,7734,39903327,5635,49542543,361146
6/30/2013,SINDH,Jamshoro,6,-,5390,78545249,21009,9355641,7084,22808119,-
6/30/2013,SINDH,Karachi,115,-,129234,2687061663,873636,10881080809,128904,1256736428,1329990
6/30/2013,SINDH,Khairpur,17,-,33872,668012103,16858,133343748,13734,345342147,401853
6/30/2013,SINDH,Larkana,17,-,29390,576362417,31444,287919587,20864,337228291,534891
6/30/2013,SINDH,Matyari,25,-,40080,650290107,44332,82644263,31415,203714742,-
6/30/2013,SINDH,Mirpur Khas,31,-,29040,502052158,91320,89518682,28202,292880048,210494
6/30/2013,SINDH,Naushahro Feroze,10,-,16084,254264015,4251,28106451,4126,84543028,266462
6/30/2013,SINDH,Nawabshah,22,-,35112,673423041,26805,86384711,19669,152629051,225430
6/30/2013,SINDH,Sanghar,25,-,41589,538849300,2927,12811881,29932,124753227,354133
6/30/2013,SINDH,Sehwan Sharif,-,-,-,-,-,-,-,-,-
6/30/2013,SINDH,Shehdad Kot,2,-,5165,99868585,7870,27843842,5163,99850961,-
6/30/2013,SINDH,Shikarpur,14,-,20665,330723699,19415,64950111,17283,89993792,237633
6/30/2013,SINDH,Sukkur,21,-,28929,598867321,19884,506453633,16031,274961566,213080
6/30/2013,SINDH,Tando Allahyar,12,-,17150,386054435,27886,64708120,9906,130881326,-
6/30/2013,SINDH,Tando Jam,3,-,2012,50948383,2342,28883191,1064,32184758,-
6/30/2013,SINDH,Tando Muhammad Khan,6,-,8519,204124155,22929,65062649,7642,183248671,-
6/30/2013,SINDH,Tharparkar,30,-,25853,336305826,273087,192136086,75041,103597000,283491
6/30/2013,SINDH,Thatta,14,-,12766,236761874,45744,173422715,7541,159799332,245046
6/30/2013,SINDH,Umar Kot,31,-,28009,418542489,60653,88169001,68988,72971744,185966
6/30/2013,SINDH,Total,506,-,634772,11465682919,1865809,13604934578,643726,5638095871,6357795
6/30/2013,AZAD JAMMU AND KASHMIR (AJK),Bagh,5,-,8992,102037724,50091,39026461,14589,309973313,-
6/30/2013,AZAD JAMMU AND KASHMIR (AJK),Bhimber,-,-,-,-,-,-,-,-,-
6/30/2013,AZAD JAMMU AND KASHMIR (AJK),Kotli,13,-,8230,84281018,39499,6060646,17412,391770000,-
6/30/2013,AZAD JAMMU AND KASHMIR (AJK),Mirpur,1,-,10,153000,-,-,10,153000,-
6/30/2013,AZAD JAMMU AND KASHMIR (AJK),Muzaffarabad,3,-,9502,121433367,37340,457814542,7443,113873512,-
6/30/2013,AZAD JAMMU AND KASHMIR (AJK),Neelum,-,-,-,-,-,-,-,-,-
6/30/2013,AZAD JAMMU AND KASHMIR (AJK),Poonch,4,-,6920,95906045,43170,29249305,10527,213228490,-
6/30/2013,AZAD JAMMU AND KASHMIR (AJK),Sudhnati,1,-,832,9376349,13576,2137024,1704,38340000,-
6/30/2013,AZAD JAMMU AND KASHMIR (AJK),Total,27,-,34486,413187503,183676,534287978,51685,1067338315,-
6/30/2013,GILGIT-BALTISTAN (GB),Astore,1,-,800,36454980,2948,80040684,800,36454980,-
6/30/2013,GILGIT-BALTISTAN (GB),Diamer,1,-,85,1698000,-,-,85,1698000,-
6/30/2013,GILGIT-BALTISTAN (GB),Ghanche,1,-,824,32070709,5356,158889798,824,32070709,-
6/30/2013,GILGIT-BALTISTAN (GB),Ghizer,5,-,3064,136966890,17880,267597579,3064,136966890,-
6/30/2013,GILGIT-BALTISTAN (GB),Gilgit,6,-,2467,117546505,19165,505797289,2467,117546504,-
6/30/2013,GILGIT-BALTISTAN (GB),Skardu,5,-,3966,127848080,10236,194639499,3966,127848080,-
6/30/2013,GILGIT-BALTISTAN (GB),Total,19,-,11206,452585164,55585,1206964850,11206,452585163,-
6/30/2013,FEDERALLY ADMINISTRATED TRIBAL AREAS (FATA),Bajaur Agency,-,-,-,-,-,-,-,-,-
6/30/2013,FEDERALLY ADMINISTRATED TRIBAL AREAS (FATA),Khyber Agency,-,-,-,-,-,-,-,-,-
6/30/2013,FEDERALLY ADMINISTRATED TRIBAL AREAS (FATA),Kurram Agency,-,-,-,-,-,-,-,-,-
6/30/2013,FEDERALLY ADMINISTRATED TRIBAL AREAS (FATA),Mohmand Agency,-,-,-,-,-,-,-,-,-
6/30/2013,FEDERALLY ADMINISTRATED TRIBAL AREAS (FATA),North Waziristan Agency,-,-,-,-,-,-,-,-,-
6/30/2013,FEDERALLY ADMINISTRATED TRIBAL AREAS (FATA),Orakzai Agency,-,-,-,-,-,-,-,-,-
6/30/2013,FEDERALLY ADMINISTRATED TRIBAL AREAS (FATA),South Waziristan Agency,-,-,-,-,-,-,-,-,-
6/30/2013,FEDERALLY ADMINISTRATED TRIBAL AREAS (FATA),Total,-,-,-,-,-,-,-,-,-
6/30/2013,ISLAMABAD CAPITAL TERRITORY (ICT),ICT,6,-,5583,77601624,27522,119962770,8521,191566012,74750
