Date,Province,District,Offices - Fixed,Offices - Mobile,Active Borrowers,Gross Loan Portfolio(PKR),Active Savers,Value of Savings(PKR),Policy Holders,Sum Insured(PKR),Potential Microfinance Market
9/30/2012,BALUCHISTAN,Awaran,-,-,-,-,9790,890591,-,-,26054
9/30/2012,BALUCHISTAN,Barkhan,-,-,-,-,-,-,-,-,31881
9/30/2012,BALUCHISTAN,Bolan,-,-,-,-,-,-,-,-,66423
9/30/2012,BALUCHISTAN,Chagai,-,-,-,-,-,-,-,-,54814
9/30/2012,BALUCHISTAN,Dera Bugti,-,-,-,-,-,-,-,-,43770
9/30/2012,BALUCHISTAN,Gwadar,3,-,159,2435190,19917,2751843,-,-,55537
9/30/2012,BALUCHISTAN,Jafarabad,3,-,3533,48746032,1790,7553901,2628,38264916,121911
9/30/2012,BALUCHISTAN,Jhal Magsi,-,-,-,-,-,-,-,-,29887
9/30/2012,BALUCHISTAN,Kalat,-,-,-,-,-,-,-,-,53884
9/30/2012,BALUCHISTAN,Kech (Turbat),1,-,-,-,46983,9840422,-,-,92271
9/30/2012,BALUCHISTAN,Kharan,-,-,-,-,-,-,-,-,47948
9/30/2012,BALUCHISTAN,Khuzdar,-,-,-,-,-,-,-,-,104104
9/30/2012,BALUCHISTAN,Kohlu,-,-,-,-,-,-,-,-,26910
9/30/2012,BALUCHISTAN,Lasbela,4,-,1257,11711630,-,-,1419,14190000,84637
9/30/2012,BALUCHISTAN,Loralai,-,-,-,-,-,-,-,-,76879
9/30/2012,BALUCHISTAN,Mastung,-,-,-,-,-,-,-,-,41317
9/30/2012,BALUCHISTAN,Musakhel,-,-,-,-,-,-,-,-,27545
9/30/2012,BALUCHISTAN,Nasirabad,2,-,3013,41705979,2386,4990674,2880,42330748,75783
9/30/2012,BALUCHISTAN,Nushki,-,-,-,-,-,-,-,-,-
9/30/2012,BALUCHISTAN,Panjgur,-,-,-,-,16651,489329,-,-,51074
9/30/2012,BALUCHISTAN,Pishin,-,-,-,-,-,-,-,-,100179
9/30/2012,BALUCHISTAN,Qila Abdullah,-,-,-,-,-,-,-,-,115112
9/30/2012,BALUCHISTAN,Qila Saifullah,-,-,-,-,-,-,-,-,44345
