Date,Province,District,Offices - Fixed,Offices - Mobile,Active Borrowers,Gross Loan Portfolio(PKR),Active Savers,Value of Savings(PKR),Policy Holders,Sum Insured(PKR),Potential Microfinance Market
6/30/2017,BALUCHISTAN,Awaran,-,-,-,-,11165,1361741,-,-,-
6/30/2017,BALUCHISTAN,Barkhan,-,-,-,-,562,-,-,-,-
6/30/2017,BALUCHISTAN,Bolan,-,-,-,-,351,-,-,-,-
6/30/2017,BALUCHISTAN,Chagai,-,-,-,-,23,1023,-,-,-
6/30/2017,BALUCHISTAN,Dera Bugti,-,-,-,-,1097,-,-,-,-
6/30/2017,BALUCHISTAN,Gwadar,4,-,431,7193924,22870,225144099,-,-,-
6/30/2017,BALUCHISTAN,Jafarabad,1,-,449,7317581,14689,1933216,-,-,-
6/30/2017,BALUCHISTAN,Jhal Magsi,-,-,-,-,140,-,-,-,-
6/30/2017,BALUCHISTAN,Kalat,-,-,-,-,476,53965,-,-,-
6/30/2017,BALUCHISTAN,Kech (Turbat),-,-,-,-,49458,10321887,508,17480000,-
6/30/2017,BALUCHISTAN,Kharan,-,-,-,-,16,561,-,-,-
6/30/2017,BALUCHISTAN,Khuzdar,-,-,-,-,955,54913,-,-,-
6/30/2017,BALUCHISTAN,Kohlu,-,-,-,-,29,-,-,-,-
6/30/2017,BALUCHISTAN,Lasbela,5,-,2054,38214093,37781,534274,9171,247012705,-
6/30/2017,BALUCHISTAN,Loralai,-,-,-,-,1730,4322,-,-,-
6/30/2017,BALUCHISTAN,Mastung,-,-,-,-,634,43214,-,-,-
6/30/2017,BALUCHISTAN,Musakhel,-,-,-,-,-,-,-,-,-
6/30/2017,BALUCHISTAN,Nasirabad,2,-,832,58713333,5899,37560138,832,58713333,-
6/30/2017,BALUCHISTAN,Nushki,-,-,-,-,1150,-,-,-,-
6/30/2017,BALUCHISTAN,Panjgur,-,-,-,-,21836,3280710,-,-,-
6/30/2017,BALUCHISTAN,Pishin,-,-,-,-,851,33465,-,-,-
6/30/2017,BALUCHISTAN,Qila Abdullah,-,-,-,-,26,1781,-,-,-
6/30/2017,BALUCHISTAN,Qila Saifullah,-,-,-,-,553,80643,-,-,-
6/30/2017,BALUCHISTAN,Quetta,6,-,2248,96604020,388922,328801261,2258,92275834,-
6/30/2017,BALUCHISTAN,Sherani,-,-,-,-,56,-,-,-,-
6/30/2017,BALUCHISTAN,Sibi,1,-,143,2640700,3389,54112,143,2640700,-
6/30/2017,BALUCHISTAN,Washuk,-,-,-,-,-,-,-,-,-
6/30/2017,BALUCHISTAN,Zhob,-,-,-,-,1237,7056,-,-,-
6/30/2017,BALUCHISTAN,Ziarat,-,-,-,-,291,962,-,-,-
6/30/2017,BALUCHISTAN,Total,19,-,6157,210683651,566186,609273343,12912,418122572,-
6/30/2017,KHYBER-PAKHTUNKHWA (KP),Abbottabad,14,288,13993,493227275,70755,783079227,13340,400526100,-
6/30/2017,KHYBER-PAKHTUNKHWA (KP),Bannu,4,219,3370,56060540,6555,210891,3370,56060540,-
6/30/2017,KHYBER-PAKHTUNKHWA (KP),Batgram,1,71,806,10847441,705,89621,806,10847441,-
6/30/2017,KHYBER-PAKHTUNKHWA (KP),Buner (Daggar),1,47,1302,60111679,2539,61544230,1302,60111679,-
6/30/2017,KHYBER-PAKHTUNKHWA (KP),Charsadda,3,215,3638,120548902,29183,195011808,3497,112060863,-
6/30/2017,KHYBER-PAKHTUNKHWA (KP),Chitral,7,29,3962,208171156,43907,1027570939,4657,225546156,-
6/30/2017,KHYBER-PAKHTUNKHWA (KP),D.I. Khan,5,289,7921,394533738,19763,252691256,9554,398087879,-
6/30/2017,KHYBER-PAKHTUNKHWA (KP),Hangu,-,54,-,-,2953,70436,-,-,-
6/30/2017,KHYBER-PAKHTUNKHWA (KP),Haripur,13,176,13624,496003880,34609,266615381,12928,321544432,-
6/30/2017,KHYBER-PAKHTUNKHWA (KP),Karak,1,43,768,5406800,18689,283608,-,-,-
6/30/2017,KHYBER-PAKHTUNKHWA (KP),Kohat,4,172,4586,168292839,13709,207235946,4091,166101239,-
6/30/2017,KHYBER-PAKHTUNKHWA (KP),Kohistan,1,3,-,-,1071,94319381,-,-,-
6/30/2017,KHYBER-PAKHTUNKHWA (KP),Lakki Marwat,1,97,1027,14516000,15825,9930,1027,14516000,-
6/30/2017,KHYBER-PAKHTUNKHWA (KP),Lower Dir,-,100,-,-,1567,34600,-,-,-
6/30/2017,KHYBER-PAKHTUNKHWA (KP),Malakand,3,16,2586,91424417,54203,97679797,2638,92984417,-
