Date,Province,District,Offices - Fixed,Offices - Mobile,Active Borrowers,Gross Loan Portfolio(PKR),Active Savers,Value of Savings(PKR),Policy Holders,Sum Insured(PKR),Potential Microfinance Market
3/31/2011,BALUCHISTAN,Awaran,-,-,-,-,-,-,-,-,26054
3/31/2011,BALUCHISTAN,Barkhan,-,-,-,-,-,-,-,-,31881
3/31/2011,BALUCHISTAN,Bolan,-,-,-,-,-,-,-,-,66423
3/31/2011,BALUCHISTAN,Chagai,-,-,-,-,-,-,-,-,54814
3/31/2011,BALUCHISTAN,Dera Bugti,-,-,-,-,-,-,-,-,43770
3/31/2011,BALUCHISTAN,Gwadar,5,-,1056,5150059,10513,2281893,399,3343115,55537
3/31/2011,BALUCHISTAN,Jafarabad,4,-,3526,43521052,-,-,3788,47364712,121911
3/31/2011,BALUCHISTAN,Jhal Magsi,-,-,-,-,-,-,-,-,29887
3/31/2011,BALUCHISTAN,Kalat,-,-,-,-,-,-,-,-,53884
3/31/2011,BALUCHISTAN,Kech (Turbat),1,-,-,-,65649,9988782,-,-,92271
3/31/2011,BALUCHISTAN,Kharan,-,-,-,-,-,-,-,-,47948
3/31/2011,BALUCHISTAN,Khuzdar,-,-,-,-,-,-,-,-,104104
3/31/2011,BALUCHISTAN,Kohlu,-,-,-,-,-,-,-,-,26910
3/31/2011,BALUCHISTAN,Lasbela,4,-,1491,10752115,-,-,1900,19000000,84637
3/31/2011,BALUCHISTAN,Loralai,-,-,-,-,-,-,-,-,76879
3/31/2011,BALUCHISTAN,Mastung,-,-,-,-,-,-,-,-,41317
3/31/2011,BALUCHISTAN,Musakhel,-,-,-,-,-,-,-,-,27545
3/31/2011,BALUCHISTAN,Nasirabad,2,-,1842,22521209,-,-,1823,22594984,75783
3/31/2011,BALUCHISTAN,Nushki,-,-,-,-,-,-,-,-,-
3/31/2011,BALUCHISTAN,Panjgur,-,-,-,-,-,-,-,-,51074
3/31/2011,BALUCHISTAN,Pishin,-,-,-,-,-,-,-,-,100179
3/31/2011,BALUCHISTAN,Qila Abdullah,-,-,-,-,-,-,-,-,115112
3/31/2011,BALUCHISTAN,Qila Saifullah,-,-,-,-,-,-,-,-,44345
3/31/2011,BALUCHISTAN,Quetta,9,-,9879,62730128,5103,56883023,6008,53509385,174437
3/31/2011,BALUCHISTAN,Sherani,-,-,-,-,-,-,-,-,-
3/31/2011,BALUCHISTAN,Sibi,1,-,1497,8502341,-,-,102,453115,48944
3/31/2011,BALUCHISTAN,Washuk,-,-,-,-,-,-,-,-,-
3/31/2011,BALUCHISTAN,Zhob,-,-,-,-,-,-,-,-,53848
3/31/2011,BALUCHISTAN,Ziarat,-,-,-,-,-,-,-,-,7268
3/31/2011,BALUCHISTAN,Total,26,-,19291,153176904,81265,69153698,14020,146265311,1656762
3/31/2011,KHYBER-PAKHTUNKHWA (KP),Abbottabad,5,-,6423,58596117,13706,13787621,5901,43128495,180672
3/31/2011,KHYBER-PAKHTUNKHWA (KP),Bannu,-,-,-,-,-,-,-,-,167380
3/31/2011,KHYBER-PAKHTUNKHWA (KP),Batgram,2,-,501,4333105,653,103185,-,-,58257
3/31/2011,KHYBER-PAKHTUNKHWA (KP),Buner (Daggar),-,-,-,-,-,-,-,-,133171
3/31/2011,KHYBER-PAKHTUNKHWA (KP),Charsadda,4,-,4896,34751853,12926,1264925,4623,39826062,271736
3/31/2011,KHYBER-PAKHTUNKHWA (KP),Chitral,5,-,7481,145519331,21232,460120807,7481,145519331,84846
3/31/2011,KHYBER-PAKHTUNKHWA (KP),D.I. Khan,1,-,3450,40065704,3807,13042738,2778,37221658,221328
3/31/2011,KHYBER-PAKHTUNKHWA (KP),Hangu,-,-,-,-,-,-,-,-,64648
3/31/2011,KHYBER-PAKHTUNKHWA (KP),Haripur,4,-,6108,61754601,34469,27677151,5040,48610842,103830
3/31/2011,KHYBER-PAKHTUNKHWA (KP),Karak,1,-,623,3451678,931,60764,-,-,102174
3/31/2011,KHYBER-PAKHTUNKHWA (KP),Kohat,2,-,5973,36032926,455,87938,2778,21684907,114908
3/31/2011,KHYBER-PAKHTUNKHWA (KP),Kohistan,-,-,-,-,-,-,-,-,73374
3/31/2011,KHYBER-PAKHTUNKHWA (KP),Lakki Marwat,-,-,-,-,-,-,-,-,107505
3/31/2011,KHYBER-PAKHTUNKHWA (KP),Lower Dir,-,-,-,-,-,-,-,-,176660
3/31/2011,KHYBER-PAKHTUNKHWA (KP),Malakand,2,-,923,7214517,20272,2564023,626,5664703,106429
3/31/2011,KHYBER-PAKHTUNKHWA (KP),Mansehra,4,-,5901,57408756,23679,38271638,5081,44368458,271288
3/31/2011,KHYBER-PAKHTUNKHWA (KP),Mardan,14,-,22740,215466835,30256,5439882,4006,36409220,354988
3/31/2011,KHYBER-PAKHTUNKHWA (KP),Mingora,1,-,505,2482924,-,-,70,701000,-
3/31/2011,KHYBER-PAKHTUNKHWA (KP),Nowshera,9,-,7715,60644270,8079,15364976,8652,81376070,201208
