Date,Province,District,Offices - Fixed,Offices - Mobile,Active Borrowers,Gross Loan Portfolio(PKR),Active Savers,Value of Savings(PKR),Policy Holders,Sum Insured(PKR),Potential Microfinance Market
12/31/2007,BALUCHISTAN,Awaran,-,-,-,-,-,-,-,-,26054
12/31/2007,BALUCHISTAN,Barkhan,1,-,1030,6857803,-,-,51,298900,31881
12/31/2007,BALUCHISTAN,Bolan,-,-,-,-,-,-,-,-,66423
12/31/2007,BALUCHISTAN,Chagai,-,-,-,-,-,-,-,-,-
12/31/2007,BALUCHISTAN,Dera Bugti,-,-,-,-,-,-,-,-,-
12/31/2007,BALUCHISTAN,Gwadar,4,-,1692,10062813,10322,2451096,1122,10376227,55537
12/31/2007,BALUCHISTAN,Jafarabad,1,-,2265,24743478,-,-,2395,1248100,121911
12/31/2007,BALUCHISTAN,Jhal Magsi,-,-,-,-,-,-,-,-,29887
12/31/2007,BALUCHISTAN,Kalat,-,-,-,-,-,-,-,-,53884
12/31/2007,BALUCHISTAN,Kech (Turbat),4,-,77,254511,27110,6371002,158,3560000,92271
12/31/2007,BALUCHISTAN,Kharan,-,-,-,-,-,-,-,-,47948
12/31/2007,BALUCHISTAN,Khuzdar,-,-,-,-,-,-,-,-,104104
12/31/2007,BALUCHISTAN,Kohlu,-,-,-,-,-,-,-,-,26910
12/31/2007,BALUCHISTAN,Lasbela,-,-,-,-,-,-,-,-,84637
12/31/2007,BALUCHISTAN,Loralai,2,-,1915,11504434,-,-,1860,1197500,76879
12/31/2007,BALUCHISTAN,Mastung,1,-,419,2908324,-,-,663,785000,41317
12/31/2007,BALUCHISTAN,Musakhel,-,-,-,-,-,-,-,-,27545
12/31/2007,BALUCHISTAN,Nasirabad,1,-,1145,10364355,-,-,156,1311500,75783
12/31/2007,BALUCHISTAN,Nushki,-,-,-,-,-,-,-,-,-
12/31/2007,BALUCHISTAN,Panjgur,-,-,-,-,-,-,-,-,51074
12/31/2007,BALUCHISTAN,Pishin,1,-,1281,9454327,-,-,1114,250000,100179
12/31/2007,BALUCHISTAN,Qila Abdullah,-,-,-,-,-,-,-,-,115112
12/31/2007,BALUCHISTAN,Qila Saifullah,-,-,-,-,-,-,-,-,44345
12/31/2007,BALUCHISTAN,Quetta,6,-,5025,29871744,820,46550000,1378,14485089,174437
12/31/2007,BALUCHISTAN,Sherani,-,-,-,-,-,-,-,-,-
12/31/2007,BALUCHISTAN,Sibi,1,-,2319,15483597,-,-,114,1020000,48944
12/31/2007,BALUCHISTAN,Washuk,-,-,-,-,-,-,-,-,-
12/31/2007,BALUCHISTAN,Zhob,1,-,770,4607993,-,-,56,254500,53848
12/31/2007,BALUCHISTAN,Ziarat,1,-,19,70748,-,-,-,-,7268
12/31/2007,BALUCHISTAN,Total,24,-,17957,126184127,38252,55372098,9067,34786816,1656762
12/31/2007,KHYBER-PAKHTUNKHWA (KP),Abbottabad,4,-,5718,45999893,8222,3525242,346,7353500,180672
12/31/2007,KHYBER-PAKHTUNKHWA (KP),Bannu,-,-,-,-,-,-,-,-,167380
12/31/2007,KHYBER-PAKHTUNKHWA (KP),Batgram,2,-,1111,2656050,1815,83365,1158,1674000,58257
12/31/2007,KHYBER-PAKHTUNKHWA (KP),Buner (Daggar),-,-,-,-,-,-,-,-,133171
12/31/2007,KHYBER-PAKHTUNKHWA (KP),Charsadda,6,-,11283,125223257,8168,767830,8785,131117000,271736
12/31/2007,KHYBER-PAKHTUNKHWA (KP),Chitral,6,-,7942,158886421,8763,183416423,7071,125855748,84846
12/31/2007,KHYBER-PAKHTUNKHWA (KP),D.I. Khan,2,-,6759,90078397,-,-,139,13907200,221328
12/31/2007,KHYBER-PAKHTUNKHWA (KP),Hangu,2,-,481,1574814,1600,801600,-,-,64648
12/31/2007,KHYBER-PAKHTUNKHWA (KP),Haripur,4,-,4400,35129713,15578,6726891,825,6968200,103830
12/31/2007,KHYBER-PAKHTUNKHWA (KP),Karak,1,-,1452,10003602,-,-,1027,4188000,102174
12/31/2007,KHYBER-PAKHTUNKHWA (KP),Kohat,3,-,6162,40937475,2464,1234464,4150,8874100,114908
12/31/2007,KHYBER-PAKHTUNKHWA (KP),Kohistan,1,-,292,553000,-,-,1272,468000,73374
12/31/2007,KHYBER-PAKHTUNKHWA (KP),Lakki Marwat,-,-,-,-,-,-,-,-,107505
12/31/2007,KHYBER-PAKHTUNKHWA (KP),Lower Dir,-,-,-,-,-,-,-,-,176660
12/31/2007,KHYBER-PAKHTUNKHWA (KP),Malakand,4,-,9706,122507258,15099,1562780,8225,115377000,106429
12/31/2007,KHYBER-PAKHTUNKHWA (KP),Mansehra,4,-,5646,31308813,7976,7685356,2165,13964209,271288
