Date,Province,District,Offices - Fixed,Offices - Mobile,Active Borrowers,Gross Loan Portfolio(PKR),Active Savers,Value of Savings(PKR),Policy Holders,Sum Insured(PKR),Potential Microfinance Market
6/30/2016,BALUCHISTAN,Awaran,-,-,-,-,10079,1361741,-,-,-
6/30/2016,BALUCHISTAN,Barkhan,-,-,-,-,-,-,-,-,-
6/30/2016,BALUCHISTAN,Bolan,-,-,-,-,-,-,-,-,-
6/30/2016,BALUCHISTAN,Chagai,-,-,-,-,21,34393,-,-,-
6/30/2016,BALUCHISTAN,Dera Bugti,-,-,-,-,-,-,-,-,-
6/30/2016,BALUCHISTAN,Gwadar,4,-,176,5630838,21249,196810960,2,12729,-
6/30/2016,BALUCHISTAN,Jafarabad,2,-,681,10062717,154,11033,-,-,-
6/30/2016,BALUCHISTAN,Jhal Magsi,-,-,-,-,-,-,-,-,-
6/30/2016,BALUCHISTAN,Kalat,-,-,-,-,26,14932,-,-,-
6/30/2016,BALUCHISTAN,Kech (Turbat),-,-,-,-,49149,10292276,113,3060000,-
6/30/2016,BALUCHISTAN,Kharan,-,-,-,-,10,7130,-,-,-
6/30/2016,BALUCHISTAN,Khuzdar,-,-,-,-,99,277307,-,-,-
6/30/2016,BALUCHISTAN,Kohlu,-,-,-,-,-,-,-,-,-
6/30/2016,BALUCHISTAN,Lasbela,5,-,1411,31717230,24385,543024,4955,124451240,-
6/30/2016,BALUCHISTAN,Loralai,-,-,-,-,32,128008,-,-,-
6/30/2016,BALUCHISTAN,Mastung,-,-,-,-,172,54074,-,-,-
6/30/2016,BALUCHISTAN,Musakhel,-,-,-,-,-,-,-,-,-
6/30/2016,BALUCHISTAN,Nasirabad,1,-,1304,58020560,10559,26555542,1586,67890560,-
6/30/2016,BALUCHISTAN,Nushki,-,-,-,-,-,-,-,-,-
6/30/2016,BALUCHISTAN,Panjgur,-,-,-,-,21596,3280710,-,-,-
6/30/2016,BALUCHISTAN,Pishin,-,-,-,-,568,336096,-,-,-
6/30/2016,BALUCHISTAN,Qila Abdullah,-,-,-,-,8,6120,-,-,-
6/30/2016,BALUCHISTAN,Qila Saifullah,-,-,-,-,358,42648,-,-,-
6/30/2016,BALUCHISTAN,Quetta,6,-,1977,51939910,145112,102401319,1963,51975700,-
6/30/2016,BALUCHISTAN,Sherani,-,-,-,-,-,-,-,-,-
6/30/2016,BALUCHISTAN,Sibi,-,-,-,-,607,281724,-,-,-
6/30/2016,BALUCHISTAN,Washuk,-,-,-,-,-,-,-,-,-
6/30/2016,BALUCHISTAN,Zhob,-,-,-,-,198,72787,-,-,-
6/30/2016,BALUCHISTAN,Ziarat,-,-,-,-,4,-,-,-,-
6/30/2016,BALUCHISTAN,Total,18,-,5549,157371256,284386,342511824,8619,247390228,-
6/30/2016,KHYBER-PAKHTUNKHWA (KP),Abbottabad,14,-,15477,445992770,27649,440534754,15135,384418204,-
6/30/2016,KHYBER-PAKHTUNKHWA (KP),Bannu,3,-,1853,31859414,964,736683,1853,31859414,-
6/30/2016,KHYBER-PAKHTUNKHWA (KP),Batgram,-,-,-,-,473,92361,-,-,-
6/30/2016,KHYBER-PAKHTUNKHWA (KP),Buner (Daggar),1,-,931,33859668,1434,26966080,944,34304668,-
6/30/2016,KHYBER-PAKHTUNKHWA (KP),Charsadda,3,-,3414,85823600,26533,19253956,3231,86011841,-
6/30/2016,KHYBER-PAKHTUNKHWA (KP),Chitral,7,-,3739,176343776,33157,967125584,4168,187068784,-
6/30/2016,KHYBER-PAKHTUNKHWA (KP),D.I. Khan,2,-,3676,157002848,12621,208307546,3678,157062848,-
6/30/2016,KHYBER-PAKHTUNKHWA (KP),Hangu,-,-,-,-,554,306747,-,-,-
6/30/2016,KHYBER-PAKHTUNKHWA (KP),Haripur,12,7,18575,470136961,39839,133633171,27398,282736906,-
6/30/2016,KHYBER-PAKHTUNKHWA (KP),Karak,-,-,-,-,198,102029,-,-,-
6/30/2016,KHYBER-PAKHTUNKHWA (KP),Kohat,2,-,3315,101483098,9497,117508282,3328,101938098,-
6/30/2016,KHYBER-PAKHTUNKHWA (KP),Kohistan,-,-,-,-,20,18834,-,-,-
6/30/2016,KHYBER-PAKHTUNKHWA (KP),Lakki Marwat,1,-,1029,16033800,195,63365,1029,16033800,-
6/30/2016,KHYBER-PAKHTUNKHWA (KP),Lower Dir,-,-,-,-,829,198045,-,-,-
6/30/2016,KHYBER-PAKHTUNKHWA (KP),Malakand,3,-,2333,54218743,39013,67093490,2377,55708743,-
6/30/2016,KHYBER-PAKHTUNKHWA (KP),Mansehra,14,-,15082,322922863,8779,137599837,15261,279360068,-
6/30/2016,KHYBER-PAKHTUNKHWA (KP),Mardan,11,-,9513,233547459,76412,65537084,11356,242249164,-
6/30/2016,KHYBER-PAKHTUNKHWA (KP),Mingora,-,-,-,-,350,385772,-,-,-
6/30/2016,KHYBER-PAKHTUNKHWA (KP),Nowshera,-,-,-,-,-,-,-,-,-
6/30/2016,KHYBER-PAKHTUNKHWA (KP),Peshawar,11,-,5663,134337534,492463,1874113392,5885,144374102,-
6/30/2016,KHYBER-PAKHTUNKHWA (KP),Shangla,-,-,-,-,14,7187,-,-,-
6/30/2016,KHYBER-PAKHTUNKHWA (KP),Swabi,7,1,7954,243925565,60145,130369385,6172,242822408,-
6/30/2016,KHYBER-PAKHTUNKHWA (KP),Swat,4,-,4845,132881720,20210,170187828,4853,133156720,-
6/30/2016,KHYBER-PAKHTUNKHWA (KP),Tank,-,-,-,-,432,128073,-,-,-
6/30/2016,KHYBER-PAKHTUNKHWA (KP),Upper Dir,-,-,-,-,2582,616873,-,-,-
6/30/2016,KHYBER-PAKHTUNKHWA (KP),Total,95,8,97399,2640369819,854363,4360886359,106668,2379105768,-
6/30/2016,PUNJAB,Attock,58,8,64939,1287577875,131071,295496059,93771,1380443628,-
6/30/2016,PUNJAB,Bahawalpur,55,-,143456,4707133062,429579,3000190572,210922,5039529904,-
6/30/2016,PUNJAB,Bhakkar,43,-,68672,2311346148,295251,449430732,88243,2978013680,-
6/30/2016,PUNJAB,Bhawalnagar,57,-,121681,4042323989,370395,1493588064,159914,3901324752,-
6/30/2016,PUNJAB,Chakwal,51,-,47436,904116535,88919,161233450,32653,593369285,-
6/30/2016,PUNJAB,D.G. Khan,27,-,49205,1584669625,238820,576979012,58801,1823897320,-
6/30/2016,PUNJAB,Faisalabad,146,-,196472,3842190323,133823,722726098,349061,6380936018,-
6/30/2016,PUNJAB,Gujranwala,132,-,153210,3485257843,250055,650751186,242878,5455713158,-
6/30/2016,PUNJAB,Gujrat,52,-,65663,1619876572,92973,740238153,93665,2229215232,-
6/30/2016,PUNJAB,Hafizabad,32,-,44824,1161688348,44689,135686473,76787,2135878052,-
6/30/2016,PUNJAB,Jhang,60,-,76229,2143242260,81214,453240155,106562,2301162760,-
6/30/2016,PUNJAB,Jhelum,38,-,63766,1041698127,70939,114463660,28488,580964503,-
6/30/2016,PUNJAB,Kasur,67,-,105519,2784917895,93826,549544040,186512,3935435704,-
6/30/2016,PUNJAB,Khanewal,33,-,54616,1756572236,99123,431001599,112531,2555012600,-
6/30/2016,PUNJAB,Khushab,46,-,60037,1397974118,189613,241591142,86316,2201595124,-
6/30/2016,PUNJAB,Lahore,215,-,230812,5112028737,171857,7377606119,438264,8510839086,-
6/30/2016,PUNJAB,Leyyah,55,-,94920,2968623157,935095,896096156,104921,3180005584,-
6/30/2016,PUNJAB,Lodhran,31,-,85837,3408847041,148195,733140281,112020,3159500136,-
6/30/2016,PUNJAB,Mandi Bahauddin,34,-,33908,824740827,32374,161291774,43781,1138439636,-
6/30/2016,PUNJAB,Mianwali,30,-,44175,883909126,123102,142406090,67349,1600262304,-
6/30/2016,PUNJAB,Multan,103,-,148561,4232886435,151096,1788061087,221150,4583199280,-
6/30/2016,PUNJAB,Muzaffargarh,39,-,91233,2659044122,215180,627713723,129046,2770395226,-
6/30/2016,PUNJAB,Nankana Sahib,33,-,42717,928639834,22537,50305568,48465,517222734,-
6/30/2016,PUNJAB,Narowal,26,-,36736,811808813,67032,251897112,40121,961749561,-
6/30/2016,PUNJAB,Okara,51,-,76679,2307666935,108330,439422703,102020,2706728956,-
6/30/2016,PUNJAB,Pakpattan,31,-,46436,1628401944,76548,304558153,78036,2083467176,-
6/30/2016,PUNJAB,Rahimyar Khan,67,-,180102,6680484756,243998,1416135886,275511,7328851264,-
