Date,Province,District,Offices - Fixed,Offices - Mobile,Active Borrowers,Gross Loan Portfolio(PKR),Active Savers,Value of Savings(PKR),Policy Holders,Sum Insured(PKR),Potential Microfinance Market
3/31/2016,BALUCHISTAN,Awaran,-,-,-,-,10079,1361741,-,-,-
3/31/2016,BALUCHISTAN,Barkhan,-,-,-,-,-,-,-,-,-
3/31/2016,BALUCHISTAN,Bolan,-,-,-,-,-,-,-,-,-
3/31/2016,BALUCHISTAN,Chagai,-,-,-,-,22,72906,-,-,-
3/31/2016,BALUCHISTAN,Dera Bugti,-,-,-,-,-,-,-,-,-
3/31/2016,BALUCHISTAN,Gwadar,4,-,57,1092767,20922,217803137,9,80593,-
3/31/2016,BALUCHISTAN,Jafarabad,2,-,772,11989225,483,111936,-,-,-
3/31/2016,BALUCHISTAN,Jhal Magsi,-,-,-,-,-,-,-,-,-
3/31/2016,BALUCHISTAN,Kalat,-,-,-,-,12,22149,-,-,-
3/31/2016,BALUCHISTAN,Kech (Turbat),-,-,-,-,49149,10292276,-,-,-
3/31/2016,BALUCHISTAN,Kharan,-,-,-,-,6,10096,-,-,-
3/31/2016,BALUCHISTAN,Khuzdar,-,-,-,-,73,108699,-,-,-
3/31/2016,BALUCHISTAN,Kohlu,-,-,-,-,-,-,-,-,-
3/31/2016,BALUCHISTAN,Lasbela,6,-,1029,22235512,22681,611676,3355,33024504,-
3/31/2016,BALUCHISTAN,Loralai,-,-,-,-,14,13250,-,-,-
3/31/2016,BALUCHISTAN,Mastung,-,-,-,-,133,35470,-,-,-
3/31/2016,BALUCHISTAN,Musakhel,-,-,-,-,-,-,-,-,-
3/31/2016,BALUCHISTAN,Nasirabad,1,-,1090,48172052,10263,18371910,1374,58112052,-
3/31/2016,BALUCHISTAN,Nushki,-,-,-,-,165,6442,-,-,-
3/31/2016,BALUCHISTAN,Panjgur,-,-,-,-,21583,3280710,-,-,-
3/31/2016,BALUCHISTAN,Pishin,-,-,-,-,499,225240,-,-,-
3/31/2016,BALUCHISTAN,Qila Abdullah,-,-,-,-,1,1,-,-,-
3/31/2016,BALUCHISTAN,Qila Saifullah,-,-,-,-,257,86700,-,-,-
3/31/2016,BALUCHISTAN,Quetta,7,-,2017,47152938,67761,105884533,2014,45877936,-
3/31/2016,BALUCHISTAN,Sherani,-,-,-,-,-,-,-,-,-
3/31/2016,BALUCHISTAN,Sibi,-,-,-,-,329,149284,-,-,-
3/31/2016,BALUCHISTAN,Washuk,-,-,-,-,-,-,-,-,-
3/31/2016,BALUCHISTAN,Zhob,-,-,-,-,158,58511,-,-,-
3/31/2016,BALUCHISTAN,Ziarat,-,-,-,-,4,11532,-,-,-
3/31/2016,BALUCHISTAN,Total,20,-,4965,130642494,204594,358518199,6752,137095085,-
