Date,Province,District,Offices - Fixed,Offices - Mobile,Active Borrowers,Gross Loan Portfolio(PKR),Active Savers,Value of Savings(PKR),Policy Holders,Sum Insured(PKR),Potential Microfinance Market
12/31/2014,BALUCHISTAN,Awaran,-,-,-,-,10079,1361741,-,-,26054
12/31/2014,BALUCHISTAN,Barkhan,-,-,-,-,-,-,-,-,31881
12/31/2014,BALUCHISTAN,Bolan,-,-,-,-,-,-,-,-,66423
12/31/2014,BALUCHISTAN,Chagai,-,-,-,-,-,-,-,-,54814
12/31/2014,BALUCHISTAN,Dera Bugti,-,-,-,-,-,-,-,-,43770
12/31/2014,BALUCHISTAN,Gwadar,4,-,83,674097,17466,20040508,83,674097,55537
12/31/2014,BALUCHISTAN,Jafarabad,-,-,406,4186223,-,-,-,-,121911
12/31/2014,BALUCHISTAN,Jhal Magsi,-,-,-,-,-,-,-,-,29887
12/31/2014,BALUCHISTAN,Kalat,-,-,-,-,-,-,-,-,53884
12/31/2014,BALUCHISTAN,Kech (Turbat),1,-,-,-,49149,10292276,-,-,92271
12/31/2014,BALUCHISTAN,Kharan,-,-,-,-,-,-,-,-,47948
12/31/2014,BALUCHISTAN,Khuzdar,-,-,-,-,-,-,-,-,104104
12/31/2014,BALUCHISTAN,Kohlu,-,-,-,-,-,-,-,-,26910
12/31/2014,BALUCHISTAN,Lasbela,2,-,930,9547717,13728,527285,1936,11387755,84637
12/31/2014,BALUCHISTAN,Loralai,-,-,-,-,-,-,-,-,76879
12/31/2014,BALUCHISTAN,Mastung,-,-,-,-,-,-,-,-,41317
12/31/2014,BALUCHISTAN,Musakhel,-,-,-,-,-,-,-,-,27545
12/31/2014,BALUCHISTAN,Nasirabad,1,-,1953,50205801,8771,11031116,1983,50229775,75783
12/31/2014,BALUCHISTAN,Nushki,-,-,-,-,-,-,-,-,-
12/31/2014,BALUCHISTAN,Panjgur,-,-,-,-,20706,3280710,-,-,51074
12/31/2014,BALUCHISTAN,Pishin,-,-,-,-,-,-,-,-,100179
12/31/2014,BALUCHISTAN,Qila Abdullah,-,-,-,-,-,-,-,-,115112
