Date,Province,District,Offices - Fixed,Offices - Mobile,Active Borrowers,Gross Loan Portfolio(PKR),Active Savers,Value of Savings(PKR),Policy Holders,Sum Insured(PKR),Potential Microfinance Market
3/31/2010,BALUCHISTAN,Awaran,-,-,-,-,-,-,-,-,26054
3/31/2010,BALUCHISTAN,Barkhan,-,-,-,-,-,-,-,-,31881
3/31/2010,BALUCHISTAN,Bolan,-,-,-,-,-,-,-,-,66423
3/31/2010,BALUCHISTAN,Chagai,-,-,-,-,-,-,-,-,54814
3/31/2010,BALUCHISTAN,Dera Bugti,-,-,-,-,-,-,-,-,43770
3/31/2010,BALUCHISTAN,Gwadar,5,-,1466,7867163,10201,2160270,1444,17386677,55537
3/31/2010,BALUCHISTAN,Jafarabad,1,-,2172,26384406,-,-,2054,25489384,121911
3/31/2010,BALUCHISTAN,Jhal Magsi,-,-,-,-,-,-,-,-,29887
3/31/2010,BALUCHISTAN,Kalat,-,-,-,-,-,-,-,-,53884
3/31/2010,BALUCHISTAN,Kech (Turbat),1,-,-,-,30472,6841441,-,-,92271
3/31/2010,BALUCHISTAN,Kharan,-,-,-,-,-,-,-,-,47948
3/31/2010,BALUCHISTAN,Khuzdar,-,-,-,-,-,-,-,-,104104
3/31/2010,BALUCHISTAN,Kohlu,-,-,-,-,-,-,-,-,26910
3/31/2010,BALUCHISTAN,Lasbela,4,-,104,1125544,-,-,352,3520000,84637
3/31/2010,BALUCHISTAN,Loralai,1,-,2032,12144417,-,-,138,1111112,76879
3/31/2010,BALUCHISTAN,Mastung,-,-,-,-,-,-,-,-,41317
3/31/2010,BALUCHISTAN,Musakhel,-,-,-,-,-,-,-,-,27545
3/31/2010,BALUCHISTAN,Nasirabad,1,-,2073,22605531,-,-,1973,21840879,75783
3/31/2010,BALUCHISTAN,Nushki,-,-,-,-,-,-,-,-,-
3/31/2010,BALUCHISTAN,Panjgur,-,-,-,-,-,-,-,-,51074
3/31/2010,BALUCHISTAN,Pishin,1,-,-,-,-,-,-,-,100179
3/31/2010,BALUCHISTAN,Qila Abdullah,-,-,-,-,-,-,-,-,115112
3/31/2010,BALUCHISTAN,Qila Saifullah,-,-,-,-,-,-,-,-,44345
3/31/2010,BALUCHISTAN,Quetta,12,-,6282,40635611,3897,12961194,3844,29788841,174437
3/31/2010,BALUCHISTAN,Sherani,-,-,-,-,-,-,-,-,-
3/31/2010,BALUCHISTAN,Sibi,1,-,1912,12127372,-,-,555,4438631,48944
3/31/2010,BALUCHISTAN,Washuk,-,-,-,-,-,-,-,-,-
3/31/2010,BALUCHISTAN,Zhob,1,-,-,-,-,-,-,-,53848
3/31/2010,BALUCHISTAN,Ziarat,-,-,-,-,-,-,-,-,7268
3/31/2010,BALUCHISTAN,Total,28,-,16041,122890044,44570,21962905,10360,103575524,1656762
3/31/2010,KHYBER-PAKHTUNKHWA (KP),Abbottabad,4,-,5905,43300022,13633,9546692,5522,43752654,180672
3/31/2010,KHYBER-PAKHTUNKHWA (KP),Bannu,-,-,-,-,-,-,-,-,167380
3/31/2010,KHYBER-PAKHTUNKHWA (KP),Batgram,1,-,-,-,-,-,-,-,58257
3/31/2010,KHYBER-PAKHTUNKHWA (KP),Buner (Daggar),-,-,-,-,-,-,-,-,133171
3/31/2010,KHYBER-PAKHTUNKHWA (KP),Charsadda,3,-,4639,29654646,12925,1264925,5271,43562349,271736
3/31/2010,KHYBER-PAKHTUNKHWA (KP),Chitral,5,-,9069,175630743,19566,359974632,9069,175630743,84846
3/31/2010,KHYBER-PAKHTUNKHWA (KP),D.I. Khan,1,-,4323,48698045,1525,6396401,3726,46507797,221328
3/31/2010,KHYBER-PAKHTUNKHWA (KP),Hangu,-,-,-,-,-,-,-,-,64648
3/31/2010,KHYBER-PAKHTUNKHWA (KP),Haripur,4,-,4990,41410086,34031,19869544,4461,39409119,103830
3/31/2010,KHYBER-PAKHTUNKHWA (KP),Karak,1,-,2323,12236135,-,-,1679,9372746,102174
3/31/2010,KHYBER-PAKHTUNKHWA (KP),Kohat,2,-,4034,24235177,3715,3783850,1807,14698397,114908
3/31/2010,KHYBER-PAKHTUNKHWA (KP),Kohistan,-,-,-,-,-,-,-,-,73374
3/31/2010,KHYBER-PAKHTUNKHWA (KP),Lakki Marwat,-,-,-,-,-,-,-,-,107505
3/31/2010,KHYBER-PAKHTUNKHWA (KP),Lower Dir,-,-,-,-,-,-,-,-,176660
3/31/2010,KHYBER-PAKHTUNKHWA (KP),Malakand,1,-,2054,18630344,18068,2528483,1003,10240787,106429
3/31/2010,KHYBER-PAKHTUNKHWA (KP),Mansehra,4,-,4131,30971123,22186,19160023,3495,29384879,271288
3/31/2010,KHYBER-PAKHTUNKHWA (KP),Mardan,25,-,20958,208907259,28355,5397404,4575,53005043,354988
3/31/2010,KHYBER-PAKHTUNKHWA (KP),Mingora,1,-,1491,10577194,-,-,1,500,-
3/31/2010,KHYBER-PAKHTUNKHWA (KP),Nowshera,15,-,10224,63911412,14010,5846627,10836,95379260,201208
3/31/2010,KHYBER-PAKHTUNKHWA (KP),Peshawar,10,-,9476,46523269,10352,4658493,6916,57621819,451548
3/31/2010,KHYBER-PAKHTUNKHWA (KP),Shangla,-,-,-,-,-,-,-,-,116366
3/31/2010,KHYBER-PAKHTUNKHWA (KP),Swabi,7,2,6517,48789152,14303,4067336,2371,24481488,230073
3/31/2010,KHYBER-PAKHTUNKHWA (KP),Swat,-,-,-,-,6488,770115,-,-,286555
3/31/2010,KHYBER-PAKHTUNKHWA (KP),Tank,-,-,-,-,-,-,-,-,62446
3/31/2010,KHYBER-PAKHTUNKHWA (KP),Upper Dir,-,-,-,-,-,-,-,-,142427
3/31/2010,KHYBER-PAKHTUNKHWA (KP),Total,84,2,90134,803474607,199157,443264526,60732,643047581,4083817
3/31/2010,PUNJAB,Attock,37,-,16727,161075301,50002,100576461,22579,345595354,262870
3/31/2010,PUNJAB,Bahawalpur,36,-,82063,1319598168,214351,187215706,283912,4908978635,461777
3/31/2010,PUNJAB,Bhakkar,23,-,19250,212101673,97776,35883399,103575,1826465159,252453
3/31/2010,PUNJAB,Bhawalnagar,11,-,42511,701172494,135263,89436755,286097,5073458611,427843
3/31/2010,PUNJAB,Chakwal,33,-,11411,114789582,49253,97004837,19934,340444629,219565
3/31/2010,PUNJAB,D.G. Khan,17,-,30383,445010901,92321,101747171,86700,1488067510,419252
3/31/2010,PUNJAB,Faisalabad,89,-,103287,966573175,42457,66558747,165848,1259993710,1096924
3/31/2010,PUNJAB,Gujranwala,61,-,76833,1019333289,31542,54377036,101654,991226748,735741
3/31/2010,PUNJAB,Gujrat,21,-,20486,248529038,12968,66075729,24943,207792181,446630
3/31/2010,PUNJAB,Hafizabad,7,-,11897,144003061,9462,2104647,16162,123192418,231170
3/31/2010,PUNJAB,Jhang,32,-,31625,299325218,11549,33998526,33572,231690974,626546
3/31/2010,PUNJAB,Jhelum,24,-,11395,108698392,19733,18057116,15471,255628892,170498
3/31/2010,PUNJAB,Kasur,35,-,63101,716104284,21846,33758151,76289,635987652,586427
3/31/2010,PUNJAB,Khanewal,16,-,29175,347843737,20385,44606940,109805,1639901583,432948
3/31/2010,PUNJAB,Khushab,26,-,18890,167017636,81445,53824410,78422,1335092593,235163
3/31/2010,PUNJAB,Lahore,152,-,202799,2313865191,84067,176188454,258972,2085906575,872760
3/31/2010,PUNJAB,Leyyah,12,-,18241,253967054,37628,37915947,14355,208423524,263251
3/31/2010,PUNJAB,Lodhran,13,-,33156,579575315,47847,90528328,191317,3377291886,261693
3/31/2010,PUNJAB,Mandi Bahauddin,6,-,8544,74959855,3015,327988,7736,48609360,298371
3/31/2010,PUNJAB,Mianwali,26,-,17601,152670821,53580,5134320,73645,1305574769,252413
3/31/2010,PUNJAB,Multan,65,-,86310,958489113,34380,233642087,222982,3137067861,689339
3/31/2010,PUNJAB,Muzaffargarh,15,-,7277,88912138,30636,5332673,5806,78858358,570580
3/31/2010,PUNJAB,Nankana Sahib,6,-,8716,504784273,-,-,274,2178799,-
3/31/2010,PUNJAB,Narowal,6,-,9160,102355548,18315,3748599,3048,38511411,268902
3/31/2010,PUNJAB,Okara,15,-,29089,347286340,19693,17223161,30080,307825607,509842
3/31/2010,PUNJAB,Pakpattan,9,-,20259,267448293,24896,45926404,73059,1194121904,281988
3/31/2010,PUNJAB,Rahimyar Khan,33,-,40297,593727883,31952,127060919,212187,3559053943,585705
3/31/2010,PUNJAB,Rajanpur,12,-,29213,433487254,77310,57695709,103726,1809663245,260436
3/31/2010,PUNJAB,Rawalpindi,73,-,52420,440820912,102186,119612766,80824,819313725,327457
3/31/2010,PUNJAB,Sahiwal,27,-,41812,449601345,33845,46466947,90594,1227281938,395468
3/31/2010,PUNJAB,Sargodha,43,-,40642,398219898,14861,29235906,101603,1336694734,671679
3/31/2010,PUNJAB,Sheikhupura,24,-,35234,537897501,11953,1678665,32301,259014356,831522
3/31/2010,PUNJAB,Sialkot,20,-,26877,254722300,32591,26050075,26531,174803897,501997
3/31/2010,PUNJAB,Toba Tek Singh,9,-,22638,304324551,29667,33103808,94814,1534057895,309316
3/31/2010,PUNJAB,Vihari,15,-,32188,423376053,34462,54431957,111962,1793002512,475398
3/31/2010,PUNJAB,Total,1049,-,1331507,16451667586,1613237,2096530344,3160779,44960772948,15233924
3/31/2010,SINDH,Badin,10,-,7725,109597577,69635,54637857,17654,311153936,294781
3/31/2010,SINDH,Dadu,20,-,15452,165998973,44341,50969924,24896,98944006,447305
3/31/2010,SINDH,Ghotki,4,-,15389,243365373,12407,21987088,13625,230818456,248442
3/31/2010,SINDH,Hyderabad,38,-,39580,450594578,29312,276767442,88276,1519081388,517652
3/31/2010,SINDH,Jacobabad,4,-,11216,144893003,4941,47255176,5785,86860325,361146
3/31/2010,SINDH,Jamshoro,3,-,1028,7932254,15248,8261460,3858,9772144,-
3/31/2010,SINDH,Karachi,118,1,116738,1372914885,110786,3275730020,131378,1788805305,1329990
3/31/2010,SINDH,Khairpur,12,-,27784,373227978,7910,55033306,14737,256126787,401853
3/31/2010,SINDH,Larkana,6,-,13579,176518209,11518,28788273,12738,170423936,534891
3/31/2010,SINDH,Matyari,9,1,20295,283167936,7635,26022674,56947,936894874,-
3/31/2010,SINDH,Mirpur Khas,20,-,18046,250616073,47505,46067541,28503,448433960,210494
3/31/2010,SINDH,Naushahro Feroze,9,-,16413,193713644,1335,9188361,7088,111742860,266462
3/31/2010,SINDH,Nawabshah,16,1,23275,338916908,10106,42249888,27567,439776960,225430
3/31/2010,SINDH,Sanghar,14,1,26577,306030015,790,9130443,19602,107688952,354133
3/31/2010,SINDH,Sehwan Sharif,1,-,1896,14896527,-,-,309,3994977,-
3/31/2010,SINDH,Shehdad Kot,1,-,142,1959820,-,-,142,1959820,-
3/31/2010,SINDH,Shikarpur,1,-,1351,13704760,-,-,1307,13503445,237633
3/31/2010,SINDH,Sukkur,15,-,16571,219818018,5369,41993569,16212,223643923,213080
3/31/2010,SINDH,Tando Allahyar,11,-,11217,197499277,10765,40390121,18095,332477881,-
3/31/2010,SINDH,Tando Jam,2,-,2049,45243947,1953,24559096,2049,45243947,-
3/31/2010,SINDH,Tando Muhammad Khan,7,-,6461,108857678,9313,51119575,15794,286627325,-
3/31/2010,SINDH,Tharparkar,28,-,12997,125351029,181986,131285989,47897,62201317,283491
3/31/2010,SINDH,Thatta,10,-,6299,89730663,15565,90232109,9269,153437870,245046
3/31/2010,SINDH,Umar Kot,16,-,14350,139395098,48501,91645305,36406,44684136,185966
3/31/2010,SINDH,Total,375,4,426430,5373944223,646921,4423315217,600134,7684298530,6357795
3/31/2010,AZAD JAMMU AND KASHMIR (AJK),Bagh,3,-,4389,33623518,27004,12263895,9925,150479874,-
3/31/2010,AZAD JAMMU AND KASHMIR (AJK),Bhimber,-,-,-,-,-,-,-,-,-
3/31/2010,AZAD JAMMU AND KASHMIR (AJK),Kotli,12,-,6168,48939542,33416,6717113,34480,620640000,-
3/31/2010,AZAD JAMMU AND KASHMIR (AJK),Mirpur,-,-,-,-,-,-,-,-,-
3/31/2010,AZAD JAMMU AND KASHMIR (AJK),Muzaffarabad,10,-,9218,74178808,50854,18572561,13457,194346910,-
3/31/2010,AZAD JAMMU AND KASHMIR (AJK),Neelum,-,-,-,-,-,-,-,-,-
