Date,Province,District,Offices - Fixed,Offices - Mobile,Active Borrowers,Gross Loan Portfolio(PKR),Active Savers,Value of Savings(PKR),Policy Holders,Sum Insured(PKR),Potential Microfinance Market
9/30/2013,BALUCHISTAN,Awaran,-,-,-,-,9890,894131,-,-,26054
9/30/2013,BALUCHISTAN,Barkhan,-,-,-,-,-,-,-,-,31881
9/30/2013,BALUCHISTAN,Bolan,-,-,-,-,-,-,-,-,66423
9/30/2013,BALUCHISTAN,Chagai,-,-,-,-,-,-,-,-,54814
9/30/2013,BALUCHISTAN,Dera Bugti,-,-,-,-,-,-,-,-,43770
9/30/2013,BALUCHISTAN,Gwadar,3,-,233,2982113,20192,3302077,-,-,55537
9/30/2013,BALUCHISTAN,Jafarabad,1,-,10085,131358958,2047,4279568,1386,30214747,121911
9/30/2013,BALUCHISTAN,Jhal Magsi,-,-,-,-,-,-,-,-,29887
9/30/2013,BALUCHISTAN,Kalat,-,-,-,-,-,-,-,-,53884
9/30/2013,BALUCHISTAN,Kech (Turbat),1,-,-,-,48580,10284426,-,-,92271
9/30/2013,BALUCHISTAN,Kharan,-,-,-,-,-,-,-,-,47948
9/30/2013,BALUCHISTAN,Khuzdar,-,-,-,-,-,-,-,-,104104
9/30/2013,BALUCHISTAN,Kohlu,-,-,-,-,-,-,-,-,26910
9/30/2013,BALUCHISTAN,Lasbela,5,-,279,3702837,3655,308315,534,4619825,84637
9/30/2013,BALUCHISTAN,Loralai,-,-,-,-,-,-,-,-,76879
9/30/2013,BALUCHISTAN,Mastung,-,-,-,-,-,-,-,-,41317
9/30/2013,BALUCHISTAN,Musakhel,-,-,-,-,-,-,-,-,27545
9/30/2013,BALUCHISTAN,Nasirabad,5,-,2005,34996293,2783,2772065,1565,30028497,75783
9/30/2013,BALUCHISTAN,Nushki,-,-,-,-,-,-,-,-,-
9/30/2013,BALUCHISTAN,Panjgur,-,-,-,-,16949,491439,960,28800000,51074
9/30/2013,BALUCHISTAN,Pishin,-,-,-,-,-,-,-,-,100179
9/30/2013,BALUCHISTAN,Qila Abdullah,-,-,-,-,-,-,-,-,115112
9/30/2013,BALUCHISTAN,Qila Saifullah,-,-,-,-,-,-,-,-,44345
9/30/2013,BALUCHISTAN,Quetta,11,-,8470,66413359,5751,397136323,554,18668011,174437
9/30/2013,BALUCHISTAN,Sherani,-,-,-,-,-,-,-,-,-
9/30/2013,BALUCHISTAN,Sibi,-,-,-,-,-,-,-,-,48944
9/30/2013,BALUCHISTAN,Washuk,-,-,-,-,-,-,-,-,-
9/30/2013,BALUCHISTAN,Zhob,-,-,-,-,-,-,-,-,53848
9/30/2013,BALUCHISTAN,Ziarat,-,-,-,-,-,-,-,-,7268
9/30/2013,BALUCHISTAN,Total,26,-,21072,239453560,109847,419468344,4999,112331080,1656762
9/30/2013,KHYBER-PAKHTUNKHWA (KP),Abbottabad,11,-,10575,209905070,10362,123869180,8486,111850874,180672
9/30/2013,KHYBER-PAKHTUNKHWA (KP),Bannu,-,-,-,-,-,-,-,-,167380
9/30/2013,KHYBER-PAKHTUNKHWA (KP),Batgram,-,-,-,-,-,-,-,-,58257
9/30/2013,KHYBER-PAKHTUNKHWA (KP),Buner (Daggar),-,-,-,-,269,40520,-,-,133171
9/30/2013,KHYBER-PAKHTUNKHWA (KP),Charsadda,2,-,4104,60482891,15469,15774700,2228,51865539,271736
9/30/2013,KHYBER-PAKHTUNKHWA (KP),Chitral,6,-,3928,119105898,25922,666137053,3928,119105898,84846
9/30/2013,KHYBER-PAKHTUNKHWA (KP),D.I. Khan,1,-,3931,77518623,4843,108520931,3270,74026952,221328
9/30/2013,KHYBER-PAKHTUNKHWA (KP),Hangu,-,-,-,-,-,-,-,-,64648
9/30/2013,KHYBER-PAKHTUNKHWA (KP),Haripur,6,3,11851,179005133,12498,73520369,14202,104384052,103830
9/30/2013,KHYBER-PAKHTUNKHWA (KP),Karak,-,-,-,-,-,-,-,-,102174
9/30/2013,KHYBER-PAKHTUNKHWA (KP),Kohat,2,-,6280,54862495,3980,34821002,2158,34907062,114908
9/30/2013,KHYBER-PAKHTUNKHWA (KP),Kohistan,-,-,-,-,-,-,-,-,73374
9/30/2013,KHYBER-PAKHTUNKHWA (KP),Lakki Marwat,-,-,-,-,-,-,-,-,107505
9/30/2013,KHYBER-PAKHTUNKHWA (KP),Lower Dir,-,-,-,-,-,-,-,-,176660
9/30/2013,KHYBER-PAKHTUNKHWA (KP),Malakand,2,-,3011,53884975,32566,42295461,2724,52263578,106429
9/30/2013,KHYBER-PAKHTUNKHWA (KP),Mansehra,5,-,4809,71358267,3413,51655534,2860,41879640,271288
9/30/2013,KHYBER-PAKHTUNKHWA (KP),Mardan,3,-,6429,79872986,58111,29586445,3142,67319511,354988
9/30/2013,KHYBER-PAKHTUNKHWA (KP),Mingora,1,-,2302,46803760,3047,56007080,1891,45044134,-
9/30/2013,KHYBER-PAKHTUNKHWA (KP),Nowshera,11,-,8744,98806126,13778,323160242,7155,90931695,201208
9/30/2013,KHYBER-PAKHTUNKHWA (KP),Peshawar,10,-,7431,60494213,6926,73019254,3267,39871922,451548
9/30/2013,KHYBER-PAKHTUNKHWA (KP),Shangla,-,-,-,-,-,-,-,-,116366
9/30/2013,KHYBER-PAKHTUNKHWA (KP),Swabi,4,1,6122,87803597,30744,14716321,2636,53432861,230073
9/30/2013,KHYBER-PAKHTUNKHWA (KP),Swat,1,-,-,-,6488,770115,-,-,286555
9/30/2013,KHYBER-PAKHTUNKHWA (KP),Tank,-,-,-,-,-,-,-,-,62446
9/30/2013,KHYBER-PAKHTUNKHWA (KP),Upper Dir,-,-,-,-,-,-,-,-,142427
9/30/2013,KHYBER-PAKHTUNKHWA (KP),Total,65,4,79517,1199904034,228416,1613894207,57947,886883718,4083817
9/30/2013,PUNJAB,Attock,39,7,34340,454372120,77063,70983975,41494,338763187,262870
9/30/2013,PUNJAB,Bahawalpur,33,-,98287,2361275963,340765,1267176494,101385,1666043022,461777
9/30/2013,PUNJAB,Bhakkar,24,-,39058,815706685,169552,99898353,59106,1502244037,252453
9/30/2013,PUNJAB,Bhawalnagar,24,-,66920,1576348623,261541,592553417,64076,1058892786,427843
9/30/2013,PUNJAB,Chakwal,33,-,22710,308511163,77048,104299575,16920,277000594,219565
