Date,Province,District,Offices - Fixed,Offices - Mobile,Active Borrowers,Gross Loan Portfolio(PKR),Active Savers,Value of Savings(PKR),Policy Holders,Sum Insured(PKR),Potential Microfinance Market
12/31/2011,BALUCHISTAN,Awaran,-,-,-,-,-,-,-,-,26054
12/31/2011,BALUCHISTAN,Barkhan,-,-,-,-,-,-,-,-,31881
12/31/2011,BALUCHISTAN,Bolan,-,-,-,-,-,-,-,-,66423
12/31/2011,BALUCHISTAN,Chagai,-,-,-,-,-,-,-,-,54814
12/31/2011,BALUCHISTAN,Dera Bugti,-,-,-,-,-,-,-,-,43770
12/31/2011,BALUCHISTAN,Gwadar,3,-,182,1775090,17152,2672588,48,1080000,55537
12/31/2011,BALUCHISTAN,Jafarabad,4,-,4921,54672685,-,-,3614,43188553,121911
12/31/2011,BALUCHISTAN,Jhal Magsi,-,-,-,-,-,-,-,-,29887
12/31/2011,BALUCHISTAN,Kalat,-,-,-,-,-,-,-,-,53884
12/31/2011,BALUCHISTAN,Kech (Turbat),1,-,-,-,63573,10578984,-,-,92271
12/31/2011,BALUCHISTAN,Kharan,-,-,-,-,-,-,-,-,47948
12/31/2011,BALUCHISTAN,Khuzdar,-,-,-,-,-,-,-,-,104104
12/31/2011,BALUCHISTAN,Kohlu,-,-,-,-,-,-,-,-,26910
12/31/2011,BALUCHISTAN,Lasbela,4,-,1806,19027863,-,-,2106,21060000,84637
12/31/2011,BALUCHISTAN,Loralai,-,-,-,-,-,-,-,-,76879
12/31/2011,BALUCHISTAN,Mastung,-,-,-,-,-,-,-,-,41317
12/31/2011,BALUCHISTAN,Musakhel,-,-,-,-,-,-,-,-,27545
12/31/2011,BALUCHISTAN,Nasirabad,2,-,3500,42226038,4,3926,3448,44047161,75783
12/31/2011,BALUCHISTAN,Nushki,-,-,-,-,-,-,-,-,-
12/31/2011,BALUCHISTAN,Panjgur,-,-,-,-,-,-,-,-,51074
12/31/2011,BALUCHISTAN,Pishin,-,-,-,-,-,-,-,-,100179
12/31/2011,BALUCHISTAN,Qila Abdullah,-,-,-,-,-,-,-,-,115112
12/31/2011,BALUCHISTAN,Qila Saifullah,-,-,-,-,-,-,-,-,44345
12/31/2011,BALUCHISTAN,Quetta,10,-,11719,74861022,5897,216311161,4892,43768788,174437
12/31/2011,BALUCHISTAN,Sherani,-,-,-,-,-,-,-,-,-
12/31/2011,BALUCHISTAN,Sibi,-,-,-,-,-,-,-,-,48944
12/31/2011,BALUCHISTAN,Washuk,-,-,-,-,-,-,-,-,-
12/31/2011,BALUCHISTAN,Zhob,-,-,-,-,-,-,-,-,53848
12/31/2011,BALUCHISTAN,Ziarat,-,-,-,-,-,-,-,-,7268
12/31/2011,BALUCHISTAN,Total,24,-,22128,192562698,86626,229566659,14108,153144502,1656762
12/31/2011,KHYBER-PAKHTUNKHWA (KP),Abbottabad,5,-,7698,94312068,14300,31682485,6541,50550261,180672
12/31/2011,KHYBER-PAKHTUNKHWA (KP),Bannu,-,-,-,-,-,-,-,-,167380
12/31/2011,KHYBER-PAKHTUNKHWA (KP),Batgram,-,-,-,-,-,-,-,-,58257
12/31/2011,KHYBER-PAKHTUNKHWA (KP),Buner (Daggar),-,-,-,-,-,-,-,-,133171
12/31/2011,KHYBER-PAKHTUNKHWA (KP),Charsadda,4,-,5455,37380398,12926,1264925,4501,38641084,271736
12/31/2011,KHYBER-PAKHTUNKHWA (KP),Chitral,5,-,2388,62041260,22621,513037475,2388,62041260,84846
12/31/2011,KHYBER-PAKHTUNKHWA (KP),D.I. Khan,1,-,3976,51201371,4877,21501816,2725,39483053,221328
12/31/2011,KHYBER-PAKHTUNKHWA (KP),Hangu,-,-,-,-,-,-,-,-,64648
12/31/2011,KHYBER-PAKHTUNKHWA (KP),Haripur,4,-,7477,77010371,37522,32231986,6182,61702807,103830
12/31/2011,KHYBER-PAKHTUNKHWA (KP),Karak,-,-,-,-,-,-,-,-,102174
12/31/2011,KHYBER-PAKHTUNKHWA (KP),Kohat,2,-,6641,41170657,480,219627,2980,24266251,114908
12/31/2011,KHYBER-PAKHTUNKHWA (KP),Kohistan,-,-,-,-,-,-,-,-,73374
12/31/2011,KHYBER-PAKHTUNKHWA (KP),Lakki Marwat,-,-,-,-,-,-,-,-,107505
12/31/2011,KHYBER-PAKHTUNKHWA (KP),Lower Dir,-,-,-,-,-,-,-,-,176660
12/31/2011,KHYBER-PAKHTUNKHWA (KP),Malakand,2,-,1716,13721864,35358,26525416,1476,12412528,106429
12/31/2011,KHYBER-PAKHTUNKHWA (KP),Mansehra,5,-,5693,56394554,23832,39137616,3963,32517514,271288
