Date,Province,District,Offices - Fixed,Offices - Mobile,Active Borrowers,Gross Loan Portfolio(PKR),Active Savers,Value of Savings(PKR),Policy Holders,Sum Insured(PKR),Potential Microfinance Market
12/31/2017,BALUCHISTAN,Awaran,-,-,-,-,11179,1361741,-,-,-
12/31/2017,BALUCHISTAN,Barkhan,-,-,-,-,919,226221,-,-,-
12/31/2017,BALUCHISTAN,Bolan,-,-,-,-,1187,976504,-,-,-
12/31/2017,BALUCHISTAN,Chagai,-,-,-,-,2651,2521390,-,-,-
12/31/2017,BALUCHISTAN,Dera Bugti,-,-,-,-,1297,1001277,-,-,-
12/31/2017,BALUCHISTAN,Gwadar,4,-,232,3429441,26804,78203283,-,-,-
12/31/2017,BALUCHISTAN,Jafarabad,-,-,-,-,13689,6307055,-,-,-
12/31/2017,BALUCHISTAN,Jhal Magsi,-,-,-,-,1,-,-,-,-
12/31/2017,BALUCHISTAN,Kalat,-,-,-,-,603,338686,-,-,-
12/31/2017,BALUCHISTAN,Kech (Turbat),-,-,-,-,50686,11312957,308,9660000,-
12/31/2017,BALUCHISTAN,Kharan,-,-,-,-,12,561,-,-,-
12/31/2017,BALUCHISTAN,Khuzdar,-,-,-,-,2915,2123425,-,-,-
12/31/2017,BALUCHISTAN,Kohlu,-,-,-,-,-,-,-,-,-
12/31/2017,BALUCHISTAN,Lasbela,5,-,1484,25208518,49266,6342866,6615,170614371,-
12/31/2017,BALUCHISTAN,Loralai,-,-,-,-,2826,2176244,-,-,-
12/31/2017,BALUCHISTAN,Mastung,-,-,-,-,998,497630,-,-,-
12/31/2017,BALUCHISTAN,Musakhel,-,-,-,-,1102,649563,-,-,-
12/31/2017,BALUCHISTAN,Nasirabad,3,-,1612,112756280,14194,62109578,1096,87053768,-
12/31/2017,BALUCHISTAN,Nushki,-,-,-,-,1835,1156195,-,-,-
12/31/2017,BALUCHISTAN,Panjgur,-,-,-,-,22224,3280710,-,-,-
12/31/2017,BALUCHISTAN,Pishin,-,-,-,-,2053,2019896,-,-,-
12/31/2017,BALUCHISTAN,Qila Abdullah,-,-,-,-,1665,685415,-,-,-
12/31/2017,BALUCHISTAN,Qila Saifullah,-,-,-,-,1057,512170,-,-,-
12/31/2017,BALUCHISTAN,Quetta,7,-,2984,147891317,325896,318933673,2997,145457664,-
12/31/2017,BALUCHISTAN,Sherani,-,-,-,-,520,346654,-,-,-
12/31/2017,BALUCHISTAN,Sibi,1,-,525,8962850,2762,1917309,525,8962850,-
12/31/2017,BALUCHISTAN,Washuk,-,-,-,-,363,315019,-,-,-
12/31/2017,BALUCHISTAN,Zhob,-,-,-,-,2713,2827558,-,-,-
12/31/2017,BALUCHISTAN,Ziarat,-,-,-,-,299,143930,-,-,-
12/31/2017,BALUCHISTAN,Total,20,-,6837,298248406,541716,508287511,11541,421748653,0
12/31/2017,KHYBER-PAKHTUNKHWA (KP),Abbottabad,13,-,14250,501072354,106634,831092181,14275,412998048,-
12/31/2017,KHYBER-PAKHTUNKHWA (KP),Bannu,5,-,4617,97716784,12510,125909892,4026,63630850,-
12/31/2017,KHYBER-PAKHTUNKHWA (KP),Batgram,1,-,736,5282001,5801,1607074,736,5282001,-
12/31/2017,KHYBER-PAKHTUNKHWA (KP),Buner (Daggar),1,-,1172,59353365,14625,79268122,1172,59353365,-
12/31/2017,KHYBER-PAKHTUNKHWA (KP),Charsadda,3,-,3941,136910229,45488,234247737,3767,121658052,-
12/31/2017,KHYBER-PAKHTUNKHWA (KP),Chitral,7,-,4351,288142183,45712,1110061128,5046,305517183,-
12/31/2017,KHYBER-PAKHTUNKHWA (KP),D.I. Khan,5,-,11058,538419248,61186,422051376,13631,531251535,-
12/31/2017,KHYBER-PAKHTUNKHWA (KP),Hangu,-,-,-,-,6655,4164613,-,-,-
12/31/2017,KHYBER-PAKHTUNKHWA (KP),Haripur,13,12,22565,710753698,68792,357463647,37561,385588691,-
12/31/2017,KHYBER-PAKHTUNKHWA (KP),Karak,1,-,1031,7317400,13012,3983929,-,-,-
12/31/2017,KHYBER-PAKHTUNKHWA (KP),Kohat,4,-,5344,190286861,39161,346058707,4674,191110261,-
12/31/2017,KHYBER-PAKHTUNKHWA (KP),Kohistan,1,-,-,-,1908,56560739,-,-,-
12/31/2017,KHYBER-PAKHTUNKHWA (KP),Lakki Marwat,1,-,1028,14197950,12905,3539117,1028,14197950,-
12/31/2017,KHYBER-PAKHTUNKHWA (KP),Lower Dir,-,-,-,-,18226,7277447,-,-,-
12/31/2017,KHYBER-PAKHTUNKHWA (KP),Malakand,3,-,3147,102034007,56370,124513448,3205,103824007,-
12/31/2017,KHYBER-PAKHTUNKHWA (KP),Mansehra,12,-,12048,284393238,48253,260143569,12824,216061596,-
12/31/2017,KHYBER-PAKHTUNKHWA (KP),Mardan,11,-,11144,478618336,120006,233324737,11461,282457698,-
12/31/2017,KHYBER-PAKHTUNKHWA (KP),Mingora,1,-,2874,144451900,12561,418000935,3239,157741900,-
12/31/2017,KHYBER-PAKHTUNKHWA (KP),Nowshera,12,-,11052,311502244,59399,626267213,12119,279863063,-
12/31/2017,KHYBER-PAKHTUNKHWA (KP),Peshawar,20,-,9434,352030777,1712385,3384958977,7939,204308243,-
12/31/2017,KHYBER-PAKHTUNKHWA (KP),Shangla,-,-,-,-,10719,1831430,-,-,-
12/31/2017,KHYBER-PAKHTUNKHWA (KP),Swabi,7,1,8115,280566856,101898,484802461,4981,136292588,-
12/31/2017,KHYBER-PAKHTUNKHWA (KP),Swat,4,-,3307,50244606,52831,13919138,3307,50244606,-
12/31/2017,KHYBER-PAKHTUNKHWA (KP),Tank,1,-,448,7735500,8933,2715198,448,7735500,-
12/31/2017,KHYBER-PAKHTUNKHWA (KP),Upper Dir,-,-,-,-,8864,2531481,-,-,-
12/31/2017,KHYBER-PAKHTUNKHWA (KP),Total,126,13,131662,4561029536,2644834,9136294298,145439,3529117137,0
12/31/2017,PUNJAB,Attock,75,13,91941,2022510398,193004,789153619,141680,2534006390,-
12/31/2017,PUNJAB,Bahawalpur,63,-,184593,8530955714,634121,4382091746,246758,7528332491,-
12/31/2017,PUNJAB,Bhakkar,49,-,110131,4895325931,411931,1324980804,99725,3523817580,-
12/31/2017,PUNJAB,Bhawalnagar,71,-,180304,8317053557,552291,2700200616,225253,6654851251,-
12/31/2017,PUNJAB,Chakwal,83,2,74584,1700963450,137051,353134625,81670,1942232454,-
12/31/2017,PUNJAB,D.G. Khan,19,-,38333,968878732,61060,118920185,51738,1561783102,-
