Date,Province,District,Offices - Fixed,Offices - Mobile,Active Borrowers,Gross Loan Portfolio(PKR),Active Savers,Value of Savings(PKR),Policy Holders,Sum Insured(PKR),Potential Microfinance Market
3/31/2008,BALUCHISTAN,Awaran,-,-,-,-,-,-,-,-,26054
3/31/2008,BALUCHISTAN,Barkhan,1,-,999,6706627,-,-,26,275900,31881
3/31/2008,BALUCHISTAN,Bolan,-,-,-,-,-,-,-,-,66423
3/31/2008,BALUCHISTAN,Chagai,-,-,-,-,-,-,-,-,54814
3/31/2008,BALUCHISTAN,Dera Bugti,-,-,-,-,-,-,-,-,43770
3/31/2008,BALUCHISTAN,Gwadar,-,-,-,-,-,-,-,-,-
3/31/2008,BALUCHISTAN,Jafarabad,1,-,1118,12388567,-,-,341,4289100,121911
3/31/2008,BALUCHISTAN,Jhal Magsi,-,-,-,-,-,-,-,-,29887
3/31/2008,BALUCHISTAN,Kalat,-,-,-,-,-,-,-,-,53884
3/31/2008,BALUCHISTAN,Kech (Turbat),4,-,47,156008,29362,6092353,27,405000,92271
3/31/2008,BALUCHISTAN,Kharan,-,-,-,-,-,-,-,-,47948
3/31/2008,BALUCHISTAN,Khuzdar,-,-,-,-,-,-,-,-,104104
3/31/2008,BALUCHISTAN,Kohlu,-,-,-,-,-,-,-,-,26910
3/31/2008,BALUCHISTAN,Lasbela,-,-,-,-,-,-,-,-,84637
3/31/2008,BALUCHISTAN,Loralai,2,-,1907,11896406,-,-,183,1901500,76879
3/31/2008,BALUCHISTAN,Mastung,1,-,433,2870156,-,-,61,675300,41317
3/31/2008,BALUCHISTAN,Musakhel,-,-,-,-,-,-,-,-,27545
3/31/2008,BALUCHISTAN,Nasirabad,1,-,853,8576226,-,-,495,5462400,75783
3/31/2008,BALUCHISTAN,Nushki,-,-,-,-,-,-,-,-,-
3/31/2008,BALUCHISTAN,Panjgur,-,-,-,-,-,-,-,-,51074
3/31/2008,BALUCHISTAN,Pishin,1,-,1296,9583074,-,-,48,460000,100179
3/31/2008,BALUCHISTAN,Qila Abdullah,-,-,-,-,-,-,-,-,115112
3/31/2008,BALUCHISTAN,Qila Saifullah,-,-,-,-,-,-,-,-,44345
3/31/2008,BALUCHISTAN,Quetta,6,-,5196,29137990,956,35837000,1381,13683690,174437
3/31/2008,BALUCHISTAN,Sherani,-,-,-,-,-,-,-,-,-
3/31/2008,BALUCHISTAN,Sibi,1,-,2112,13747364,-,-,256,2734000,48944
3/31/2008,BALUCHISTAN,Washuk,-,-,-,-,-,-,-,-,-
3/31/2008,BALUCHISTAN,Zhob,1,-,786,4500316,-,-,33,278800,53848
3/31/2008,BALUCHISTAN,Ziarat,1,-,19,70748,-,-,-,-,7268
3/31/2008,BALUCHISTAN,Total,24,-,16619,110818403,38801,44593778,4081,39981638,1656762
3/31/2008,KHYBER-PAKHTUNKHWA (KP),Abbottabad,3,-,4654,21063720,26316,3594642,1219,7752000,180672
3/31/2008,KHYBER-PAKHTUNKHWA (KP),Bannu,-,-,-,-,-,-,-,-,167380
3/31/2008,KHYBER-PAKHTUNKHWA (KP),Batgram,2,-,1021,2631747,19319,83365,409,1528000,58257
3/31/2008,KHYBER-PAKHTUNKHWA (KP),Buner (Daggar),-,-,-,-,-,-,-,-,133171
3/31/2008,KHYBER-PAKHTUNKHWA (KP),Charsadda,14,-,11835,121539948,9859,802080,9819,142679000,271736
3/31/2008,KHYBER-PAKHTUNKHWA (KP),Chitral,6,-,7752,154097335,9659,199727502,6829,123665564,84846
3/31/2008,KHYBER-PAKHTUNKHWA (KP),D.I. Khan,2,-,5942,74907615,-,-,872,10071900,221328
3/31/2008,KHYBER-PAKHTUNKHWA (KP),Hangu,1,-,399,1107242,1600,801600,-,-,64648
3/31/2008,KHYBER-PAKHTUNKHWA (KP),Haripur,4,-,4992,43818440,49442,6824239,525,5651600,103830
3/31/2008,KHYBER-PAKHTUNKHWA (KP),Karak,1,-,1560,10418633,-,-,434,4490000,102174
3/31/2008,KHYBER-PAKHTUNKHWA (KP),Kohat,3,-,6165,38823324,2464,1234464,666,7069500,114908
3/31/2008,KHYBER-PAKHTUNKHWA (KP),Kohistan,1,-,217,306500,-,-,86,258000,73374
3/31/2008,KHYBER-PAKHTUNKHWA (KP),Lakki Marwat,-,-,-,-,-,-,-,-,107505
3/31/2008,KHYBER-PAKHTUNKHWA (KP),Lower Dir,-,-,-,-,-,-,-,-,176660
3/31/2008,KHYBER-PAKHTUNKHWA (KP),Malakand,21,-,10881,143124213,15722,1792879,9292,135836200,106429
3/31/2008,KHYBER-PAKHTUNKHWA (KP),Mansehra,3,-,5106,18695884,14062,9789356,2946,14726235,271288
3/31/2008,KHYBER-PAKHTUNKHWA (KP),Mardan,45,-,37373,381473933,33840,6277194,32976,492191700,354988
3/31/2008,KHYBER-PAKHTUNKHWA (KP),Mingora,2,-,1702,18837963,-,-,380,4133700,-
3/31/2008,KHYBER-PAKHTUNKHWA (KP),Nowshera,11,-,8996,65352784,1632,817632,1803,12432700,201208
3/31/2008,KHYBER-PAKHTUNKHWA (KP),Peshawar,17,-,15115,136281239,7234,841680,6261,84145400,451548
3/31/2008,KHYBER-PAKHTUNKHWA (KP),Shangla,1,-,600,1673587,-,-,118,732000,116366
3/31/2008,KHYBER-PAKHTUNKHWA (KP),Swabi,14,-,13762,126238369,12280,3181422,7677,112800500,230073
3/31/2008,KHYBER-PAKHTUNKHWA (KP),Swat,12,-,3652,36590372,4676,711087,1381,20715000,286555
3/31/2008,KHYBER-PAKHTUNKHWA (KP),Tank,-,-,-,-,-,-,-,-,62446
3/31/2008,KHYBER-PAKHTUNKHWA (KP),Upper Dir,-,-,-,-,-,-,-,-,142427
3/31/2008,KHYBER-PAKHTUNKHWA (KP),Total,163,-,141724,1396982848,208105,236479142,83693,1180878999,4083817
3/31/2008,PUNJAB,Attock,37,-,18103,158111525,44660,91761927,13351,191650452,262870
3/31/2008,PUNJAB,Bahawalpur,33,-,82413,1175719413,87376,244427232,67468,990038023,461777
3/31/2008,PUNJAB,Bhakkar,24,-,22783,235654737,34611,25874715,21169,313928000,252453
3/31/2008,PUNJAB,Bhawalnagar,16,-,45083,679200840,42747,83742104,40743,604400500,427843
3/31/2008,PUNJAB,Chakwal,36,-,12967,122360308,32505,69290029,9892,139255147,219565
3/31/2008,PUNJAB,D.G. Khan,10,-,22179,282101897,25734,50861990,9017,125551292,419252
3/31/2008,PUNJAB,Faisalabad,79,-,93356,779187543,36978,28705064,94751,455192796,1096924
3/31/2008,PUNJAB,Gujranwala,41,-,57412,609596525,30064,38122195,71346,513838875,735741
3/31/2008,PUNJAB,Gujrat,13,-,10531,93533986,11397,3108498,11415,59659477,446630
3/31/2008,PUNJAB,Hafizabad,5,-,8131,60967394,7020,1215604,7236,28877914,231170
3/31/2008,PUNJAB,Jhang,23,-,15910,136751163,15632,11716854,16391,94959948,626546
3/31/2008,PUNJAB,Jhelum,36,-,13841,123240529,15691,16532511,12377,184529800,170498
3/31/2008,PUNJAB,Kasur,30,-,48943,424093183,7311,5867373,59298,376251590,586427
3/31/2008,PUNJAB,Khanewal,10,-,23232,229192614,22603,14542690,25325,212206108,432948
3/31/2008,PUNJAB,Khushab,26,-,17723,143882662,41301,48045734,19712,236126428,235163
3/31/2008,PUNJAB,Lahore,122,-,167737,1661853602,35585,41863803,204373,1399466185,872760
3/31/2008,PUNJAB,Leyyah,4,-,15366,174454135,14020,2054557,1168,13648300,263251
3/31/2008,PUNJAB,Lodhran,15,-,25197,395619424,36394,85054489,20705,305203700,261693
3/31/2008,PUNJAB,Mandi Bahauddin,6,-,8932,61233103,10914,2603259,5965,23979492,298371
3/31/2008,PUNJAB,Mianwali,28,-,21061,179395847,16046,1698585,17971,268027900,252413
3/31/2008,PUNJAB,Multan,59,-,57058,525413864,38079,81413830,42230,277149054,689339
3/31/2008,PUNJAB,Muzaffargarh,4,-,10808,123191184,18262,2905699,6301,88831300,570580
3/31/2008,PUNJAB,Nankana Sahib,7,-,6035,203867052,-,-,179,1726402,-
3/31/2008,PUNJAB,Narowal,8,-,7116,108335103,24124,2277242,943,10546700,268902
3/31/2008,PUNJAB,Okara,11,-,17192,144373672,16235,8012718,17863,94419475,509842
3/31/2008,PUNJAB,Pakpattan,7,-,18184,204617652,16866,11382118,17981,155822097,281988
3/31/2008,PUNJAB,Rahimyar Khan,32,-,29098,355526869,22797,73450594,32780,337102618,585705
3/31/2008,PUNJAB,Rajanpur,16,-,20889,275786553,17929,38044134,13249,185958100,260436
3/31/2008,PUNJAB,Rawalpindi,73,-,49335,412639023,45455,88835096,25827,216169367,327457
3/31/2008,PUNJAB,Sahiwal,18,-,25690,243233921,27353,11049647,29048,182645738,395468
3/31/2008,PUNJAB,Sargodha,30,-,30600,262975645,29082,2726999,35567,183829321,671679
3/31/2008,PUNJAB,Sheikhupura,18,-,27698,335639342,6069,1133525,28583,203086855,831522
3/31/2008,PUNJAB,Sialkot,17,-,16157,146154801,29989,8221952,2220,36058603,501997
3/31/2008,PUNJAB,Toba Tek Singh,7,-,15642,137514199,18476,2827497,13052,80089873,309316
3/31/2008,PUNJAB,Vihari,14,-,23480,274320918,32043,38433178,20457,224460674,475398
3/31/2008,PUNJAB,Total,915,-,1085882,11479740228,911348,1237803441,1015953,8814688104,15233924
3/31/2008,SINDH,Badin,8,-,5080,50859002,45617,40669168,3965,46662431,294781
3/31/2008,SINDH,Dadu,16,-,10777,87764286,32383,39389847,7096,16659186,447305
3/31/2008,SINDH,Ghotki,3,-,5514,64293526,2501,11907100,3714,47746646,248442
3/31/2008,SINDH,Hyderabad,31,-,31289,307476729,23166,71375420,24852,320785018,517652
3/31/2008,SINDH,Jacobabad,3,-,7931,87874056,1064,21655800,2228,28454480,361146
3/31/2008,SINDH,Jamshoro,3,-,4060,32790870,10070,8044780,-,-,-
3/31/2008,SINDH,Karachi,101,1,90028,826145832,59908,1475452499,93848,574865985,1329990
3/31/2008,SINDH,Khairpur,8,-,26004,281830773,25719,56149089,18745,108004665,401853
3/31/2008,SINDH,Larkana,4,-,5500,62628459,801,11440400,3375,44884966,534891
3/31/2008,SINDH,Matyari,5,-,9664,87894312,6746,4416934,8506,80897200,-
3/31/2008,SINDH,Mirpur Khas,9,-,10922,110471790,37189,9372785,8595,107559312,210494
3/31/2008,SINDH,Naushahro Feroze,2,-,9794,94665786,726,8387400,2931,36156998,266462
3/31/2008,SINDH,Nawabshah,5,1,16516,185084076,2805,10332621,8594,79887544,225430
3/31/2008,SINDH,Sanghar,8,1,18406,154753980,81,4787650,12544,15918570,354133
3/31/2008,SINDH,Sehwan Sharif,1,-,2199,17412635,-,-,78,1004200,-
3/31/2008,SINDH,Shehdad Kot,-,-,-,-,-,-,-,-,-
