Date,Province,District,Offices - Fixed,Offices - Mobile,Active Borrowers,Gross Loan Portfolio(PKR),Active Savers,Value of Savings(PKR),Policy Holders,Sum Insured(PKR),Potential Microfinance Market
3/31/2014,BALUCHISTAN,Awaran,-,-,-,-,9890,871572,-,-,26054
3/31/2014,BALUCHISTAN,Barkhan,-,-,-,-,-,-,-,-,31881
3/31/2014,BALUCHISTAN,Bolan,-,-,-,-,-,-,-,-,66423
3/31/2014,BALUCHISTAN,Chagai,-,-,-,-,-,-,-,-,54814
3/31/2014,BALUCHISTAN,Dera Bugti,-,-,-,-,-,-,-,-,43770
3/31/2014,BALUCHISTAN,Gwadar,4,-,157,2166606,20202,3294799,157,2166606,55537
3/31/2014,BALUCHISTAN,Jafarabad,1,-,9166,111000809,2492,3087839,239,6164707,121911
3/31/2014,BALUCHISTAN,Jhal Magsi,-,-,-,-,-,-,-,-,29887
3/31/2014,BALUCHISTAN,Kalat,-,-,-,-,-,-,-,-,53884
3/31/2014,BALUCHISTAN,Kech (Turbat),1,-,-,-,48595,10290976,-,-,92271
3/31/2014,BALUCHISTAN,Kharan,-,-,-,-,-,-,-,-,47948
3/31/2014,BALUCHISTAN,Khuzdar,-,-,-,-,-,-,-,-,104104
3/31/2014,BALUCHISTAN,Kohlu,-,-,-,-,-,-,-,-,26910
3/31/2014,BALUCHISTAN,Lasbela,6,-,817,9757512,5321,190980,1528,10497960,84637
3/31/2014,BALUCHISTAN,Loralai,-,-,-,-,-,-,-,-,76879
3/31/2014,BALUCHISTAN,Mastung,-,-,-,-,-,-,-,-,41317
3/31/2014,BALUCHISTAN,Musakhel,-,-,-,-,-,-,-,-,27545
3/31/2014,BALUCHISTAN,Nasirabad,1,-,2060,42471360,3183,4206712,1562,36446140,75783
3/31/2014,BALUCHISTAN,Nushki,-,-,-,-,-,-,-,-,-
3/31/2014,BALUCHISTAN,Panjgur,-,-,-,-,16949,443299,960,28800000,51074
