Date,Province,District,Offices - Fixed,Offices - Mobile,Active Borrowers,Gross Loan Portfolio(PKR),Active Savers,Value of Savings(PKR),Policy Holders,Sum Insured(PKR),Potential Microfinance Market
9/30/2010,BALUCHISTAN,Awaran,-,-,-,-,-,-,-,-,26054
9/30/2010,BALUCHISTAN,Barkhan,-,-,-,-,-,-,-,-,31881
9/30/2010,BALUCHISTAN,Bolan,-,-,-,-,-,-,-,-,66423
9/30/2010,BALUCHISTAN,Chagai,-,-,-,-,-,-,-,-,54814
9/30/2010,BALUCHISTAN,Dera Bugti,-,-,-,-,-,-,-,-,43770
9/30/2010,BALUCHISTAN,Gwadar,5,-,1222,6665419,10348,2187927,711,6792952,55537
9/30/2010,BALUCHISTAN,Jafarabad,4,-,3621,47391464,-,-,3493,46340924,121911
9/30/2010,BALUCHISTAN,Jhal Magsi,-,-,-,-,-,-,-,-,29887
9/30/2010,BALUCHISTAN,Kalat,-,-,-,-,-,-,-,-,53884
9/30/2010,BALUCHISTAN,Kech (Turbat),1,-,-,-,30578,6951191,-,-,92271
9/30/2010,BALUCHISTAN,Kharan,-,-,-,-,-,-,-,-,47948
9/30/2010,BALUCHISTAN,Khuzdar,-,-,-,-,-,-,-,-,104104
9/30/2010,BALUCHISTAN,Kohlu,-,-,-,-,-,-,-,-,26910
9/30/2010,BALUCHISTAN,Lasbela,4,-,1035,9347441,-,-,1035,10350000,84637
9/30/2010,BALUCHISTAN,Loralai,1,-,1992,11981982,-,-,-,-,76879
9/30/2010,BALUCHISTAN,Mastung,-,-,-,-,-,-,-,-,41317
9/30/2010,BALUCHISTAN,Musakhel,-,-,-,-,-,-,-,-,27545
9/30/2010,BALUCHISTAN,Nasirabad,2,-,3404,37604876,-,-,3307,36882112,75783
9/30/2010,BALUCHISTAN,Nushki,-,-,-,-,-,-,-,-,-
9/30/2010,BALUCHISTAN,Panjgur,-,-,-,-,-,-,-,-,51074
9/30/2010,BALUCHISTAN,Pishin,-,-,-,-,-,-,-,-,100179
9/30/2010,BALUCHISTAN,Qila Abdullah,-,-,-,-,-,-,-,-,115112
9/30/2010,BALUCHISTAN,Qila Saifullah,-,-,-,-,-,-,-,-,44345
9/30/2010,BALUCHISTAN,Quetta,9,-,7486,46333895,4625,13740627,4367,34984909,174437
9/30/2010,BALUCHISTAN,Sherani,-,-,-,-,-,-,-,-,-
