Date,Province,District,Offices - Fixed,Offices - Mobile,Active Borrowers,Gross Loan Portfolio(PKR),Active Savers,Value of Savings(PKR),Policy Holders,Sum Insured(PKR),Potential Microfinance Market
3/31/2018,BALUCHISTAN,Awaran,-,-,-,-,11452,1361741,-,-,-
3/31/2018,BALUCHISTAN,Barkhan,-,-,-,-,614,840400,-,-,-
3/31/2018,BALUCHISTAN,Bolan,-,-,-,-,985,1712275,-,-,-
3/31/2018,BALUCHISTAN,Chagai,-,-,-,-,2348,6497386,-,-,-
3/31/2018,BALUCHISTAN,Dera Bugti,-,-,-,-,444,848384,-,-,-
3/31/2018,BALUCHISTAN,Gwadar,5,-,151,2014053,27179,70644779,-,-,-
3/31/2018,BALUCHISTAN,Jafarabad,-,-,-,-,11407,11672973,-,-,-
3/31/2018,BALUCHISTAN,Jhal Magsi,-,-,-,-,86,238529,-,-,-
3/31/2018,BALUCHISTAN,Kalat,-,-,-,-,410,977997,-,-,-
3/31/2018,BALUCHISTAN,Kech (Turbat),-,-,-,-,51291,14617830,171,5360000,-
3/31/2018,BALUCHISTAN,Kharan,-,-,-,-,12,561,-,-,-
3/31/2018,BALUCHISTAN,Khuzdar,-,-,-,-,2443,5608729,-,-,-
3/31/2018,BALUCHISTAN,Kohlu,-,-,-,-,-,-,-,-,-
3/31/2018,BALUCHISTAN,Lasbela,5,-,1350,26456520,48525,12740334,6182,162654153,-
3/31/2018,BALUCHISTAN,Loralai,-,-,-,-,2359,5075020,-,-,-
3/31/2018,BALUCHISTAN,Mastung,-,-,-,-,720,839248,-,-,-
3/31/2018,BALUCHISTAN,Musakhel,-,-,-,-,1158,913469,-,-,-
3/31/2018,BALUCHISTAN,Nasirabad,3,-,2961,200091375,14124,62748399,2021,149419148,-
3/31/2018,BALUCHISTAN,Nushki,-,-,-,-,1848,2647991,-,-,-
3/31/2018,BALUCHISTAN,Panjgur,-,-,-,-,22409,3617179,-,-,-
3/31/2018,BALUCHISTAN,Pishin,-,-,-,-,1475,2217777,-,-,-
3/31/2018,BALUCHISTAN,Qila Abdullah,-,-,-,-,1219,3747664,-,-,-
3/31/2018,BALUCHISTAN,Qila Saifullah,-,-,-,-,899,983181,-,-,-
3/31/2018,BALUCHISTAN,Quetta,7,-,3508,178737226,102840,266260648,3519,175757454,-
3/31/2018,BALUCHISTAN,Sherani,-,-,-,-,559,792511,-,-,-
3/31/2018,BALUCHISTAN,Sibi,1,-,740,12829750,2649,6368983,740,12829750,-
3/31/2018,BALUCHISTAN,Washuk,-,-,-,-,325,869703,-,-,-
3/31/2018,BALUCHISTAN,Zhob,-,-,-,-,2537,3928382,-,-,-
3/31/2018,BALUCHISTAN,Ziarat,-,-,-,-,206,320256,-,-,-
3/31/2018,BALUCHISTAN,Total,21,-,8710,420128924,312523,489092328,12633,506020505,500000
