Date,Province,District,Offices - Fixed,Offices - Mobile,Active Borrowers,Gross Loan Portfolio(PKR),Active Savers,Value of Savings(PKR),Policy Holders,Sum Insured(PKR),Potential Microfinance Market
9/30/2018,BALUCHISTAN,Awaran,-,-,-,-,16670,9100578,-,-,-
9/30/2018,BALUCHISTAN,Barkhan,-,-,-,-,333,457772,-,-,-
9/30/2018,BALUCHISTAN,Bolan,-,-,-,-,7842,6471313,-,-,-
9/30/2018,BALUCHISTAN,Chagai,-,-,-,-,647,570834,-,-,-
9/30/2018,BALUCHISTAN,Dera Bugti,-,-,-,-,924,1207682,-,-,-
9/30/2018,BALUCHISTAN,Gwadar,5,-,84,1056519,23173,3066824,17,354133,-
9/30/2018,BALUCHISTAN,Jafarabad,-,-,-,-,9060,9329910,-,-,-
9/30/2018,BALUCHISTAN,Jhal Magsi,-,-,-,-,112,121663,-,-,-
9/30/2018,BALUCHISTAN,Kalat,-,-,-,-,405,242318,-,-,-
9/30/2018,BALUCHISTAN,Kech (Turbat),-,-,-,-,50235,10292276,35,1080000,-
9/30/2018,BALUCHISTAN,Kharan,-,-,-,-,12,561,-,-,-
9/30/2018,BALUCHISTAN,Khuzdar,-,-,-,-,217,54913,-,-,-
9/30/2018,BALUCHISTAN,Kohlu,-,-,-,-,-,-,-,-,-
9/30/2018,BALUCHISTAN,Lasbela,5,-,1152,26283407,43263,694840,5577,145973595,-
9/30/2018,BALUCHISTAN,Loralai,-,-,-,-,94,4322,-,-,-
9/30/2018,BALUCHISTAN,Mastung,-,-,-,-,178,43214,-,-,-
9/30/2018,BALUCHISTAN,Musakhel,-,-,-,-,625,75575,-,-,-
9/30/2018,BALUCHISTAN,Nasirabad,2,-,2882,211796994,12174,68095119,3062,216976994,-
9/30/2018,BALUCHISTAN,Nushki,-,-,-,-,-,-,-,-,-
9/30/2018,BALUCHISTAN,Panjgur,-,-,-,-,22278,3280710,-,-,-
9/30/2018,BALUCHISTAN,Pishin,-,-,-,-,1517,1399663,-,-,-
9/30/2018,BALUCHISTAN,Qila Abdullah,-,-,-,-,83212,90964665,-,-,-
9/30/2018,BALUCHISTAN,Qila Saifullah,-,-,-,-,690,118831,-,-,-
9/30/2018,BALUCHISTAN,Quetta,8,-,4325,239001600,167940,500105182,4237,231633770,-
9/30/2018,BALUCHISTAN,Sherani,-,-,-,-,-,-,-,-,-
9/30/2018,BALUCHISTAN,Sibi,1,-,941,14359000,11112,17583865,941,14359000,-
9/30/2018,BALUCHISTAN,Washuk,-,-,-,-,17,7776,-,-,-
9/30/2018,BALUCHISTAN,Zhob,-,-,-,-,1062,452292,-,-,-
9/30/2018,BALUCHISTAN,Ziarat,-,-,-,-,218,257960,-,-,-
9/30/2018,BALUCHISTAN,Total,21,-,9384,492497520,454010,724000657,13869,610377492,500000
9/30/2018,KHYBER-PAKHTUNKHWA (KP),Abbottabad,14,-,12993,522670434,74580,912629738,11969,383321492,-
9/30/2018,KHYBER-PAKHTUNKHWA (KP),Bannu,4,-,4946,102645643,6676,104498388,4601,67703100,-
9/30/2018,KHYBER-PAKHTUNKHWA (KP),Batgram,1,-,350,5660506,5739,5192949,350,5660506,-
9/30/2018,KHYBER-PAKHTUNKHWA (KP),Buner (Daggar),1,-,946,47849433,3436,90801453,973,48929433,-
9/30/2018,KHYBER-PAKHTUNKHWA (KP),Charsadda,5,-,4285,181128924,43753,239512529,4490,148006119,-
