Date,Province,District,Offices - Fixed,Offices - Mobile,Active Borrowers,Gross Loan Portfolio(PKR),Active Savers,Value of Savings(PKR),Policy Holders,Sum Insured(PKR),Potential Microfinance Market
3/31/2012,BALUCHISTAN,Awaran,1,-,-,-,9427,884351,-,-,26054
3/31/2012,BALUCHISTAN,Barkhan,-,-,-,-,-,-,-,-,31881
3/31/2012,BALUCHISTAN,Bolan,-,-,-,-,-,-,-,-,66423
3/31/2012,BALUCHISTAN,Chagai,-,-,-,-,-,-,-,-,54814
3/31/2012,BALUCHISTAN,Dera Bugti,-,-,-,-,-,-,-,-,43770
3/31/2012,BALUCHISTAN,Gwadar,2,-,170,1864531,17518,2686977,24,540000,55537
3/31/2012,BALUCHISTAN,Jafarabad,4,-,3079,30771250,442,1401975,2333,25567033,121911
3/31/2012,BALUCHISTAN,Jhal Magsi,-,-,-,-,-,-,-,-,29887
3/31/2012,BALUCHISTAN,Kalat,-,-,-,-,-,-,-,-,53884
3/31/2012,BALUCHISTAN,Kech (Turbat),1,-,-,-,39968,9380889,-,-,92271
3/31/2012,BALUCHISTAN,Kharan,-,-,-,-,-,-,-,-,47948
3/31/2012,BALUCHISTAN,Khuzdar,-,-,-,-,-,-,-,-,104104
3/31/2012,BALUCHISTAN,Kohlu,-,-,-,-,-,-,-,-,26910
3/31/2012,BALUCHISTAN,Lasbela,4,-,1845,19982626,-,-,1978,19780000,84637
3/31/2012,BALUCHISTAN,Loralai,-,-,-,-,-,-,-,-,76879
3/31/2012,BALUCHISTAN,Mastung,-,-,-,-,-,-,-,-,41317
3/31/2012,BALUCHISTAN,Musakhel,-,-,-,-,-,-,-,-,27545
3/31/2012,BALUCHISTAN,Nasirabad,2,-,2328,26634791,759,1441175,2230,27636267,75783
3/31/2012,BALUCHISTAN,Nushki,-,-,-,-,-,-,-,-,-
3/31/2012,BALUCHISTAN,Panjgur,1,-,-,-,14892,444219,-,-,51074
3/31/2012,BALUCHISTAN,Pishin,-,-,-,-,-,-,-,-,100179
3/31/2012,BALUCHISTAN,Qila Abdullah,-,-,-,-,-,-,-,-,115112
3/31/2012,BALUCHISTAN,Qila Saifullah,-,-,-,-,-,-,-,-,44345
3/31/2012,BALUCHISTAN,Quetta,10,-,11439,73191510,4863,152861349,3997,36058595,174437
3/31/2012,BALUCHISTAN,Sherani,-,-,-,-,-,-,-,-,-
3/31/2012,BALUCHISTAN,Sibi,-,-,-,-,-,-,-,-,48944
3/31/2012,BALUCHISTAN,Washuk,-,-,-,-,-,-,-,-,-
3/31/2012,BALUCHISTAN,Zhob,-,-,-,-,-,-,-,-,53848
3/31/2012,BALUCHISTAN,Ziarat,-,-,-,-,-,-,-,-,7268
3/31/2012,BALUCHISTAN,Total,25,-,18861,152444708,87869,169100935,10562,109581895,1656762
3/31/2012,KHYBER-PAKHTUNKHWA (KP),Abbottabad,5,-,8082,112745268,14493,28987230,6731,57139210,180672
3/31/2012,KHYBER-PAKHTUNKHWA (KP),Bannu,-,-,-,-,-,-,-,-,167380
3/31/2012,KHYBER-PAKHTUNKHWA (KP),Batgram,-,-,-,-,-,-,-,-,58257
3/31/2012,KHYBER-PAKHTUNKHWA (KP),Buner (Daggar),-,-,-,-,-,-,-,-,133171
3/31/2012,KHYBER-PAKHTUNKHWA (KP),Charsadda,4,-,5391,38011590,25844,2889928,4319,36587979,271736
3/31/2012,KHYBER-PAKHTUNKHWA (KP),Chitral,5,-,2979,77602990,23323,536470397,2979,77602990,84846
3/31/2012,KHYBER-PAKHTUNKHWA (KP),D.I. Khan,1,-,3305,42486993,4690,11797825,2557,38203167,221328
3/31/2012,KHYBER-PAKHTUNKHWA (KP),Hangu,-,-,-,-,-,-,-,-,64648
3/31/2012,KHYBER-PAKHTUNKHWA (KP),Haripur,4,-,7525,82228306,38335,29637327,6208,62576373,103830
3/31/2012,KHYBER-PAKHTUNKHWA (KP),Karak,-,-,-,-,-,-,-,-,102174
3/31/2012,KHYBER-PAKHTUNKHWA (KP),Kohat,2,-,6541,41235860,548,496311,2819,23859277,114908
3/31/2012,KHYBER-PAKHTUNKHWA (KP),Kohistan,-,-,-,-,-,-,-,-,73374
3/31/2012,KHYBER-PAKHTUNKHWA (KP),Lakki Marwat,-,-,-,-,-,-,-,-,107505
3/31/2012,KHYBER-PAKHTUNKHWA (KP),Lower Dir,-,-,-,-,-,-,-,-,176660
3/31/2012,KHYBER-PAKHTUNKHWA (KP),Malakand,2,-,1770,16749508,26373,18493595,1530,15440172,106429
3/31/2012,KHYBER-PAKHTUNKHWA (KP),Mansehra,5,-,5394,50519879,23661,32218184,3461,28949560,271288
3/31/2012,KHYBER-PAKHTUNKHWA (KP),Mardan,2,-,11183,96348134,40239,17936400,3578,30524920,354988
3/31/2012,KHYBER-PAKHTUNKHWA (KP),Mingora,1,-,1544,10964313,281,18575036,1136,9251061,-
3/31/2012,KHYBER-PAKHTUNKHWA (KP),Nowshera,12,-,10119,85966214,10265,29245239,9395,90948540,201208
3/31/2012,KHYBER-PAKHTUNKHWA (KP),Peshawar,7,-,8959,53283936,5729,12988380,5030,40460632,451548
3/31/2012,KHYBER-PAKHTUNKHWA (KP),Shangla,-,-,-,-,-,-,-,-,116366
3/31/2012,KHYBER-PAKHTUNKHWA (KP),Swabi,4,-,4917,60317226,26240,7044087,2704,25691339,230073
3/31/2012,KHYBER-PAKHTUNKHWA (KP),Swat,1,-,-,-,6488,770115,-,-,286555
